"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10400,"Sac@Chi 08:00PM ET",52.212,"Sac"
"PG","Stephen Curry",10300,"GS@Min 08:00PM ET",52.508,"GS"
"PG","John Wall",9600,"Was@Atl 08:00PM ET",46.475,"Was"
"C","Karl-Anthony Towns",8400,"GS@Min 08:00PM ET",38.170,"Min"
"PF","Paul Millsap",8200,"Was@Atl 08:00PM ET",39.475,"Atl"
"SG","Eric Bledsoe",8000,"Mem@Pho 10:00PM ET",39.056,"Pho"
"PG","Rajon Rondo",7900,"Sac@Chi 08:00PM ET",40.646,"Sac"
"PF","Draymond Green",7800,"GS@Min 08:00PM ET",42.180,"GS"
"SG","Jimmy Butler",7700,"Sac@Chi 08:00PM ET",39.344,"Chi"
"C","Pau Gasol",7600,"Sac@Chi 08:00PM ET",42.270,"Chi"
"PG","Brandon Knight",7100,"Mem@Pho 10:00PM ET",34.697,"Pho"
"C","Marc Gasol",6900,"Mem@Pho 10:00PM ET",34.731,"Mem"
"SG","Klay Thompson",6800,"GS@Min 08:00PM ET",33.481,"GS"
"PG","Ricky Rubio",6800,"GS@Min 08:00PM ET",32.492,"Min"
"PF","Zach Randolph",6700,"Mem@Pho 10:00PM ET",28.836,"Mem"
"C","Al Horford",6600,"Was@Atl 08:00PM ET",33.886,"Atl"
"C","Marcin Gortat",6600,"Was@Atl 08:00PM ET",31.841,"Was"
"SF","Lance Stephenson",6500,"Mem@Pho 10:00PM ET",15.203,"Mem"
"SG","Devin Booker",6500,"Mem@Pho 10:00PM ET",20.012,"Pho"
"C","Alex Len",6400,"Mem@Pho 10:00PM ET",21.754,"Pho"
"SG","Andrew Wiggins",6400,"GS@Min 08:00PM ET",30.364,"Min"
"SF","Rudy Gay",6300,"Sac@Chi 08:00PM ET",31.283,"Sac"
"PG","Mike Conley",6300,"Mem@Pho 10:00PM ET",31.143,"Mem"
"PF","Gorgui Dieng",6200,"GS@Min 08:00PM ET",25.591,"Min"
"SG","Zach LaVine",6100,"GS@Min 08:00PM ET",23.877,"Min"
"PG","Jeff Teague",5900,"Was@Atl 08:00PM ET",29.616,"Atl"
"SF","Matt Barnes",5800,"Mem@Pho 10:00PM ET",23.211,"Mem"
"PG","Derrick Rose",5800,"Sac@Chi 08:00PM ET",29.107,"Chi"
"PF","JaMychal Green",5500,"Mem@Pho 10:00PM ET",15.159,"Mem"
"PF","Taj Gibson",5300,"Sac@Chi 08:00PM ET",22.444,"Chi"
"PG","Darren Collison",5200,"Sac@Chi 08:00PM ET",24.313,"Sac"
"PF","Nikola Mirotic",5200,"Sac@Chi 08:00PM ET",23.048,"Chi"
"SG","Bradley Beal",5200,"Was@Atl 08:00PM ET",28.528,"Was"
"C","Tyson Chandler",5000,"Mem@Pho 10:00PM ET",20.603,"Pho"
"C","Joakim Noah",5000,"Sac@Chi 08:00PM ET",23.353,"Chi"
"SF","Otto Porter",4900,"Was@Atl 08:00PM ET",24.448,"Was"
"SF","Kent Bazemore",4800,"Was@Atl 08:00PM ET",24.633,"Atl"
"PF","Markieff Morris",4800,"Was@Atl 08:00PM ET",23.148,"Was"
"SF","Tony Allen",4700,"Mem@Pho 10:00PM ET",18.614,"Mem"
"SF","Mirza Teletovic",4500,"Mem@Pho 10:00PM ET",18.631,"Pho"
"PF","Bobby Portis",4500,"Sac@Chi 08:00PM ET",16.667,"Chi"
"SF","P.J. Tucker",4400,"Mem@Pho 10:00PM ET",20.141,"Pho"
"C","Andrew Bogut",4200,"GS@Min 08:00PM ET",21.842,"GS"
"SF","Omri Casspi",4200,"Sac@Chi 08:00PM ET",23.839,"Sac"
"SF","Harrison Barnes",4200,"GS@Min 08:00PM ET",21.868,"GS"
"SG","Kyle Korver",4100,"Was@Atl 08:00PM ET",19.643,"Atl"
"SF","Doug McDermott",4100,"Sac@Chi 08:00PM ET",14.690,"Chi"
"SG","Vince Carter",4000,"Mem@Pho 10:00PM ET",11.859,"Mem"
"SG","E'Twaun Moore",4000,"Sac@Chi 08:00PM ET",14.477,"Chi"
"PG","Dennis Schroder",4000,"Was@Atl 08:00PM ET",22.776,"Atl"
"PF","Nene Hilario",3900,"Was@Atl 08:00PM ET",18.473,"Was"
"C","Marreese Speights",3900,"GS@Min 08:00PM ET",13.487,"GS"
"C","Willie Cauley-Stein",3900,"Sac@Chi 08:00PM ET",16.184,"Sac"
"SF","Andre Iguodala",3800,"GS@Min 08:00PM ET",20.292,"GS"
"SG","Tim Hardaway Jr.",3800,"Was@Atl 08:00PM ET",10.763,"Atl"
"SF","T.J. Warren",3700,"Mem@Pho 10:00PM ET",18.516,"Pho"
"SG","Garrett Temple",3600,"Was@Atl 08:00PM ET",16.082,"Was"
"SF","Thabo Sefolosha",3600,"Was@Atl 08:00PM ET",17.816,"Atl"
"SF","Shabazz Muhammad",3600,"GS@Min 08:00PM ET",15.696,"Min"
"SF","Mike Dunleavy",3500,"Sac@Chi 08:00PM ET",15.569,"Chi"
"PG","Briante Weber",3500,"Mem@Pho 10:00PM ET",18.083,"Mem"
"PG","Shaun Livingston",3400,"GS@Min 08:00PM ET",14.538,"GS"
"PF","Brandan Wright",3400,"Mem@Pho 10:00PM ET",15.063,"Mem"
"C","Festus Ezeli",3400,"GS@Min 08:00PM ET",19.050,"GS"
"SF","P.J. Hairston",3400,"Mem@Pho 10:00PM ET",12.065,"Mem"
"PF","Jarell Martin",3400,"Mem@Pho 10:00PM ET",11.383,"Mem"
"PG","Ronnie Price",3200,"Mem@Pho 10:00PM ET",12.699,"Pho"
"C","Ryan Hollins",3200,"Mem@Pho 10:00PM ET",8.808,"Mem"
