"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11900,"Hou@Det 07:30PM ET",60.904,"Hou"
"SF/PF","Kevin Durant",9600,"GS@Ind 07:00PM ET",50.885,"GS"
"C","Hassan Whiteside",9300,"Mia@Phi 07:00PM ET",46.792,"Mia"
"PG","Stephen Curry",9200,"GS@Ind 07:00PM ET",43.788,"GS"
"PG","John Wall",9000,"Pho@Was 07:00PM ET",45.050,"Was"
"PG","Giannis Antetokounmpo",8800,"Orl@Mil 08:00PM ET",47.000,"Mil"
"SF","Kawhi Leonard",8700,"Dal@SA 08:30PM ET",43.096,"SA"
"PG","Chris Paul",8600,"Tor@LAC 10:30PM ET",44.375,"LAC"
"PF","Blake Griffin",8500,"Tor@LAC 10:30PM ET",43.464,"LAC"
"SG","DeMar DeRozan",8400,"Tor@LAC 10:30PM ET",44.942,"Tor"
"PG","Kemba Walker",8200,"Mem@Cha 07:00PM ET",43.604,"Cha"
"PG","Kyle Lowry",8100,"Tor@LAC 10:30PM ET",41.481,"Tor"
"C","Karl-Anthony Towns",8000,"Bos@Min 08:00PM ET",40.333,"Min"
"SF","Paul George",8000,"GS@Ind 07:00PM ET",39.727,"Ind"
"PG","Isaiah Thomas",7900,"Bos@Min 08:00PM ET",41.615,"Bos"
"C","Andre Drummond",7800,"Hou@Det 07:30PM ET",38.135,"Det"
"PF/C","Draymond Green",7700,"GS@Ind 07:00PM ET",40.385,"GS"
"SF","Andrew Wiggins",7400,"Bos@Min 08:00PM ET",36.479,"Min"
"SG","Avery Bradley",7000,"Bos@Min 08:00PM ET",37.038,"Bos"
"PG","Jeff Teague",6900,"GS@Ind 07:00PM ET",34.161,"Ind"
"PG","Eric Bledsoe",6800,"Pho@Was 07:00PM ET",32.911,"Pho"
"SG/SF","Nicolas Batum",6700,"Mem@Cha 07:00PM ET",34.604,"Cha"
"PF/C","LaMarcus Aldridge",6700,"Dal@SA 08:30PM ET",32.563,"SA"
"PG","Goran Dragic",6600,"Mia@Phi 07:00PM ET",32.083,"Mia"
"C","Al Horford",6500,"Bos@Min 08:00PM ET",35.313,"Bos"
"PF/C","Myles Turner",6500,"GS@Ind 07:00PM ET",31.357,"Ind"
"SF/PF","Jabari Parker",6400,"Orl@Mil 08:00PM ET",33.104,"Mil"
"PG","Mike Conley",6400,"Mem@Cha 07:00PM ET",35.667,"Mem"
"C","Marc Gasol",6400,"Mem@Cha 07:00PM ET",34.063,"Mem"
"C","Joel Embiid",6400,"Mia@Phi 07:00PM ET",33.556,"Phi"
"C","DeAndre Jordan",6400,"Tor@LAC 10:30PM ET",30.339,"LAC"
"SF/PF","Harrison Barnes",6400,"Dal@SA 08:30PM ET",31.375,"Dal"
"C","Pau Gasol",6400,"Dal@SA 08:30PM ET",27.846,"SA"
"SF/PF","Tobias Harris",6300,"Hou@Det 07:30PM ET",28.018,"Det"
"SF","Otto Porter",6300,"Pho@Was 07:00PM ET",33.042,"Was"
