PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF/PF,Kevin Durant (7887132),Kevin Durant,7887132,10700,Pho@GS 10:30PM ET,GS,
,,,,,,,,,PG,Stephen Curry (7887028),Stephen Curry,7887028,9100,Pho@GS 10:30PM ET,GS,
,,,,,,,,,C,Hassan Whiteside (7887293),Hassan Whiteside,7887293,9000,Mia@Por 10:00PM ET,Mia,
,,,,,,,,,C,Karl-Anthony Towns (7887264),Karl-Anthony Towns,7887264,8900,Min@Cha 07:00PM ET,Min,
,,,,,,,,,PG,Damian Lillard (7887070),Damian Lillard,7887070,8700,Mia@Por 10:00PM ET,Por,
,,,,,,,,,SG/SF,Jimmy Butler (7887088),Jimmy Butler,7887088,8400,Chi@Dal 08:30PM ET,Chi,
,,,,,,,,,PF/C,Draymond Green (7887200),Draymond Green,7887200,8200,Pho@GS 10:30PM ET,GS,
,,,,,,,,,SG,DeMar DeRozan (7887128),DeMar DeRozan,7887128,8000,Atl@Tor 07:30PM ET,Tor,
,,,,,,,,,PG,Kyle Lowry (7887063),Kyle Lowry,7887063,7800,Atl@Tor 07:30PM ET,Tor,
,,,,,,,,,SF,Gordon Hayward (7887177),Gordon Hayward,7887177,7700,Den@Uta 09:00PM ET,Uta,
,,,,,,,,,PG,Isaiah Thomas (7887059),Isaiah Thomas,7887059,7600,Bos@Phi 07:30PM ET,Bos,
,,,,,,,,,PG,Eric Bledsoe (7887029),Eric Bledsoe,7887029,7500,Pho@GS 10:30PM ET,Pho,
,,,,,,,,,PG,Kemba Walker (7887034),Kemba Walker,7887034,7400,Min@Cha 07:00PM ET,Cha,
,,,,,,,,,C,Dwight Howard (7887282),Dwight Howard,7887282,7300,Atl@Tor 07:30PM ET,Atl,
,,,,,,,,,PF,Paul Millsap (7887242),Paul Millsap,7887242,7200,Atl@Tor 07:30PM ET,Atl,
,,,,,,,,,C,Marc Gasol (7887265),Marc Gasol,7887265,7100,LAL@Mem 08:00PM ET,Mem,
,,,,,,,,,PG/SG,C.J. McCollum (7887026),C.J. McCollum,7887026,7000,Mia@Por 10:00PM ET,Por,
,,,,,,,,,PG,Mike Conley (7887040),Mike Conley,7887040,6900,LAL@Mem 08:00PM ET,Mem,
,,,,,,,,,C,Joel Embiid (7887281),Joel Embiid,7887281,6900,Bos@Phi 07:30PM ET,Phi,
,,,,,,,,,PG,Goran Dragic (7887069),Goran Dragic,7887069,6900,Mia@Por 10:00PM ET,Mia,
,,,,,,,,,PG/SG,George Hill (7887023),George Hill,7887023,6800,Den@Uta 09:00PM ET,Uta,
