"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12000,"OKC@Den 09:00PM ET",63.250,"OKC"
"PG/SG","James Harden",11700,"Hou@Sac 10:30PM ET",60.517,"Hou"
"PF/C","Anthony Davis",10700,"NO@Por 10:00PM ET",56.667,"NO"
"PF/C","DeMarcus Cousins",9900,"Hou@Sac 10:30PM ET",48.767,"Sac"
"SF/PF","Kevin Durant",9600,"GS@LAL 10:30PM ET",50.350,"GS"
"SF/PF","LeBron James",9400,"Dal@Cle 07:30PM ET",52.375,"Cle"
"SG/SF","Jimmy Butler",9300,"Chi@Phi 07:30PM ET",43.867,"Chi"
"PG","Giannis Antetokounmpo",9100,"Tor@Mil 08:00PM ET",48.538,"Mil"
"PG","Stephen Curry",9000,"GS@LAL 10:30PM ET",44.400,"GS"
"PG","John Wall",8800,"Was@Orl 07:00PM ET",46.455,"Was"
"C","Hassan Whiteside",8700,"Mia@Mem 08:00PM ET",45.196,"Mia"
"PG","Damian Lillard",8500,"NO@Por 10:00PM ET",43.912,"Por"
"SG","DeMar DeRozan",8400,"Tor@Mil 08:00PM ET",44.933,"Tor"
"C","Karl-Anthony Towns",8400,"Min@Pho 09:00PM ET",41.161,"Min"
"PG","Chris Paul",8300,"LAC@Det 07:30PM ET",44.422,"LAC"
"PF","Blake Griffin",8200,"LAC@Det 07:30PM ET",43.141,"LAC"
"SF","Paul George",8000,"Bkn@Ind 08:00PM ET",39.271,"Ind"
"PG","Kemba Walker",7900,"Cha@NY 07:30PM ET",42.786,"Cha"
"PF/C","Draymond Green",7900,"GS@LAL 10:30PM ET",40.067,"GS"
"PG","Kyle Lowry",7800,"Tor@Mil 08:00PM ET",41.167,"Tor"
"PF/C","Kevin Love",7800,"Dal@Cle 07:30PM ET",41.500,"Cle"
"PF","Kristaps Porzingis",7700,"Cha@NY 07:30PM ET",36.036,"NY"
"PG","Kyrie Irving",7600,"Dal@Cle 07:30PM ET",37.577,"Cle"
"SF","Carmelo Anthony",7500,"Cha@NY 07:30PM ET",35.839,"NY"
"C","Andre Drummond",7300,"LAC@Det 07:30PM ET",39.600,"Det"
"PF","Paul Millsap",7300,"Atl@Uta 08:00PM ET",37.833,"Atl"
"PG/SG","C.J. McCollum",7300,"NO@Por 10:00PM ET",35.382,"Por"
"C","Dwight Howard",7200,"Atl@Uta 08:00PM ET",39.107,"Atl"
"SF","Andrew Wiggins",7100,"Min@Pho 09:00PM ET",33.661,"Min"
"SF/PF","Rudy Gay",7000,"Hou@Sac 10:30PM ET",36.321,"Sac"
"SF","Gordon Hayward",7000,"Atl@Uta 08:00PM ET",36.475,"Uta"
"PG","Eric Bledsoe",7000,"Min@Pho 09:00PM ET",34.734,"Pho"
"PG","Jeff Teague",6900,"Bkn@Ind 08:00PM ET",34.328,"Ind"
"C","Brook Lopez",6800,"Bkn@Ind 08:00PM ET",33.563,"Bkn"
"SF/PF","Jabari Parker",6700,"Tor@Mil 08:00PM ET",33.692,"Mil"
"PG","Mike Conley",6700,"Mia@Mem 08:00PM ET",37.732,"Mem"
"C","Marc Gasol",6700,"Mia@Mem 08:00PM ET",35.732,"Mem"
"PG","Jrue Holiday",6700,"NO@Por 10:00PM ET",32.938,"NO"
