"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11900,"Hou@Den 10:30PM ET",60.092,"Hou"
"PF/C","Anthony Davis",11700,"LAC@NO 08:00PM ET",58.583,"NO"
"PF/C","DeMarcus Cousins",10700,"Sac@Bos 07:30PM ET",51.444,"Sac"
"SF/PF","LeBron James",9400,"Cle@Chi 08:00PM ET",49.844,"Cle"
"C","Karl-Anthony Towns",8900,"Min@NY 07:30PM ET",43.611,"Min"
"PG","Chris Paul",8800,"LAC@NO 08:00PM ET",44.100,"LAC"
"SG/SF","Jimmy Butler",8700,"Cle@Chi 08:00PM ET",42.971,"Chi"
"PF","Blake Griffin",8500,"LAC@NO 08:00PM ET",41.895,"LAC"
"PG","John Wall",8400,"Was@SA 08:30PM ET",46.700,"Was"
"SG","DeMar DeRozan",8300,"LAL@Tor 07:30PM ET",43.681,"Tor"
"SF","Kawhi Leonard",8200,"Was@SA 08:30PM ET",41.934,"SA"
"PG","Kyle Lowry",8100,"LAL@Tor 07:30PM ET",41.722,"Tor"
"PF/C","Kevin Love",8000,"Cle@Chi 08:00PM ET",40.912,"Cle"
"PF","Kristaps Porzingis",7900,"Min@NY 07:30PM ET",37.458,"NY"
"C","Andre Drummond",7700,"Det@Atl 08:00PM ET",38.118,"Det"
"PG","Isaiah Thomas",7500,"Sac@Bos 07:30PM ET",40.583,"Bos"
"PG","Kyrie Irving",7400,"Cle@Chi 08:00PM ET",36.985,"Cle"
"C","Dwight Howard",7300,"Det@Atl 08:00PM ET",37.361,"Atl"
"SF","Carmelo Anthony",7300,"Min@NY 07:30PM ET",36.931,"NY"
"PF","Paul Millsap",7200,"Det@Atl 08:00PM ET",36.056,"Atl"
"SG","Bradley Beal",7000,"Was@SA 08:30PM ET",33.821,"Was"
"SF/PF","Rudy Gay",6900,"Sac@Bos 07:30PM ET",36.074,"Sac"
"PG","Jrue Holiday",6900,"LAC@NO 08:00PM ET",32.321,"NO"
"SF","Wilson Chandler",6800,"Hou@Den 10:30PM ET",32.234,"Den"
"C","Nikola Vucevic",6800,"Orl@Phi 07:00PM ET",33.632,"Orl"
"PF","Julius Randle",6800,"LAL@Tor 07:30PM ET",31.691,"LAL"
"C","Joel Embiid",6700,"Orl@Phi 07:00PM ET",35.021,"Phi"
"SF","Andrew Wiggins",6600,"Min@NY 07:30PM ET",32.583,"Min"
"C","Al Horford",6500,"Sac@Bos 07:30PM ET",36.094,"Bos"
"PG","Rajon Rondo",6500,"Cle@Chi 08:00PM ET",29.917,"Chi"
"C","DeAndre Jordan",6500,"LAC@NO 08:00PM ET",32.188,"LAC"
"SG","Dwyane Wade",6400,"Cle@Chi 08:00PM ET",32.875,"Chi"
"PG","D'Angelo Russell",6400,"LAL@Tor 07:30PM ET",30.538,"LAL"
"PF/C","LaMarcus Aldridge",6300,"Was@SA 08:30PM ET",31.603,"SA"
"PF/C","Serge Ibaka",6200,"Orl@Phi 07:00PM ET",28.224,"Orl"
"PG","Derrick Rose",6100,"Min@NY 07:30PM ET",30.167,"NY"
"SG/SF","Tyreke Evans",6100,"LAC@NO 08:00PM ET",0,"NO"
"PG","Dennis Schroder",6000,"Det@Atl 08:00PM ET",28.961,"Atl"
"SG","Avery Bradley",6000,"Sac@Bos 07:30PM ET",34.833,"Bos"
"SG","Zach LaVine",6000,"Min@NY 07:30PM ET",30.250,"Min"
"SG","Evan Fournier",6000,"Orl@Phi 07:00PM ET",28.671,"Orl"
"PG/SG","Jordan Clarkson",6000,"LAL@Tor 07:30PM ET",25.538,"LAL"
"SF/PF","Otto Porter",6000,"Was@SA 08:30PM ET",32.382,"Was"
"SF/PF","Tobias Harris",5900,"Det@Atl 08:00PM ET",28.388,"Det"
"PG","Emmanuel Mudiay",5900,"Hou@Den 10:30PM ET",28.056,"Den"
"PF/C","Gorgui Dieng",5900,"Min@NY 07:30PM ET",28.903,"Min"
"PG","Reggie Jackson",5800,"Det@Atl 08:00PM ET",0,"Det"
"SF","Jae Crowder",5800,"Sac@Bos 07:30PM ET",26.625,"Bos"
"SF","Danilo Gallinari",5800,"Hou@Den 10:30PM ET",27.767,"Den"
"SG","Lou Williams",5800,"LAL@Tor 07:30PM ET",27.425,"LAL"
"C","Clint Capela",5700,"Hou@Den 10:30PM ET",28.026,"Hou"
"PF/C","Taj Gibson",5700,"Cle@Chi 08:00PM ET",27.309,"Chi"
"PF","Kenneth Faried",5600,"Hou@Den 10:30PM ET",26.681,"Den"
"C","Robin Lopez",5600,"Cle@Chi 08:00PM ET",25.132,"Chi"
"PG","Tim Frazier",5600,"LAC@NO 08:00PM ET",28.553,"NO"
"SF/PF","Trevor Ariza",5500,"Hou@Den 10:30PM ET",26.895,"Hou"
"C","Jonas Valanciunas",5500,"LAL@Tor 07:30PM ET",29.156,"Tor"
"PG/SG","Darren Collison",5400,"Sac@Bos 07:30PM ET",25.150,"Sac"
"SG/SF","Kent Bazemore",5300,"Det@Atl 08:00PM ET",24.434,"Atl"
"SG","Kentavious Caldwell-Pope",5200,"Det@Atl 08:00PM ET",26.513,"Det"
"SG","Eric Gordon",5200,"Hou@Den 10:30PM ET",26.908,"Hou"
"PF/C","Nikola Jokic",5200,"Hou@Den 10:30PM ET",24.042,"Den"
"C","Tristan Thompson",5200,"Cle@Chi 08:00PM ET",24.559,"Cle"
"C","Marcin Gortat",5200,"Was@SA 08:30PM ET",31.441,"Was"
"C","Pau Gasol",5100,"Was@SA 08:30PM ET",26.542,"SA"
"PG","Ish Smith",5000,"Det@Atl 08:00PM ET",25.788,"Det"
"SF","Marcus Morris",5000,"Det@Atl 08:00PM ET",24.875,"Det"
"SG/SF","Marcus Smart",5000,"Sac@Bos 07:30PM ET",25.250,"Bos"
"PG","Elfrid Payton",5000,"Orl@Phi 07:00PM ET",26.789,"Orl"
"C","Nerlens Noel",5000,"Orl@Phi 07:00PM ET",0,"Phi"
"SF/PF","Markieff Morris",5000,"Was@SA 08:30PM ET",25.471,"Was"
"PG","Jameer Nelson",4900,"Hou@Den 10:30PM ET",20.444,"Den"
"PG","Ricky Rubio",4900,"Min@NY 07:30PM ET",23.288,"Min"
"PF/C","Jahlil Okafor",4900,"Orl@Phi 07:00PM ET",19.206,"Phi"
"SF/PF","Larry Nance Jr.",4800,"LAL@Tor 07:30PM ET",20.066,"LAL"
"PF","Ersan Ilyasova",4700,"Orl@Phi 07:00PM ET",22.153,"Phi"
"SG","J.J. Redick",4700,"LAC@NO 08:00PM ET",21.913,"LAC"
"PG","Patrick Beverley",4600,"Hou@Den 10:30PM ET",21.781,"Hou"
"PF","Ryan Anderson",4600,"Hou@Den 10:30PM ET",23.066,"Hou"
"SF/PF","Nikola Mirotic",4600,"Cle@Chi 08:00PM ET",20.912,"Chi"
"PG","D.J. Augustin",4600,"Orl@Phi 07:00PM ET",15.697,"Orl"
"SF","Robert Covington",4600,"Orl@Phi 07:00PM ET",21.750,"Phi"
"PF","Terrence Jones",4600,"LAC@NO 08:00PM ET",22.931,"NO"
"PG","Sergio Rodriguez",4500,"Orl@Phi 07:00PM ET",23.236,"Phi"
"PF","Jon Leuer",4400,"Det@Atl 08:00PM ET",22.875,"Det"
"SG/SF","Will Barton",4400,"Hou@Den 10:30PM ET",20.917,"Den"
"C","Jusuf Nurkic",4400,"Hou@Den 10:30PM ET",23.986,"Den"
"SF/PF","DeMarre Carroll",4400,"LAL@Tor 07:30PM ET",19.767,"Tor"
"SF","Brandon Ingram",4400,"LAL@Tor 07:30PM ET",16.775,"LAL"
"PG/SG","Jamal Murray",4300,"Hou@Den 10:30PM ET",18.667,"Den"
"SF/PF","Aaron Gordon",4300,"Orl@Phi 07:00PM ET",20.553,"Orl"
"C","Bismack Biyombo",4300,"Orl@Phi 07:00PM ET",19.389,"Orl"
"SG","Nick Young",4300,"LAL@Tor 07:30PM ET",20.264,"LAL"
"C","Mike Muscala",4200,"Det@Atl 08:00PM ET",18.316,"Atl"
"PF","Patrick Patterson",4200,"LAL@Tor 07:30PM ET",20.847,"Tor"
"SF","Thabo Sefolosha",4100,"Det@Atl 08:00PM ET",20.563,"Atl"
"SF/PF","Matt Barnes",4100,"Sac@Bos 07:30PM ET",18.972,"Sac"
"SG","Danny Green",4100,"Was@SA 08:30PM ET",19.636,"SA"
"PF/C","Kelly Olynyk",4000,"Sac@Bos 07:30PM ET",18.833,"Bos"
"SG","Gary Harris",4000,"Hou@Den 10:30PM ET",19.400,"Den"
"PG","Brandon Jennings",4000,"Min@NY 07:30PM ET",19.875,"NY"
"PG","Jerryd Bayless",4000,"Orl@Phi 07:00PM ET",21.333,"Phi"
"SF/PF","Dario Saric",4000,"Orl@Phi 07:00PM ET",20.819,"Phi"
"PG","Tony Parker",4000,"Was@SA 08:30PM ET",19.173,"SA"
"PG","Patty Mills",4000,"Was@SA 08:30PM ET",20.711,"SA"
"PG","Ty Lawson",3900,"Sac@Bos 07:30PM ET",20.458,"Sac"
"SG","J.R. Smith",3900,"Cle@Chi 08:00PM ET",17.964,"Cle"
"C","Joakim Noah",3900,"Min@NY 07:30PM ET",21.683,"NY"
"C","Cole Aldrich",3900,"Min@NY 07:30PM ET",8.778,"Min"
"PF","Richaun Holmes",3900,"Orl@Phi 07:00PM ET",17.464,"Phi"
"C","Lucas Nogueira",3900,"LAL@Tor 07:30PM ET",15.063,"Tor"
"SG","Jamal Crawford",3900,"LAC@NO 08:00PM ET",18.200,"LAC"
"SG","E'Twaun Moore",3900,"LAC@NO 08:00PM ET",20.528,"NO"
"C","Aron Baynes",3800,"Det@Atl 08:00PM ET",11.925,"Det"
"SG","Courtney Lee",3800,"Min@NY 07:30PM ET",18.458,"NY"
"PF/C","Kyle O'Quinn",3800,"Min@NY 07:30PM ET",12.903,"NY"
"SF/PF","Luol Deng",3800,"LAL@Tor 07:30PM ET",17.150,"LAL"
"PF/C","Marreese Speights",3800,"LAC@NO 08:00PM ET",17.238,"LAC"
"PG","Tomas Satoransky",3800,"Was@SA 08:30PM ET",11.029,"Was"
"SG","Nik Stauskas",3700,"Orl@Phi 07:00PM ET",17.653,"Phi"
"SF","Solomon Hill",3700,"LAC@NO 08:00PM ET",15.776,"NO"
"PF","David Lee",3700,"Was@SA 08:30PM ET",16.592,"SA"
"SG","Kyle Korver",3600,"Det@Atl 08:00PM ET",17.603,"Atl"
"PG","Jerian Grant",3600,"Cle@Chi 08:00PM ET",10.250,"Chi"
"PF","Channing Frye",3600,"Cle@Chi 08:00PM ET",19.104,"Cle"
"SG/SF","Justin Holiday",3600,"Min@NY 07:30PM ET",13.056,"NY"
"SG/SF","Terrence Ross",3600,"LAL@Tor 07:30PM ET",16.824,"Tor"
"C","Dewayne Dedmon",3600,"Was@SA 08:30PM ET",15.500,"SA"
"PG/SG","Tim Hardaway Jr.",3500,"Det@Atl 08:00PM ET",16.750,"Atl"
"SG","Gerald Henderson",3500,"Orl@Phi 07:00PM ET",17.485,"Phi"
"PG","Jose Calderon",3500,"LAL@Tor 07:30PM ET",11.938,"LAL"
