"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12300,"OKC@Sac 10:30PM ET",63.233,"OKC"
"PG/SG","James Harden",11700,"Tor@Hou 08:00PM ET",60.554,"Hou"
"PF/C","Anthony Davis",10700,"Min@NO 09:30PM ET",55.821,"NO"
"PF/C","DeMarcus Cousins",9900,"OKC@Sac 10:30PM ET",48.161,"Sac"
"SF/PF","Kevin Durant",9700,"LAL@GS 10:30PM ET",50.554,"GS"
"SF/PF","LeBron James",9500,"Por@Cle 07:00PM ET",50.500,"Cle"
"C","Hassan Whiteside",9000,"Mia@Det 07:30PM ET",47.212,"Mia"
"PG","Stephen Curry",8900,"LAL@GS 10:30PM ET",43.589,"GS"
"SG","DeMar DeRozan",8700,"Tor@Hou 08:00PM ET",44.732,"Tor"
"PG","Damian Lillard",8600,"Por@Cle 07:00PM ET",42.391,"Por"
"PG","Chris Paul",8500,"LAC@Dal 08:30PM ET",44.933,"LAC"
"PF","Blake Griffin",8400,"LAC@Dal 08:30PM ET",43.850,"LAC"
"C","Karl-Anthony Towns",8400,"Min@NO 09:30PM ET",41.846,"Min"
"PG","Kyle Lowry",8300,"Tor@Hou 08:00PM ET",41.732,"Tor"
"SF","Kawhi Leonard",8200,"SA@Cha 07:00PM ET",43.107,"SA"
"PG","Isaiah Thomas",8000,"Bos@Bkn 07:30PM ET",41.393,"Bos"
"PF/C","Draymond Green",7900,"LAL@GS 10:30PM ET",40.304,"GS"
"SF","Paul George",7800,"Atl@Ind 07:00PM ET",39.614,"Ind"
"PF","Paul Millsap",7800,"Atl@Ind 07:00PM ET",36.732,"Atl"
"PF/C","Kevin Love",7700,"Por@Cle 07:00PM ET",39.792,"Cle"
"C","Dwight Howard",7700,"Atl@Ind 07:00PM ET",38.308,"Atl"
"PG","Kemba Walker",7600,"SA@Cha 07:00PM ET",42.327,"Cha"
"PG","Kyrie Irving",7600,"Por@Cle 07:00PM ET",37.917,"Cle"
"C","Andre Drummond",7500,"Mia@Det 07:30PM ET",38.446,"Det"
"PG/SG","C.J. McCollum",7400,"Por@Cle 07:00PM ET",36.391,"Por"
"SF","Gordon Hayward",7200,"Den@Uta 09:00PM ET",35.778,"Uta"
"C","Al Horford",7100,"Bos@Bkn 07:30PM ET",37.050,"Bos"
"PG","Eric Bledsoe",7000,"Pho@Orl 07:00PM ET",34.533,"Pho"
"C","Marc Gasol",7000,"Mem@Phi 07:00PM ET",34.750,"Mem"
"PF","Julius Randle",6900,"LAL@GS 10:30PM ET",31.017,"LAL"
"SF/PF","Rudy Gay",6900,"OKC@Sac 10:30PM ET",36.442,"Sac"
"PG","Mike Conley",6900,"Mem@Phi 07:00PM ET",36.538,"Mem"
"PG","Jeff Teague",6900,"Atl@Ind 07:00PM ET",33.717,"Ind"
"SG","Avery Bradley",6800,"Bos@Bkn 07:30PM ET",35.589,"Bos"
"SF","Andrew Wiggins",6800,"Min@NO 09:30PM ET",35.173,"Min"
"C","Brook Lopez",6700,"Bos@Bkn 07:30PM ET",34.227,"Bkn"
"PG","Jrue Holiday",6700,"Min@NO 09:30PM ET",36.167,"NO"
"SG","Victor Oladipo",6600,"OKC@Sac 10:30PM ET",28.017,"OKC"
"PG/SG","George Hill",6500,"Den@Uta 09:00PM ET",34.429,"Uta"
"C","Rudy Gobert",6500,"Den@Uta 09:00PM ET",30.717,"Uta"
"PF/C","Myles Turner",6500,"Atl@Ind 07:00PM ET",31.446,"Ind"
"PG","Goran Dragic",6400,"Mia@Det 07:30PM ET",32.075,"Mia"
"PG","Jeremy Lin",6400,"Bos@Bkn 07:30PM ET",32.750,"Bkn"
"PG","D'Angelo Russell",6400,"LAL@GS 10:30PM ET",30.538,"LAL"
"PF/C","LaMarcus Aldridge",6400,"SA@Cha 07:00PM ET",32.563,"SA"
"C","DeAndre Jordan",6300,"LAC@Dal 08:30PM ET",30.900,"LAC"
"SG/SF","Tyreke Evans",6300,"Min@NO 09:30PM ET",0,"NO"
"SG","Klay Thompson",6200,"LAL@GS 10:30PM ET",29.589,"GS"
"SG/SF","Devin Booker",6200,"Pho@Orl 07:00PM ET",28.750,"Pho"
"SF/PF","Harrison Barnes",6200,"LAC@Dal 08:30PM ET",31.519,"Dal"
"SG/SF","Nicolas Batum",6100,"SA@Cha 07:00PM ET",33.596,"Cha"
"PF/C","Gorgui Dieng",6100,"Min@NO 09:30PM ET",28.654,"Min"
"PG","Reggie Jackson",6000,"Mia@Det 07:30PM ET",0,"Det"
"C","Pau Gasol",6000,"SA@Cha 07:00PM ET",27.857,"SA"
"C","Clint Capela",6000,"Tor@Hou 08:00PM ET",28.125,"Hou"
"C","Joel Embiid",6000,"Mem@Phi 07:00PM ET",33.825,"Phi"
"PG","Elfrid Payton",5900,"Pho@Orl 07:00PM ET",27.321,"Orl"
"PF/C","Serge Ibaka",5900,"Pho@Orl 07:00PM ET",27.411,"Orl"
"SF/PF","Tobias Harris",5800,"Mia@Det 07:30PM ET",26.950,"Det"
"SF","T.J. Warren",5800,"Pho@Orl 07:00PM ET",28.846,"Pho"
"C","Nikola Vucevic",5800,"Pho@Orl 07:00PM ET",30.214,"Orl"
"C","Jonas Valanciunas",5800,"Tor@Hou 08:00PM ET",30.229,"Tor"
"SG","Rodney Hood",5800,"Den@Uta 09:00PM ET",28.304,"Uta"
"PF","Derrick Favors",5800,"Den@Uta 09:00PM ET",23.273,"Uta"
"PF","Thaddeus Young",5800,"Atl@Ind 07:00PM ET",25.383,"Ind"
"SG/SF","Kent Bazemore",5700,"Atl@Ind 07:00PM ET",23.893,"Atl"
"SG","Zach LaVine",5700,"Min@NO 09:30PM ET",29.042,"Min"
"PG","Emmanuel Mudiay",5600,"Den@Uta 09:00PM ET",29.268,"Den"
"SF","Danilo Gallinari",5600,"Den@Uta 09:00PM ET",27.786,"Den"
"PG","Dennis Schroder",5600,"Atl@Ind 07:00PM ET",27.804,"Atl"
"PG","Ricky Rubio",5600,"Min@NO 09:30PM ET",24.906,"Min"
"SF","Justise Winslow",5500,"Mia@Det 07:30PM ET",26.778,"Mia"
"SG","Lou Williams",5500,"LAL@GS 10:30PM ET",27.617,"LAL"
"SG","Evan Fournier",5500,"Pho@Orl 07:00PM ET",26.464,"Orl"
"C","Mason Plumlee",5500,"Por@Cle 07:00PM ET",26.797,"Por"
"SF","Wilson Chandler",5500,"Den@Uta 09:00PM ET",30.375,"Den"
"PF","Kenneth Faried",5500,"Den@Uta 09:00PM ET",26.393,"Den"
"SF/PF","Trevor Ariza",5400,"Tor@Hou 08:00PM ET",27.232,"Hou"
"PG/SG","Darren Collison",5400,"OKC@Sac 10:30PM ET",25.917,"Sac"
"SG","Seth Curry",5400,"LAC@Dal 08:30PM ET",20.481,"Dal"
"PF","Terrence Jones",5400,"Min@NO 09:30PM ET",24.411,"NO"
"SG","Dion Waiters",5300,"Mia@Det 07:30PM ET",26.077,"Mia"
"SG","Kentavious Caldwell-Pope",5300,"Mia@Det 07:30PM ET",24.083,"Det"
"SG/SF","Marcus Smart",5300,"Bos@Bkn 07:30PM ET",24.841,"Bos"
"PF","Trevor Booker",5300,"Bos@Bkn 07:30PM ET",27.481,"Bkn"
"PF","Dirk Nowitzki",5300,"LAC@Dal 08:30PM ET",26.000,"Dal"
"PG","Ish Smith",5200,"Mia@Det 07:30PM ET",25.783,"Det"
"PG/SG","Jordan Clarkson",5200,"LAL@GS 10:30PM ET",24.933,"LAL"
"C","Steven Adams",5200,"OKC@Sac 10:30PM ET",25.933,"OKC"
"SG","Monta Ellis",5200,"Atl@Ind 07:00PM ET",24.583,"Ind"
"PG","Tim Frazier",5200,"Min@NO 09:30PM ET",30.900,"NO"
"C","Alex Len",5100,"Pho@Orl 07:00PM ET",23.883,"Pho"
"PF/C","Zach Randolph",5100,"Mem@Phi 07:00PM ET",26.536,"Mem"
"SF","Jae Crowder",5000,"Bos@Bkn 07:30PM ET",24.417,"Bos"
"PG","J.J. Barea",5000,"LAC@Dal 08:30PM ET",30.361,"Dal"
"C","Nerlens Noel",5000,"Mem@Phi 07:00PM ET",0,"Phi"
"SG/SF","C.J. Miles",5000,"Atl@Ind 07:00PM ET",21.923,"Ind"
"SG/SF","Josh Richardson",4900,"Mia@Det 07:30PM ET",20.278,"Mia"
"SF","Marcus Morris",4900,"Mia@Det 07:30PM ET",25.050,"Det"
"PG/SG","Brandon Knight",4900,"Pho@Orl 07:00PM ET",21.367,"Pho"
"SF","Maurice Harkless",4900,"Por@Cle 07:00PM ET",22.328,"Por"
"C","Tristan Thompson",4900,"Por@Cle 07:00PM ET",24.521,"Cle"
"PG","Deron Williams",4900,"LAC@Dal 08:30PM ET",23.542,"Dal"
"SG","J.J. Redick",4900,"LAC@Dal 08:30PM ET",22.367,"LAC"
"PG/SG","Sean Kilpatrick",4800,"Bos@Bkn 07:30PM ET",23.500,"Bkn"
"SG","Eric Gordon",4800,"Tor@Hou 08:00PM ET",26.286,"Hou"
