"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12800,"NO@OKC 07:00PM ET",65.213,"OKC"
"PF/C","Anthony Davis",11200,"NO@OKC 07:00PM ET",57.474,"NO"
"PF/C","DeMarcus Cousins",10900,"Sac@NY 07:30PM ET",51.566,"Sac"
"PG","Chris Paul",8500,"Ind@LAC 09:30PM ET",44.357,"LAC"
"PF","Blake Griffin",8300,"Ind@LAC 09:30PM ET",42.325,"LAC"
"PF","Kristaps Porzingis",8000,"Sac@NY 07:30PM ET",36.895,"NY"
"SF","Paul George",7800,"Ind@LAC 09:30PM ET",38.854,"Ind"
"SF","Carmelo Anthony",7600,"Sac@NY 07:30PM ET",37.500,"NY"
"C","Andre Drummond",7400,"Orl@Det 06:00PM ET",38.138,"Det"
"PF/C","Myles Turner",7000,"Ind@LAC 09:30PM ET",32.417,"Ind"
"PG","Jeff Teague",6800,"Ind@LAC 09:30PM ET",34.776,"Ind"
"SG","Victor Oladipo",6700,"NO@OKC 07:00PM ET",30.163,"OKC"
"SF/PF","Rudy Gay",6600,"Sac@NY 07:30PM ET",35.569,"Sac"
"PG","Derrick Rose",6500,"Sac@NY 07:30PM ET",30.645,"NY"
"PG","Jrue Holiday",6400,"NO@OKC 07:00PM ET",31.281,"NO"
"C","Nikola Vucevic",6300,"Orl@Det 06:00PM ET",33.913,"Orl"
"C","DeAndre Jordan",6200,"Ind@LAC 09:30PM ET",32.024,"LAC"
"SF/PF","Tobias Harris",6100,"Orl@Det 06:00PM ET",28.643,"Det"
"SG/SF","Tyreke Evans",6000,"NO@OKC 07:00PM ET",0,"NO"
"PF/C","Serge Ibaka",5900,"Orl@Det 06:00PM ET",28.163,"Orl"
"PG","Reggie Jackson",5800,"Orl@Det 06:00PM ET",0,"Det"
"SG","Evan Fournier",5700,"Orl@Det 06:00PM ET",28.713,"Orl"
"SG","Kentavious Caldwell-Pope",5600,"Orl@Det 06:00PM ET",27.036,"Det"
"PF","Thaddeus Young",5500,"Ind@LAC 09:30PM ET",24.947,"Ind"
"PG","Ish Smith",5400,"Orl@Det 06:00PM ET",26.476,"Det"
"PG","Tim Frazier",5300,"NO@OKC 07:00PM ET",28.250,"NO"
"PG/SG","Darren Collison",5100,"Sac@NY 07:30PM ET",24.818,"Sac"
"SF","Marcus Morris",5000,"Orl@Det 06:00PM ET",24.667,"Det"
"SF","Glenn Robinson III",5000,"Ind@LAC 09:30PM ET",13.559,"Ind"
"C","Steven Adams",4900,"NO@OKC 07:00PM ET",25.225,"OKC"
"PG","Elfrid Payton",4800,"Orl@Det 06:00PM ET",25.988,"Orl"
"SG/SF","C.J. Miles",4700,"Ind@LAC 09:30PM ET",21.769,"Ind"
"SG","J.J. Redick",4700,"Ind@LAC 09:30PM ET",21.913,"LAC"
"PF","Jon Leuer",4600,"Orl@Det 06:00PM ET",23.298,"Det"
"PF","Terrence Jones",4600,"NO@OKC 07:00PM ET",23.211,"NO"
"SG","Monta Ellis",4600,"Ind@LAC 09:30PM ET",23.737,"Ind"
"C","Bismack Biyombo",4500,"Orl@Det 06:00PM ET",19.724,"Orl"
"C","Enes Kanter",4500,"NO@OKC 07:00PM ET",23.125,"OKC"
"SG/SF","Andre Roberson",4400,"NO@OKC 07:00PM ET",19.213,"OKC"
"SF/PF","Aaron Gordon",4300,"Orl@Det 06:00PM ET",20.775,"Orl"
"SF/PF","Matt Barnes",4300,"Sac@NY 07:30PM ET",20.421,"Sac"
"PF/C","Kyle O'Quinn",4300,"Sac@NY 07:30PM ET",14.526,"NY"
"PG","Brandon Jennings",4200,"Sac@NY 07:30PM ET",19.658,"NY"
"PG","D.J. Augustin",4100,"Orl@Det 06:00PM ET",15.900,"Orl"
"SG","Jamal Crawford",4000,"Ind@LAC 09:30PM ET",18.500,"LAC"
"SG","E'Twaun Moore",3900,"NO@OKC 07:00PM ET",20.763,"NO"
"PG","Ty Lawson",3900,"Sac@NY 07:30PM ET",20.447,"Sac"
"SG/SF","Justin Holiday",3900,"Sac@NY 07:30PM ET",13.961,"NY"
"C","Joakim Noah",3900,"Sac@NY 07:30PM ET",21.683,"NY"
"PG/SG","Rodney Stuckey",3900,"Ind@LAC 09:30PM ET",13.944,"Ind"
"C","Aron Baynes",3800,"Orl@Det 06:00PM ET",11.429,"Det"
"SG","Courtney Lee",3800,"Sac@NY 07:30PM ET",18.458,"NY"
"PF/C","Marreese Speights",3700,"Ind@LAC 09:30PM ET",17.357,"LAC"
"C","Al Jefferson",3600,"Ind@LAC 09:30PM ET",14.803,"Ind"
"SF/PF","Jeff Green",3500,"Orl@Det 06:00PM ET",16.013,"Orl"
"SF","Solomon Hill",3400,"NO@OKC 07:00PM ET",15.638,"NO"
"PG","Austin Rivers",3300,"Ind@LAC 09:30PM ET",14.738,"LAC"
"PF","Domantas Sabonis",3200,"NO@OKC 07:00PM ET",15.038,"OKC"
"C","Guillermo Hernangomez",3200,"Sac@NY 07:30PM ET",12.875,"NY"
"SG/SF","Raymond Felton",3200,"Ind@LAC 09:30PM ET",11.500,"LAC"
"SF","Luc Richard Mbah a Moute",3200,"Ind@LAC 09:30PM ET",13.286,"LAC"
"SF/PF","Jerami Grant",3100,"NO@OKC 07:00PM ET",13.408,"OKC"
"PG/SG","C.J. Watson",3000,"Orl@Det 06:00PM ET",6.574,"Orl"
"PG","Beno Udrih",3000,"Orl@Det 06:00PM ET",14.702,"Det"
"SG/SF","Mario Hezonja",3000,"Orl@Det 06:00PM ET",7.750,"Orl"
"SG/SF","Stanley Johnson",3000,"Orl@Det 06:00PM ET",9.458,"Det"
"SG","Jodie Meeks",3000,"Orl@Det 06:00PM ET",17.750,"Orl"
