"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10600,"Hou@OKC 08:00PM ET",53.818,"OKC"
"SG","James Harden",10500,"Hou@OKC 08:00PM ET",51.346,"Hou"
"SF","Kevin Durant",10400,"Hou@OKC 08:00PM ET",50.452,"OKC"
"PF","Anthony Davis",9000,"Mia@NO 08:00PM ET",46.816,"NO"
"PG","Kemba Walker",8300,"Cha@Bkn 07:30PM ET",38.754,"Cha"
"PG","Jrue Holiday",8200,"Mia@NO 08:00PM ET",31.913,"NO"
"C","Hassan Whiteside",8000,"Mia@NO 08:00PM ET",37.371,"Mia"
"C","Brook Lopez",7400,"Cha@Bkn 07:30PM ET",38.071,"Bkn"
"SG","Nicolas Batum",7300,"Cha@Bkn 07:30PM ET",34.414,"Cha"
"C","Dwight Howard",7200,"Hou@OKC 08:00PM ET",36.436,"Hou"
"PF","Thaddeus Young",7100,"Cha@Bkn 07:30PM ET",33.485,"Bkn"
"C","Marc Gasol",6900,"Mem@LAL 10:30PM ET",34.731,"Mem"
"PF","Zach Randolph",6800,"Mem@LAL 10:30PM ET",28.987,"Mem"
"PF","Ryan Anderson",6700,"Mia@NO 08:00PM ET",28.591,"NO"
"SG","Tyreke Evans",6700,"Mia@NO 08:00PM ET",34.210,"NO"
"PF","Chris Bosh",6600,"Mia@NO 08:00PM ET",34.972,"Mia"
"SG","Dwyane Wade",6500,"Mia@NO 08:00PM ET",33.190,"Mia"
"PG","Goran Dragic",6500,"Mia@NO 08:00PM ET",28.854,"Mia"
"SF","Lance Stephenson",6500,"Mem@LAL 10:30PM ET",15.225,"Mem"
"PG","D'Angelo Russell",6400,"Mem@LAL 10:30PM ET",25.269,"LAL"
"PG","Mike Conley",6300,"Mem@LAL 10:30PM ET",31.143,"Mem"
"PG","Jarrett Jack",6200,"Cha@Bkn 07:30PM ET",31.078,"Bkn"
"SF","Luol Deng",6100,"Mia@NO 08:00PM ET",24.940,"Mia"
"PF","Julius Randle",6000,"Mem@LAL 10:30PM ET",28.165,"LAL"
"PF","Serge Ibaka",5700,"Hou@OKC 08:00PM ET",26.960,"OKC"
"SF","Matt Barnes",5600,"Mem@LAL 10:30PM ET",23.358,"Mem"
"SF","Trevor Ariza",5500,"Hou@OKC 08:00PM ET",26.739,"Hou"
"PF","Marvin Williams",5500,"Cha@Bkn 07:30PM ET",25.943,"Cha"
"SG","Bojan Bogdanovic",5500,"Cha@Bkn 07:30PM ET",17.963,"Bkn"
"PG","Norris Cole",5400,"Mia@NO 08:00PM ET",21.828,"NO"
"SG","Kobe Bryant",5300,"Mem@LAL 10:30PM ET",28.821,"LAL"
"PF","JaMychal Green",5300,"Mem@LAL 10:30PM ET",15.205,"Mem"
"SF","Joe Johnson",5200,"Mia@NO 08:00PM ET",24.474,"Mia"
"C","Enes Kanter",5200,"Hou@OKC 08:00PM ET",23.946,"OKC"
"PG","Toney Douglas",5100,"Mia@NO 08:00PM ET",15.146,"NO"
"PG","Jordan Clarkson",5100,"Mem@LAL 10:30PM ET",26.367,"LAL"
"SG","Lou Williams",5000,"Mem@LAL 10:30PM ET",25.262,"LAL"
"SG","Eric Gordon",5000,"Mia@NO 08:00PM ET",25.006,"NO"
"SF","Michael Beasley",4900,"Hou@OKC 08:00PM ET",24.031,"Hou"
"SF","Tony Allen",4700,"Mem@LAL 10:30PM ET",18.728,"Mem"
"PG","Patrick Beverley",4600,"Hou@OKC 08:00PM ET",21.767,"Hou"
"SG","Rondae Hollis-Jefferson",4500,"Cha@Bkn 07:30PM ET",18.289,"Bkn"
"C","Al Jefferson",4400,"Cha@Bkn 07:30PM ET",24.375,"Cha"
"SG","Josh Richardson",4300,"Mia@NO 08:00PM ET",11.833,"Mia"
"C","Steven Adams",4100,"Hou@OKC 08:00PM ET",19.607,"OKC"
"SG","Vince Carter",4000,"Mem@LAL 10:30PM ET",11.923,"Mem"
"SF","Michael Kidd-Gilchrist",4000,"Cha@Bkn 07:30PM ET",24.464,"Cha"
"PG","Donald Sloan",3900,"Cha@Bkn 07:30PM ET",18.240,"Bkn"
"PG","Tim Frazier",3900,"Mia@NO 08:00PM ET",6.895,"NO"
"SF","Justise Winslow",3800,"Mia@NO 08:00PM ET",17.186,"Mia"
"SF","Luke Babbitt",3700,"Mia@NO 08:00PM ET",8.993,"NO"
"SF","Dante Cunningham",3600,"Mia@NO 08:00PM ET",12.097,"NO"
"C","Spencer Hawes",3600,"Cha@Bkn 07:30PM ET",16.266,"Cha"
"PG","Marcelo Huertas",3600,"Mem@LAL 10:30PM ET",11.613,"LAL"
"PF","Brandon Bass",3500,"Mem@LAL 10:30PM ET",16.617,"LAL"
"C","Omer Asik",3500,"Mia@NO 08:00PM ET",12.692,"NO"
"C","Cody Zeller",3500,"Cha@Bkn 07:30PM ET",20.976,"Cha"
"SG","Courtney Lee",3400,"Cha@Bkn 07:30PM ET",18.123,"Cha"
"PF","Brandan Wright",3400,"Mem@LAL 10:30PM ET",15.063,"Mem"
"SG","Wayne Ellington",3300,"Cha@Bkn 07:30PM ET",13.746,"Bkn"
"PG","Jeremy Lin",3300,"Cha@Bkn 07:30PM ET",21.959,"Cha"
"PF","Larry Nance Jr.",3300,"Mem@LAL 10:30PM ET",14.755,"LAL"
"SF","Alonzo Gee",3200,"Mia@NO 08:00PM ET",11.486,"NO"
"SG","Dion Waiters",3200,"Hou@OKC 08:00PM ET",17.561,"OKC"
"PG","Ray McCallum",3200,"Mem@LAL 10:30PM ET",7.493,"Mem"
"PF","Donatas Motiejunas",3200,"Hou@OKC 08:00PM ET",11.856,"Hou"
"PG","Briante Weber",3200,"Mem@LAL 10:30PM ET",18.083,"Mem"
"PG","Randy Foye",3100,"Hou@OKC 08:00PM ET",13.138,"OKC"
"SG","Sean Kilpatrick",3100,"Cha@Bkn 07:30PM ET",11.250,"Bkn"
"C","Frank Kaminsky",3100,"Cha@Bkn 07:30PM ET",16.261,"Cha"
"SF","P.J. Hairston",3100,"Mem@LAL 10:30PM ET",12.065,"Mem"
"PF","Jarell Martin",3100,"Mem@LAL 10:30PM ET",10.797,"Mem"
"C","Nazr Mohammed",3000,"Hou@OKC 08:00PM ET",1.833,"OKC"
"PG","Jason Terry",3000,"Hou@OKC 08:00PM ET",11.471,"Hou"
"SF","Metta World Peace",3000,"Mem@LAL 10:30PM ET",11.009,"LAL"
"C","Nick Collison",3000,"Hou@OKC 08:00PM ET",7.421,"OKC"
"C","Chris Andersen",3000,"Mem@LAL 10:30PM ET",9.203,"Mem"
"C","Amar'e Stoudemire",3000,"Mia@NO 08:00PM ET",13.909,"Mia"
"C","Ryan Hollins",3000,"Mem@LAL 10:30PM ET",8.935,"Mem"
"C","Kendrick Perkins",3000,"Mia@NO 08:00PM ET",7.615,"NO"
"PF","Udonis Haslem",3000,"Mia@NO 08:00PM ET",5.250,"Mia"
"PF","Josh Smith",3000,"Hou@OKC 08:00PM ET",15.460,"Hou"
"SF","Corey Brewer",3000,"Hou@OKC 08:00PM ET",15.361,"Hou"
"SG","Nick Young",3000,"Mem@LAL 10:30PM ET",11.995,"LAL"
"SG","Anthony Morrow",3000,"Hou@OKC 08:00PM ET",8.325,"OKC"
"C","Roy Hibbert",3000,"Mem@LAL 10:30PM ET",17.382,"LAL"
"SG","Gerald Green",3000,"Mia@NO 08:00PM ET",15.560,"Mia"
"PF","Tyler Hansbrough",3000,"Cha@Bkn 07:30PM ET",6.385,"Cha"
"PF","Josh McRoberts",3000,"Mia@NO 08:00PM ET",10.860,"Mia"
"SF","Alex Stepheson",3000,"Mem@LAL 10:30PM ET",9.188,"Mem"
"SF","Quincy Pondexter",3000,"Mia@NO 08:00PM ET",0,"NO"
"SF","Kyle Singler",3000,"Hou@OKC 08:00PM ET",7.509,"OKC"
"C","Robert Sacre",3000,"Mem@LAL 10:30PM ET",8.025,"LAL"
"PG","Andrew Goudelock",3000,"Hou@OKC 08:00PM ET",11.250,"Hou"
"SF","Orlando Johnson",3000,"Mia@NO 08:00PM ET",8.393,"NO"
"C","Alexis Ajinca",3000,"Mia@NO 08:00PM ET",11.250,"NO"
"PG","Jorge Gutierrez",3000,"Cha@Bkn 07:30PM ET",3.900,"Cha"
"C","Henry Sims",3000,"Cha@Bkn 07:30PM ET",23.500,"Bkn"
"PF","Willie Reed",3000,"Cha@Bkn 07:30PM ET",10.313,"Bkn"
"SF","Ryan Kelly",3000,"Mem@LAL 10:30PM ET",11.038,"LAL"
"PF","Thomas Robinson",3000,"Cha@Bkn 07:30PM ET",11.353,"Bkn"
"PG","Troy Daniels",3000,"Cha@Bkn 07:30PM ET",8.326,"Cha"
"SG","Andre Roberson",3000,"Hou@OKC 08:00PM ET",12.729,"OKC"
"SG","Bryce Dejean-Jones",3000,"Mia@NO 08:00PM ET",13.286,"NO"
"C","Tarik Black",3000,"Mem@LAL 10:30PM ET",9.647,"LAL"
"SF","Anthony Brown",3000,"Mem@LAL 10:30PM ET",9.362,"LAL"
"SF","Josh Huestis",3000,"Hou@OKC 08:00PM ET",0,"OKC"
"SG","Jeremy Lamb",3000,"Cha@Bkn 07:30PM ET",18.339,"Cha"
"SG","Markel Brown",3000,"Cha@Bkn 07:30PM ET",9.908,"Bkn"
"PF","Terrence Jones",3000,"Hou@OKC 08:00PM ET",17.699,"Hou"
"SG","Tyler Johnson",3000,"Mia@NO 08:00PM ET",17.632,"Mia"
"SF","K.J. McDaniels",3000,"Hou@OKC 08:00PM ET",4.306,"Hou"
"PG","Shane Larkin",3000,"Cha@Bkn 07:30PM ET",17.158,"Bkn"
"SF","Sergey Karasev",3000,"Cha@Bkn 07:30PM ET",4.074,"Bkn"
"SF","Sam Dekker",3000,"Hou@OKC 08:00PM ET",1.083,"Hou"
"SG","Xavier Munford",3000,"Mem@LAL 10:30PM ET",9.083,"Mem"
"SG","Jordan Adams",3000,"Mem@LAL 10:30PM ET",9.500,"Mem"
"PF","Montrezl Harrell",3000,"Hou@OKC 08:00PM ET",7.237,"Hou"
"PF","Mitch McGary",3000,"Hou@OKC 08:00PM ET",2.775,"OKC"
"PG","Aaron Harrison",3000,"Cha@Bkn 07:30PM ET",1.861,"Cha"
"PG","Cameron Payne",3000,"Hou@OKC 08:00PM ET",11.207,"OKC"
