"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","James Harden",10700,"Hou@Ind 06:00PM ET",52.007,"Hou"
"PF","DeMarcus Cousins",10500,"Dal@Sac 06:00PM ET",52.094,"Sac"
"PG","Stephen Curry",10400,"Phi@GS 08:00PM ET",52.678,"GS"
"PG","John Wall",9900,"Was@LAL 09:30PM ET",46.590,"Was"
"PG","Chris Paul",9500,"Den@LAC 03:30PM ET",44.670,"LAC"
"SF","Paul George",8300,"Hou@Ind 06:00PM ET",42.632,"Ind"
"PF","Draymond Green",8100,"Phi@GS 08:00PM ET",42.426,"GS"
"C","DeAndre Jordan",7800,"Den@LAC 03:30PM ET",38.047,"LAC"
"PF","Blake Griffin",7800,"Den@LAC 03:30PM ET",43.567,"LAC"
"PG","Rajon Rondo",7700,"Dal@Sac 06:00PM ET",40.526,"Sac"
"PF","Dirk Nowitzki",7200,"Dal@Sac 06:00PM ET",33.188,"Dal"
"SG","Klay Thompson",6900,"Phi@GS 08:00PM ET",33.918,"GS"
"C","Marcin Gortat",6600,"Was@LAL 09:30PM ET",32.004,"Was"
"PF","Nerlens Noel",6600,"Phi@GS 08:00PM ET",29.375,"Phi"
"C","Dwight Howard",6500,"Hou@Ind 06:00PM ET",35.940,"Hou"
"SF","Danilo Gallinari",6400,"Den@LAC 03:30PM ET",32.476,"Den"
"PF","Julius Randle",6400,"Was@LAL 09:30PM ET",28.993,"LAL"
"SG","Monta Ellis",6300,"Hou@Ind 06:00PM ET",29.413,"Ind"
"SF","Rudy Gay",6100,"Dal@Sac 06:00PM ET",30.996,"Sac"
"SF","Chandler Parsons",6000,"Dal@Sac 06:00PM ET",26.061,"Dal"
"C","Nikola Jokic",6000,"Den@LAC 03:30PM ET",24.637,"Den"
"PF","Kenneth Faried",5900,"Den@LAC 03:30PM ET",28.131,"Den"
"PG","D'Angelo Russell",5900,"Was@LAL 09:30PM ET",24.807,"LAL"
"PG","Deron Williams",5800,"Dal@Sac 06:00PM ET",28.419,"Dal"
"SF","Robert Covington",5800,"Phi@GS 08:00PM ET",26.125,"Phi"
"C","Jahlil Okafor",5800,"Phi@GS 08:00PM ET",30.429,"Phi"
"PG","Ish Smith",5700,"Phi@GS 08:00PM ET",29.239,"Phi"
"PG","Emmanuel Mudiay",5600,"Den@LAC 03:30PM ET",27.059,"Den"
"SG","Kobe Bryant",5500,"Was@LAL 09:30PM ET",28.853,"LAL"
"SG","Bradley Beal",5400,"Was@LAL 09:30PM ET",28.532,"Was"
"SF","Otto Porter",5300,"Was@LAL 09:30PM ET",24.800,"Was"
"PF","Myles Turner",5300,"Hou@Ind 06:00PM ET",21.810,"Ind"
"SF","Jerami Grant",5200,"Phi@GS 08:00PM ET",22.217,"Phi"
"PG","Darren Collison",5100,"Dal@Sac 06:00PM ET",24.418,"Sac"
"SG","Will Barton",5100,"Den@LAC 03:30PM ET",28.349,"Den"
"PF","David Lee",5000,"Dal@Sac 06:00PM ET",19.367,"Dal"
"SG","J.J. Redick",5000,"Den@LAC 03:30PM ET",23.101,"LAC"
