"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12000,"Ind@OKC 07:00PM ET",62.173,"OKC"
"PF/C","DeMarcus Cousins",10400,"Tor@Sac 09:00PM ET",48.827,"Sac"
"SG/SF","Jimmy Butler",8700,"Chi@LAL 09:30PM ET",41.481,"Chi"
"SG","DeMar DeRozan",8600,"Tor@Sac 09:00PM ET",46.375,"Tor"
"PG","Kyle Lowry",8200,"Tor@Sac 09:00PM ET",41.146,"Tor"
"SF","Paul George",8000,"Ind@OKC 07:00PM ET",39.727,"Ind"
"SF","Gordon Hayward",7400,"Uta@Den 09:00PM ET",35.719,"Uta"
"PG","Jeff Teague",6800,"Ind@OKC 07:00PM ET",32.038,"Ind"
"PG/SG","George Hill",6700,"Uta@Den 09:00PM ET",34.643,"Uta"
"SF","Rudy Gay",6600,"Tor@Sac 09:00PM ET",35.583,"Sac"
"PF","Julius Randle",6500,"Chi@LAL 09:30PM ET",33.135,"LAL"
"PF/C","Myles Turner",6400,"Ind@OKC 07:00PM ET",31.327,"Ind"
"PG","D'Angelo Russell",6400,"Chi@LAL 09:30PM ET",30.896,"LAL"
"C","Rudy Gobert",6300,"Uta@Den 09:00PM ET",31.464,"Uta"
"PG/SG","Victor Oladipo",6200,"Ind@OKC 07:00PM ET",27.500,"OKC"
"SG","Dwyane Wade",6100,"Chi@LAL 09:30PM ET",32.038,"Chi"
"PG","Emmanuel Mudiay",5900,"Uta@Den 09:00PM ET",30.625,"Den"
"SF","Danilo Gallinari",5800,"Uta@Den 09:00PM ET",27.875,"Den"
"PF","Kenneth Faried",5800,"Uta@Den 09:00PM ET",28.292,"Den"
"PF","Derrick Favors",5800,"Uta@Den 09:00PM ET",23.273,"Uta"
"SG","Rodney Hood",5700,"Uta@Den 09:00PM ET",28.769,"Uta"
"SF","Wilson Chandler",5700,"Uta@Den 09:00PM ET",30.375,"Den"
"SG","Monta Ellis",5600,"Ind@OKC 07:00PM ET",25.481,"Ind"
"C","Jonas Valanciunas",5600,"Tor@Sac 09:00PM ET",28.575,"Tor"
"PG/SG","Jordan Clarkson",5500,"Chi@LAL 09:30PM ET",25.096,"LAL"
"PF","Thaddeus Young",5400,"Ind@OKC 07:00PM ET",24.462,"Ind"
"C","Steven Adams",5400,"Ind@OKC 07:00PM ET",25.923,"OKC"
"PG","Rajon Rondo",5300,"Chi@LAL 09:30PM ET",27.250,"Chi"
"PF/C","Taj Gibson",5300,"Chi@LAL 09:30PM ET",26.481,"Chi"
"SG","Lou Williams",5200,"Chi@LAL 09:30PM ET",27.327,"LAL"
"PG","Darren Collison",5100,"Tor@Sac 09:00PM ET",24.600,"Sac"
"SG/SF","Will Barton",5000,"Uta@Den 09:00PM ET",29.750,"Den"
"SG/SF","C.J. Miles",5000,"Ind@OKC 07:00PM ET",21.923,"Ind"
"C","Robin Lopez",5000,"Chi@LAL 09:30PM ET",22.846,"Chi"
"PF/C","Trey Lyles",4800,"Uta@Den 09:00PM ET",18.018,"Uta"
"PF/C","Nikola Jokic",4700,"Uta@Den 09:00PM ET",20.958,"Den"
"SG","Nick Young",4600,"Chi@LAL 09:30PM ET",21.442,"LAL"
"C","Enes Kanter",4400,"Ind@OKC 07:00PM ET",22.231,"OKC"
"C","Jusuf Nurkic",4300,"Uta@Den 09:00PM ET",24.229,"Den"
"PF","Nikola Mirotic",4300,"Chi@LAL 09:30PM ET",20.058,"Chi"
"SF","Matt Barnes",4200,"Tor@Sac 09:00PM ET",20.038,"Sac"
"PG","Jerian Grant",4200,"Chi@LAL 09:30PM ET",13.250,"Chi"
"PG/SG","Jameer Nelson",4100,"Uta@Den 09:00PM ET",17.854,"Den"
"SG/SF","Andre Roberson",4100,"Ind@OKC 07:00PM ET",19.385,"OKC"
"SG","Gary Harris",4000,"Uta@Den 09:00PM ET",19.400,"Den"
"C","Lucas Nogueira",3900,"Tor@Sac 09:00PM ET",20.333,"Tor"
"PG","Ty Lawson",3800,"Tor@Sac 09:00PM ET",20.269,"Sac"
"PF","Patrick Patterson",3700,"Tor@Sac 09:00PM ET",19.021,"Tor"
"SF/PF","Luol Deng",3700,"Chi@LAL 09:30PM ET",17.923,"LAL"
"SF/PF","Larry Nance Jr.",3700,"Chi@LAL 09:30PM ET",16.813,"LAL"
"PG","Jamal Murray",3600,"Uta@Den 09:00PM ET",13.625,"Den"
"SG/SF","Terrence Ross",3600,"Tor@Sac 09:00PM ET",18.000,"Tor"
"PG","Dante Exum",3500,"Uta@Den 09:00PM ET",14.036,"Uta"
"PF","Domantas Sabonis",3500,"Ind@OKC 07:00PM ET",14.962,"OKC"
"SF/PF","DeMarre Carroll",3500,"Tor@Sac 09:00PM ET",16.175,"Tor"
"SF","Glenn Robinson III",3400,"Ind@OKC 07:00PM ET",7.886,"Ind"
"C","Al Jefferson",3400,"Ind@OKC 07:00PM ET",14.462,"Ind"
"PG","Cory Joseph",3400,"Tor@Sac 09:00PM ET",13.833,"Tor"
"SG/SF","Norman Powell",3400,"Tor@Sac 09:00PM ET",11.636,"Tor"
"SF","Brandon Ingram",3400,"Chi@LAL 09:30PM ET",14.673,"LAL"
"PG","Shelvin Mack",3300,"Uta@Den 09:00PM ET",15.018,"Uta"
"SG/SF","Joe Johnson",3300,"Uta@Den 09:00PM ET",19.036,"Uta"
"SF/PF","Jerami Grant",3300,"Ind@OKC 07:00PM ET",13.125,"OKC"
"SF","Doug McDermott",3300,"Chi@LAL 09:30PM ET",16.889,"Chi"
"C","Timofey Mozgov",3300,"Chi@LAL 09:30PM ET",16.813,"LAL"
"PF","Pascal Siakam",3200,"Tor@Sac 09:00PM ET",13.313,"Tor"
"SF","Joe Ingles",3100,"Uta@Den 09:00PM ET",10.250,"Uta"
"SG","Arron Afflalo",3100,"Tor@Sac 09:00PM ET",14.577,"Sac"
"PG","Raul Neto",3000,"Uta@Den 09:00PM ET",1.250,"Uta"
"PG","Malik Beasley",3000,"Uta@Den 09:00PM ET",3.700,"Den"
"SG","Mike Miller",3000,"Uta@Den 09:00PM ET",5.167,"Den"
"SG","Alec Burks",3000,"Uta@Den 09:00PM ET",0,"Uta"
"SF","Alonzo Gee",3000,"Uta@Den 09:00PM ET",1.375,"Den"
"PF/C","Boris Diaw",3000,"Uta@Den 09:00PM ET",5.050,"Uta"
"PF","Darrell Arthur",3000,"Uta@Den 09:00PM ET",6.000,"Den"
"PF","Joel Bolomboy",3000,"Uta@Den 09:00PM ET",3.250,"Uta"
"C","Jeff Withey",3000,"Uta@Den 09:00PM ET",5.800,"Uta"
"C","Juancho Hernangomez",3000,"Uta@Den 09:00PM ET",9.050,"Den"
"PG/SG","Rodney Stuckey",3000,"Ind@OKC 07:00PM ET",5.583,"Ind"
"PG","Aaron Brooks",3000,"Ind@OKC 07:00PM ET",13.100,"Ind"
"PG","Semaj Christon",3000,"Ind@OKC 07:00PM ET",10.019,"OKC"
"PG","Cameron Payne",3000,"Ind@OKC 07:00PM ET",0,"OKC"
"SG","Anthony Morrow",3000,"Ind@OKC 07:00PM ET",3.964,"OKC"
"SG","Joe Young",3000,"Ind@OKC 07:00PM ET",5.300,"Ind"
"SG","Alex Abrines",3000,"Ind@OKC 07:00PM ET",7.896,"OKC"
"SF","Kyle Singler",3000,"Ind@OKC 07:00PM ET",4.944,"OKC"
"SF","Josh Huestis",3000,"Ind@OKC 07:00PM ET",0,"OKC"
"SF","Georges Niang",3000,"Ind@OKC 07:00PM ET",3.375,"Ind"
"PF/C","Joffrey Lauvergne",3000,"Ind@OKC 07:00PM ET",10.932,"OKC"
"PF","Lavoy Allen",3000,"Ind@OKC 07:00PM ET",8.731,"Ind"
"PF","Rakeem Christmas",3000,"Ind@OKC 07:00PM ET",2.750,"Ind"
"C","Nick Collison",3000,"Ind@OKC 07:00PM ET",1.900,"OKC"
"C","Kevin Seraphin",3000,"Ind@OKC 07:00PM ET",8.850,"Ind"
"PG/SG","Garrett Temple",3000,"Tor@Sac 09:00PM ET",13.327,"Sac"
"PG","Fred VanVleet",3000,"Tor@Sac 09:00PM ET",0.000,"Tor"
"PG","Delon Wright",3000,"Tor@Sac 09:00PM ET",0,"Tor"
"SG","Ben McLemore",3000,"Tor@Sac 09:00PM ET",11.659,"Sac"
"SG","Malachi Richardson",3000,"Tor@Sac 09:00PM ET",1.750,"Sac"
"SF/PF","Anthony Tolliver",3000,"Tor@Sac 09:00PM ET",7.107,"Sac"
"SF","Bruno Caboclo",3000,"Tor@Sac 09:00PM ET",0,"Tor"
"PF","Omri Casspi",3000,"Tor@Sac 09:00PM ET",9.542,"Sac"
"PF","Skal Labissiere",3000,"Tor@Sac 09:00PM ET",11.750,"Sac"
"C","Kosta Koufos",3000,"Tor@Sac 09:00PM ET",14.404,"Sac"
"C","Jared Sullinger",3000,"Tor@Sac 09:00PM ET",0,"Tor"
"C","Willie Cauley-Stein",3000,"Tor@Sac 09:00PM ET",9.477,"Sac"
"C","Jakob Poeltl",3000,"Tor@Sac 09:00PM ET",11.719,"Tor"
"C","Georgios Papagiannis",3000,"Tor@Sac 09:00PM ET",2.750,"Sac"
"PG","Jose Calderon",3000,"Chi@LAL 09:30PM ET",6.000,"LAL"
"PG","Isaiah Canaan",3000,"Chi@LAL 09:30PM ET",12.058,"Chi"
"PG","Marcelo Huertas",3000,"Chi@LAL 09:30PM ET",7.333,"LAL"
"PG","Michael Carter-Williams",3000,"Chi@LAL 09:30PM ET",13.583,"Chi"
"SG/SF","Denzel Valentine",3000,"Chi@LAL 09:30PM ET",4.028,"Chi"
"SG","R.J. Hunter",3000,"Chi@LAL 09:30PM ET",0.000,"Chi"
"SF","Metta World Peace",3000,"Chi@LAL 09:30PM ET",1.313,"LAL"
"SF","Paul Zipser",3000,"Chi@LAL 09:30PM ET",2.950,"Chi"
"PF","Thomas Robinson",3000,"Chi@LAL 09:30PM ET",2.500,"LAL"
"PF","Bobby Portis",3000,"Chi@LAL 09:30PM ET",9.938,"Chi"
"C","Tarik Black",3000,"Chi@LAL 09:30PM ET",13.635,"LAL"
"C","Cristiano Felicio",3000,"Chi@LAL 09:30PM ET",7.694,"Chi"
"C","Ivica Zubac",3000,"Chi@LAL 09:30PM ET",5.333,"LAL"
