"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Kevin Durant",10700,"Pho@GS 10:30PM ET",52.553,"GS"
"PG","Stephen Curry",9100,"Pho@GS 10:30PM ET",44.776,"GS"
"C","Hassan Whiteside",9000,"Mia@Por 10:00PM ET",43.500,"Mia"
"C","Karl-Anthony Towns",8900,"Min@Cha 07:00PM ET",43.611,"Min"
"PG","Damian Lillard",8700,"Mia@Por 10:00PM ET",44.988,"Por"
"SG/SF","Jimmy Butler",8400,"Chi@Dal 08:30PM ET",42.971,"Chi"
"PF/C","Draymond Green",8200,"Pho@GS 10:30PM ET",40.083,"GS"
"SG","DeMar DeRozan",8000,"Atl@Tor 07:30PM ET",43.681,"Tor"
"PG","Kyle Lowry",7800,"Atl@Tor 07:30PM ET",41.722,"Tor"
"SF","Gordon Hayward",7700,"Den@Uta 09:00PM ET",38.661,"Uta"
"PG","Isaiah Thomas",7600,"Bos@Phi 07:30PM ET",40.583,"Bos"
"PG","Eric Bledsoe",7500,"Pho@GS 10:30PM ET",36.566,"Pho"
"PG","Kemba Walker",7400,"Min@Cha 07:00PM ET",40.882,"Cha"
"C","Dwight Howard",7300,"Atl@Tor 07:30PM ET",37.361,"Atl"
"PF","Paul Millsap",7200,"Atl@Tor 07:30PM ET",36.056,"Atl"
"C","Marc Gasol",7100,"LAL@Mem 08:00PM ET",35.539,"Mem"
"PG/SG","C.J. McCollum",7000,"Mia@Por 10:00PM ET",36.313,"Por"
"PG","Mike Conley",6900,"LAL@Mem 08:00PM ET",36.485,"Mem"
"C","Joel Embiid",6900,"Bos@Phi 07:30PM ET",35.021,"Phi"
"PG","Goran Dragic",6900,"Mia@Por 10:00PM ET",33.250,"Mia"
"PG/SG","George Hill",6800,"Den@Uta 09:00PM ET",33.750,"Uta"
"PG","Rajon Rondo",6700,"Chi@Dal 08:30PM ET",29.917,"Chi"
"SF","Andrew Wiggins",6600,"Min@Cha 07:00PM ET",32.583,"Min"
"SG/SF","Devin Booker",6500,"Pho@GS 10:30PM ET",28.403,"Pho"
"PF","Julius Randle",6500,"LAL@Mem 08:00PM ET",31.691,"LAL"
"C","Al Horford",6500,"Bos@Phi 07:30PM ET",36.094,"Bos"
"SG","Klay Thompson",6400,"Pho@GS 10:30PM ET",30.026,"GS"
