PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,C,Tiago Splitter (7893109),Tiago Splitter,7893109,3000,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,PG,Jason Terry (7892798),Jason Terry,7892798,3000,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,PG,Nicolas Laprovittola (7892801),Nicolas Laprovittola,7892801,3000,SA@Mil 08:00PM ET,SA,
,,,,,,,,,PG,Bryn Forbes (7892802),Bryn Forbes,7892802,3000,SA@Mil 08:00PM ET,SA,
,,,,,,,,,PG,Dejounte Murray (7892804),Dejounte Murray,7892804,3000,SA@Mil 08:00PM ET,SA,
,,,,,,,,,SG,Khris Middleton (7892899),Khris Middleton,7892899,3000,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,SG,Kyle Anderson (7892900),Kyle Anderson,7892900,3000,SA@Mil 08:00PM ET,SA,
,,,,,,,,,SG,Rashad Vaughn (7892901),Rashad Vaughn,7892901,3000,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,SF/PF,Davis Bertans (7892946),Davis Bertans,7892946,3000,SA@Mil 08:00PM ET,SA,
,,,,,,,,,SF,Steve Novak (7892989),Steve Novak,7892989,3000,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,PF,Mirza Teletovic (7893065),Mirza Teletovic,7893065,3000,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,PF,Thon Maker (7893066),Thon Maker,7893066,3000,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,C,Miles Plumlee (7893114),Miles Plumlee,7893114,3000,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,PG,Shabazz Napier (7892808),Shabazz Napier,7892808,3000,Por@Chi 08:00PM ET,Por,
,,,,,,,,,PG,Michael Carter-Williams (7892809),Michael Carter-Williams,7892809,3000,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,PG,Tim Quarterman (7892810),Tim Quarterman,7892810,3000,Por@Chi 08:00PM ET,Por,
,,,,,,,,,SG,R.J. Hunter (7892904),R.J. Hunter,7892904,3000,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,SF,Pat Connaughton (7892992),Pat Connaughton,7892992,3000,Por@Chi 08:00PM ET,Por,
,,,,,,,,,SF,Denzel Valentine (7892994),Denzel Valentine,7892994,3000,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,SF,Paul Zipser (7892995),Paul Zipser,7892995,3000,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,PF,Jake Layman (7893069),Jake Layman,7893069,3000,Por@Chi 08:00PM ET,Por,
,,,,,,,,,PF,Bobby Portis (7893070),Bobby Portis,7893070,3000,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,PF,Noah Vonleh (7893071),Noah Vonleh,7893071,3000,Por@Chi 08:00PM ET,Por,
,,,,,,,,,C,Festus Ezeli (7893119),Festus Ezeli,7893119,3000,Por@Chi 08:00PM ET,Por,
,,,,,,,,,C,Cristiano Felicio (7893122),Cristiano Felicio,7893122,3000,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,PG/SG,Ian Clark (7892787),Ian Clark,7892787,3000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,PG,Aaron Brooks (7892811),Aaron Brooks,7892811,3000,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,SG/SF,Patrick McCaw (7892878),Patrick McCaw,7892878,3000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,SG,Joe Young (7892907),Joe Young,7892907,3000,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,PF,David West (7893072),David West,7893072,3000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,PF,Lavoy Allen (7893074),Lavoy Allen,7893074,3000,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,PF,James Michael McAdoo (7893075),James Michael McAdoo,7893075,3000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,PF,Rakeem Christmas (7893076),Rakeem Christmas,7893076,3000,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,PF,Georges Niang (7893077),Georges Niang,7893077,3000,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,PF,Kevon Looney (7893078),Kevon Looney,7893078,3000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,C,Anderson Varejao (7893125),Anderson Varejao,7893125,3000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,C,JaVale McGee (7893126),JaVale McGee,7893126,3000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,C,Kevin Seraphin (7893127),Kevin Seraphin,7893127,3000,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,C,Damian Jones (7893128),Damian Jones,7893128,3000,Ind@GS 10:30PM ET,GS,
,,,,,,,,,PG,Trey Burke (7892817),Trey Burke,7892817,3000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,PG,Yogi Ferrell (7892819),Yogi Ferrell,7892819,3000,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG/SF,Kelly Oubre Jr. (7892880),Kelly Oubre Jr.,7892880,3000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,SG,Randy Foye (7892908),Randy Foye,7892908,3000,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG,Marcus Thornton (7892909),Marcus Thornton,7892909,3000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,SG,Sheldon McClellan (7892912),Sheldon McClellan,7892912,3000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,SG,Danuel House (7892913),Danuel House,7892913,3000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,SG,Caris LeVert (7892914),Caris LeVert,7892914,3000,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PF/C,Luis Scola (7893047),Luis Scola,7893047,3000,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PF/C,Jason Smith (7893048),Jason Smith,7893048,3000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,PF,Andrew Nicholson (7893080),Andrew Nicholson,7893080,3000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,PF,Chris McCullough (7893081),Chris McCullough,7893081,3000,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,C,Ian Mahinmi (7893129),Ian Mahinmi,7893129,3000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,C,Daniel Ochefu (7893133),Daniel Ochefu,7893133,3000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,PG,Bobby Brown (7892821),Bobby Brown,7892821,3000,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PG,Demetrius Jackson (7892824),Demetrius Jackson,7892824,3000,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,PG,Terry Rozier (7892825),Terry Rozier,7892825,3000,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,PG,Tyler Ennis (7892826),Tyler Ennis,7892826,3000,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,SG,Gerald Green (7892915),Gerald Green,7892915,3000,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,SG,K.J. McDaniels (7892918),K.J. McDaniels,7892918,3000,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,SG,James Young (7892919),James Young,7892919,3000,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,SF,Corey Brewer (7893002),Corey Brewer,7893002,3000,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,SF,Jaylen Brown (7893005),Jaylen Brown,7893005,3000,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,PF,Jonas Jerebko (7893084),Jonas Jerebko,7893084,3000,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,PF,Kyle Wiltjer (7893085),Kyle Wiltjer,7893085,3000,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PF,Jordan Mickey (7893086),Jordan Mickey,7893086,3000,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,C,Nene Hilario (7893134),Nene Hilario,7893134,3000,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,C,Tyler Zeller (7893136),Tyler Zeller,7893136,3000,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,C,Chinanu Onuaku (7893138),Chinanu Onuaku,7893138,3000,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PG,Devin Harris (7892827),Devin Harris,7892827,3000,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,PG,Brian Roberts (7892830),Brian Roberts,7892830,3000,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,PG,Aaron Harrison (7892833),Aaron Harrison,7892833,3000,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,SG,Nicolas Brussino (7892924),Nicolas Brussino,7892924,3000,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,SF,Dorian Finney-Smith (7893007),Dorian Finney-Smith,7893007,3000,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,SF,Treveon Graham (7893008),Treveon Graham,7893008,3000,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,PF,Christian Wood (7893090),Christian Wood,7893090,3000,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,C,Roy Hibbert (7893140),Roy Hibbert,7893140,3000,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,C,A.J. Hammons (7893143),A.J. Hammons,7893143,3000,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,PG,T.J. McConnell (7892837),T.J. McConnell,7892837,3000,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,PG,Malik Beasley (7892839),Malik Beasley,7892839,3000,Den@Phi 07:00PM ET,Den,
,,,,,,,,,SG/SF,Hollis Thompson (7892885),Hollis Thompson,7892885,3000,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,SG,Mike Miller (7892925),Mike Miller,7892925,3000,Den@Phi 07:00PM ET,Den,
,,,,,,,,,SG,Timothe Luwawu-Cabarrot (7892929),Timothe Luwawu-Cabarrot,7892929,3000,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,SF,Alonzo Gee (7893010),Alonzo Gee,7893010,3000,Den@Phi 07:00PM ET,Den,
,,,,,,,,,SF,Ben Simmons (7893013),Ben Simmons,7893013,3000,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,PF/C,Juancho Hernangomez (7893055),Juancho Hernangomez,7893055,3000,Den@Phi 07:00PM ET,Den,
,,,,,,,,,PF,Darrell Arthur (7893092),Darrell Arthur,7893092,3000,Den@Phi 07:00PM ET,Den,
,,,,,,,,,PG,Mo Williams (7892840),Mo Williams,7892840,3000,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,PG,Fred VanVleet (7892844),Fred VanVleet,7892844,3000,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,PG,Delon Wright (7892845),Delon Wright,7892845,3000,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,PG,Kay Felder (7892846),Kay Felder,7892846,3000,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,SG/SF,Mike Dunleavy (7892887),Mike Dunleavy,7892887,3000,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,SG,James Jones (7892930),James Jones,7892930,3000,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,SG,DeAndre Liggins (7892933),DeAndre Liggins,7892933,3000,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,SG,Jordan McRae (7892934),Jordan McRae,7892934,3000,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,SF,Richard Jefferson (7893014),Richard Jefferson,7893014,3000,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,SF,Bruno Caboclo (7893015),Bruno Caboclo,7893015,3000,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,PF,Pascal Siakam (7893097),Pascal Siakam,7893097,3000,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,C,Chris Andersen (7893147),Chris Andersen,7893147,3000,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,C,Jared Sullinger (7893148),Jared Sullinger,7893148,3000,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,C,Jakob Poeltl (7893152),Jakob Poeltl,7893152,3000,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,PG,Langston Galloway (7892850),Langston Galloway,7892850,3000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SG,Buddy Hield (7892939),Buddy Hield,7892939,3000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SF/PF,Dante Cunningham (7892957),Dante Cunningham,7892957,3000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SF,Quincy Pondexter (7893016),Quincy Pondexter,7893016,3000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SF,Anthony Brown (7893019),Anthony Brown,7893019,3000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,PF,Brandan Wright (7893098),Brandan Wright,7893098,3000,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,PF,Cheick Diallo (7893102),Cheick Diallo,7893102,3000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,C,Alexis Ajinca (7893154),Alexis Ajinca,7893154,3000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,C,Omer Asik (7893155),Omer Asik,7893155,3000,Mem@NO 08:00PM ET,NO,
,,,,,,,,,C,Deyonta Davis (7893156),Deyonta Davis,7893156,3000,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,PG,Marcelo Huertas (7892855),Marcelo Huertas,7892855,3000,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Raul Neto (7892856),Raul Neto,7892856,3000,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,SG,Alec Burks (7892942),Alec Burks,7892942,3000,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,SF,Metta World Peace (7893021),Metta World Peace,7893021,3000,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PF/C,Boris Diaw (7893059),Boris Diaw,7893059,3000,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,PF,Thomas Robinson (7893104),Thomas Robinson,7893104,3000,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PF,Joel Bolomboy (7893105),Joel Bolomboy,7893105,3000,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,C,Jeff Withey (7893157),Jeff Withey,7893157,3000,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,C,Tarik Black (7893158),Tarik Black,7893158,3000,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,C,Ivica Zubac (7893161),Ivica Zubac,7893161,3000,Uta@LAL 10:30PM ET,LAL,
