PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,Julius Randle (7893106),Julius Randle,7893106,6000,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PG,Jeremy Lin (7892815),Jeremy Lin,7892815,5900,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG,Sean Kilpatrick (7892910),Sean Kilpatrick,7892910,5900,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,C,Marcin Gortat (7893130),Marcin Gortat,7893130,5900,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,PF,Trevor Booker (7893079),Trevor Booker,7893079,5800,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SF,Jae Crowder (7893003),Jae Crowder,7893003,5800,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,SG,Lou Williams (7892941),Lou Williams,7892941,5800,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PF,Derrick Favors (7893103),Derrick Favors,7893103,5800,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,C,Clint Capela (7893137),Clint Capela,7893137,5700,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PF/C,Taj Gibson (7893044),Taj Gibson,7893044,5600,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,SF/PF,Trevor Ariza (7892952),Trevor Ariza,7892952,5600,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PG/SG,Jordan Clarkson (7892792),Jordan Clarkson,7892792,5600,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PF,Thaddeus Young (7893073),Thaddeus Young,7893073,5500,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,SF,Danilo Gallinari (7893011),Danilo Gallinari,7893011,5500,Den@Phi 07:00PM ET,Den,
,,,,,,,,,PF,JaMychal Green (7893099),JaMychal Green,7893099,5500,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,SF,Maurice Harkless (7892993),Maurice Harkless,7892993,5400,Por@Chi 08:00PM ET,Por,
,,,,,,,,,PG,Emmanuel Mudiay (7892838),Emmanuel Mudiay,7892838,5400,Den@Phi 07:00PM ET,Den,
,,,,,,,,,SG,Rodney Hood (7892943),Rodney Hood,7892943,5400,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,C,Pau Gasol (7893113),Pau Gasol,7893113,5300,SA@Mil 08:00PM ET,SA,
,,,,,,,,,SG,Eric Gordon (7892916),Eric Gordon,7892916,5300,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PF/C,Jahlil Okafor (7893054),Jahlil Okafor,7893054,5300,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,PG,Tim Frazier (7892849),Tim Frazier,7892849,5300,Mem@NO 08:00PM ET,NO,
,,,,,,,,,C,Robin Lopez (7893118),Robin Lopez,7893118,5200,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,SG,Wesley Matthews (7892920),Wesley Matthews,7892920,5200,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,C,Jonas Valanciunas (7893150),Jonas Valanciunas,7893150,5200,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,SG/SF,Kent Bazemore (7892870),Kent Bazemore,7892870,5100,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,PG,Deron Williams (7892828),Deron Williams,7892828,5100,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,SG/SF,Will Barton (7892886),Will Barton,7892886,5100,Den@Phi 07:00PM ET,Den,
,,,,,,,,,PF,Kenneth Faried (7893093),Kenneth Faried,7893093,5100,Den@Phi 07:00PM ET,Den,
,,,,,,,,,PG,Andrew Harrison (7892851),Andrew Harrison,7892851,5100,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,SF,Glenn Robinson III (7892998),Glenn Robinson III,7892998,5000,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,SF/PF,Markieff Morris (7892950),Markieff Morris,7892950,5000,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,PG,J.J. Barea (7892829),J.J. Barea,7892829,5000,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,PF,Dirk Nowitzki (7893087),Dirk Nowitzki,7893087,5000,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,PG,Sergio Rodriguez (7892835),Sergio Rodriguez,7892835,5000,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Nerlens Noel (7893144),Nerlens Noel,7893144,5000,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,PF/C,Zach Randolph (7893057),Zach Randolph,7893057,5000,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,C,Steven Adams (7893112),Steven Adams,7893112,4900,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,SG,Monta Ellis (7892905),Monta Ellis,7892905,4900,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,PF,Frank Kaminsky (7893089),Frank Kaminsky,7893089,4900,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,PF/C,Nikola Jokic (7893053),Nikola Jokic,7893053,4900,Den@Phi 07:00PM ET,Den,
,,,,,,,,,SG/SF,Marcus Smart (7892881),Marcus Smart,7892881,4800,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,PF,Ryan Anderson (7893083),Ryan Anderson,7893083,4800,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,SF,Robert Covington (7893012),Robert Covington,7893012,4800,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Tristan Thompson (7893149),Tristan Thompson,7893149,4800,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,C,John Henson (7893116),John Henson,7893116,4700,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,SG/SF,C.J. Miles (7892877),C.J. Miles,7892877,4700,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,PG,Jameer Nelson (7892834),Jameer Nelson,7892834,4700,Den@Phi 07:00PM ET,Den,
,,,,,,,,,PF,Ersan Ilyasova (7893091),Ersan Ilyasova,7893091,4700,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,PG,Patrick Beverley (7892822),Patrick Beverley,7892822,4600,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PF,Terrence Jones (7893100),Terrence Jones,7893100,4600,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SF/PF,Larry Nance Jr. (7892959),Larry Nance Jr.,7892959,4600,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,C,Enes Kanter (7893111),Enes Kanter,7893111,4500,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,SG,Seth Curry (7892923),Seth Curry,7892923,4500,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,SF,Michael Kidd-Gilchrist (7893006),Michael Kidd-Gilchrist,7893006,4500,Cha@Dal 08:30PM ET,Cha,
