PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,C,Hassan Whiteside (7898924),Hassan Whiteside,7898924,9600,NY@Mia 07:30PM ET,Mia,
,,,,,,,,,SG/SF,Jimmy Butler (7898767),Jimmy Butler,7898767,8900,Chi@Det 07:30PM ET,Chi,
,,,,,,,,,PG,John Wall (7898745),John Wall,7898745,8700,Orl@Was 07:00PM ET,Was,
,,,,,,,,,SF,Gordon Hayward (7898853),Gordon Hayward,7898853,8200,Pho@Uta 09:00PM ET,Uta,
,,,,,,,,,C,Karl-Anthony Towns (7898912),Karl-Anthony Towns,7898912,8100,SA@Min 08:00PM ET,Min,
,,,,,,,,,PF,Kristaps Porzingis (7898897),Kristaps Porzingis,7898897,8000,NY@Mia 07:30PM ET,NY,
,,,,,,,,,SF,Kawhi Leonard (7898841),Kawhi Leonard,7898841,7800,SA@Min 08:00PM ET,SA,
,,,,,,,,,SF,Carmelo Anthony (7898848),Carmelo Anthony,7898848,7600,NY@Mia 07:30PM ET,NY,
,,,,,,,,,C,Andre Drummond (7898906),Andre Drummond,7898906,7500,Chi@Det 07:30PM ET,Det,
,,,,,,,,,C,Marc Gasol (7898918),Marc Gasol,7898918,7400,Phi@Mem 08:00PM ET,Mem,
,,,,,,,,,PG,Goran Dragic (7898756),Goran Dragic,7898756,7300,NY@Mia 07:30PM ET,Mia,
,,,,,,,,,C,Joel Embiid (7898920),Joel Embiid,7898920,7200,Phi@Mem 08:00PM ET,Phi,
,,,,,,,,,PG,Eric Bledsoe (7898760),Eric Bledsoe,7898760,7100,Pho@Uta 09:00PM ET,Pho,
,,,,,,,,,SG,Bradley Beal (7898792),Bradley Beal,7898792,7000,Orl@Was 07:00PM ET,Was,
,,,,,,,,,PG,Mike Conley (7898750),Mike Conley,7898750,6900,Phi@Mem 08:00PM ET,Mem,
,,,,,,,,,PG/SG,George Hill (7898727),George Hill,7898727,6800,Pho@Uta 09:00PM ET,Uta,
,,,,,,,,,SF/PF,Otto Porter (7898817),Otto Porter,7898817,6600,Orl@Was 07:00PM ET,Was,
,,,,,,,,,PG,Rajon Rondo (7898730),Rajon Rondo,7898730,6500,Chi@Det 07:30PM ET,Chi,
,,,,,,,,,PG,Derrick Rose (7898755),Derrick Rose,7898755,6400,NY@Mia 07:30PM ET,NY,
,,,,,,,,,C,Rudy Gobert (7898931),Rudy Gobert,7898931,6400,Pho@Uta 09:00PM ET,Uta,
,,,,,,,,,PF/C,LaMarcus Aldridge (7898868),LaMarcus Aldridge,7898868,6300,SA@Min 08:00PM ET,SA,
,,,,,,,,,PF/C,Serge Ibaka (7898871),Serge Ibaka,7898871,6300,Orl@Was 07:00PM ET,Orl,
,,,,,,,,,SG,Dwyane Wade (7898780),Dwyane Wade,7898780,6200,Chi@Det 07:30PM ET,Chi,
,,,,,,,,,C,Marcin Gortat (7898914),Marcin Gortat,7898914,6100,Orl@Was 07:00PM ET,Was,
,,,,,,,,,C,Nikola Vucevic (7898915),Nikola Vucevic,7898915,6100,Orl@Was 07:00PM ET,Orl,
,,,,,,,,,SF/PF,Tobias Harris (7898812),Tobias Harris,7898812,6000,Chi@Det 07:30PM ET,Det,
,,,,,,,,,SF,Andrew Wiggins (7898842),Andrew Wiggins,7898842,6000,SA@Min 08:00PM ET,Min,
,,,,,,,,,SG/SF,Devin Booker (7898779),Devin Booker,7898779,5900,Pho@Uta 09:00PM ET,Pho,
,,,,,,,,,PF/C,Taj Gibson (7898867),Taj Gibson,7898867,5800,Chi@Det 07:30PM ET,Chi,
,,,,,,,,,PF,Derrick Favors (7898899),Derrick Favors,7898899,5800,Pho@Uta 09:00PM ET,Uta,
,,,,,,,,,SG,Kentavious Caldwell-Pope (7898783),Kentavious Caldwell-Pope,7898783,5700,Chi@Det 07:30PM ET,Det,
,,,,,,,,,SG,Zach LaVine (7898788),Zach LaVine,7898788,5700,SA@Min 08:00PM ET,Min,
,,,,,,,,,PF,JaMychal Green (7898890),JaMychal Green,7898890,5700,Phi@Mem 08:00PM ET,Mem,
,,,,,,,,,PG,Reggie Jackson (7898732),Reggie Jackson,7898732,5600,Chi@Det 07:30PM ET,Det,
,,,,,,,,,SG,Dion Waiters (7898806),Dion Waiters,7898806,5600,NY@Mia 07:30PM ET,Mia,
,,,,,,,,,SF,T.J. Warren (7898855),T.J. Warren,7898855,5500,Pho@Uta 09:00PM ET,Pho,
,,,,,,,,,SG,Evan Fournier (7898794),Evan Fournier,7898794,5400,Orl@Was 07:00PM ET,Orl,
,,,,,,,,,PF/C,Jahlil Okafor (7898873),Jahlil Okafor,7898873,5400,Phi@Mem 08:00PM ET,Phi,
,,,,,,,,,PG,Andrew Harrison (7898753),Andrew Harrison,7898753,5300,Phi@Mem 08:00PM ET,Mem,
,,,,,,,,,SG,Rodney Hood (7898811),Rodney Hood,7898811,5300,Pho@Uta 09:00PM ET,Uta,
,,,,,,,,,PF/C,Gorgui Dieng (7898869),Gorgui Dieng,7898869,5200,SA@Min 08:00PM ET,Min,
,,,,,,,,,SF/PF,Markieff Morris (7898816),Markieff Morris,7898816,5200,Orl@Was 07:00PM ET,Was,
,,,,,,,,,PG,Tyler Johnson (7898758),Tyler Johnson,7898758,5200,NY@Mia 07:30PM ET,Mia,
,,,,,,,,,SF,Marcus Morris (7898835),Marcus Morris,7898835,5100,Chi@Det 07:30PM ET,Det,
,,,,,,,,,C,Pau Gasol (7898908),Pau Gasol,7898908,5100,SA@Min 08:00PM ET,SA,
,,,,,,,,,PG,Sergio Rodriguez (7898749),Sergio Rodriguez,7898749,5000,Phi@Mem 08:00PM ET,Phi,
,,,,,,,,,PF/C,Zach Randolph (7898872),Zach Randolph,7898872,5000,Phi@Mem 08:00PM ET,Mem,
,,,,,,,,,C,Nerlens Noel (7898919),Nerlens Noel,7898919,5000,Phi@Mem 08:00PM ET,Phi,
,,,,,,,,,PG,Ish Smith (7898731),Ish Smith,7898731,4900,Chi@Det 07:30PM ET,Det,
