"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",11900,"Det@OKC 08:00PM ET",64.382,"OKC"
"SF/PF","Kevin Durant",9600,"Min@GS 10:30PM ET",50.734,"GS"
"PG","Stephen Curry",9000,"Min@GS 10:30PM ET",44.391,"GS"
"C","Hassan Whiteside",8600,"Mem@Mia 08:00PM ET",43.783,"Mia"
"C","Karl-Anthony Towns",8400,"Min@GS 10:30PM ET",41.417,"Min"
"SF","Kawhi Leonard",8300,"SA@Was 07:00PM ET",43.766,"SA"
"PG","John Wall",8100,"SA@Was 07:00PM ET",47.229,"Was"
"PG","Kemba Walker",7900,"NY@Cha 07:00PM ET",42.217,"Cha"
"PF/C","Draymond Green",7800,"Min@GS 10:30PM ET",39.781,"GS"
"PF","Kristaps Porzingis",7700,"NY@Cha 07:00PM ET",36.133,"NY"
"C","Andre Drummond",7500,"Det@OKC 08:00PM ET",39.406,"Det"
"SF","Carmelo Anthony",7300,"NY@Cha 07:00PM ET",37.983,"NY"
"SF","Andrew Wiggins",7000,"Min@GS 10:30PM ET",33.567,"Min"
"C","Marc Gasol",6900,"Mem@Mia 08:00PM ET",34.900,"Mem"
"SG/SF","Nicolas Batum",6800,"NY@Cha 07:00PM ET",33.917,"Cha"
"PG","Mike Conley",6700,"Mem@Mia 08:00PM ET",37.117,"Mem"
"SG","Bradley Beal",6500,"SA@Was 07:00PM ET",30.705,"Was"
"SG","Victor Oladipo",6400,"Det@OKC 08:00PM ET",29.603,"OKC"
"PF/C","LaMarcus Aldridge",6300,"SA@Was 07:00PM ET",32.429,"SA"
"SG","Klay Thompson",6200,"Min@GS 10:30PM ET",29.625,"GS"
"PG","Goran Dragic",6200,"Mem@Mia 08:00PM ET",30.386,"Mia"
"PF/C","Gorgui Dieng",6100,"Min@GS 10:30PM ET",29.217,"Min"
"SG","Zach LaVine",6000,"Min@GS 10:30PM ET",28.536,"Min"
"PG","Reggie Jackson",6000,"Det@OKC 08:00PM ET",0,"Det"
"PG","Ricky Rubio",5900,"Min@GS 10:30PM ET",23.775,"Min"
"SF/PF","Otto Porter",5800,"SA@Was 07:00PM ET",32.536,"Was"
"SF/PF","Tobias Harris",5700,"Det@OKC 08:00PM ET",26.824,"Det"
"PG","Derrick Rose",5600,"NY@Cha 07:00PM ET",29.017,"NY"
"C","Marcin Gortat",5500,"SA@Was 07:00PM ET",32.321,"Was"
"C","Pau Gasol",5400,"SA@Was 07:00PM ET",27.203,"SA"
"SG","Dion Waiters",5300,"Mem@Mia 08:00PM ET",25.867,"Mia"
"SF","Justise Winslow",5200,"Mem@Mia 08:00PM ET",26.778,"Mia"
"SG","Kentavious Caldwell-Pope",5100,"Det@OKC 08:00PM ET",25.397,"Det"
"C","Steven Adams",5000,"Det@OKC 08:00PM ET",25.206,"OKC"
"SF/PF","Markieff Morris",5000,"SA@Was 07:00PM ET",25.911,"Was"
"PF/C","Zach Randolph",5000,"Mem@Mia 08:00PM ET",26.500,"Mem"
"PF","JaMychal Green",5000,"Mem@Mia 08:00PM ET",20.516,"Mem"
"PG","Ish Smith",4900,"Det@OKC 08:00PM ET",25.382,"Det"
"SF","Michael Kidd-Gilchrist",4900,"NY@Cha 07:00PM ET",24.429,"Cha"
"SG/SF","Josh Richardson",4900,"Mem@Mia 08:00PM ET",19.841,"Mia"
"PF","Frank Kaminsky",4800,"NY@Cha 07:00PM ET",23.942,"Cha"
"PG/SG","Tyler Johnson",4800,"Mem@Mia 08:00PM ET",25.967,"Mia"
"SF","Marcus Morris",4700,"Det@OKC 08:00PM ET",24.515,"Det"
"PF/C","Spencer Hawes",4600,"NY@Cha 07:00PM ET",18.732,"Cha"
"PF","Jon Leuer",4500,"Det@OKC 08:00PM ET",23.309,"Det"
"C","Enes Kanter",4400,"Det@OKC 08:00PM ET",22.324,"OKC"
"C","Joakim Noah",4400,"NY@Cha 07:00PM ET",23.058,"NY"
"SF/PF","James Johnson",4400,"Mem@Mia 08:00PM ET",21.283,"Mia"
"PF","Marvin Williams",4300,"NY@Cha 07:00PM ET",21.783,"Cha"
"SG/SF","Andre Roberson",4200,"Det@OKC 08:00PM ET",19.265,"OKC"
"PG","Patty Mills",4200,"SA@Was 07:00PM ET",19.969,"SA"
"SG/SF","Vince Carter",4100,"Mem@Mia 08:00PM ET",19.984,"Mem"
"SG","Tony Allen",4100,"Mem@Mia 08:00PM ET",16.250,"Mem"
"PG","Tony Parker",4000,"SA@Was 07:00PM ET",19.591,"SA"
"SG","Danny Green",4000,"SA@Was 07:00PM ET",21.094,"SA"
"PF","David Lee",4000,"SA@Was 07:00PM ET",17.250,"SA"
"C","Cody Zeller",4000,"NY@Cha 07:00PM ET",22.938,"Cha"
"SG/SF","James Ennis",4000,"Mem@Mia 08:00PM ET",19.929,"Mem"
"C","Cole Aldrich",3900,"Min@GS 10:30PM ET",9.667,"Min"
"PG","Brandon Jennings",3900,"NY@Cha 07:00PM ET",19.583,"NY"
"SG","Marco Belinelli",3900,"NY@Cha 07:00PM ET",20.400,"Cha"
"C","Aron Baynes",3800,"Det@OKC 08:00PM ET",11.515,"Det"
"PG","Tomas Satoransky",3800,"SA@Was 07:00PM ET",12.107,"Was"
"PF/C","Kyle O'Quinn",3800,"NY@Cha 07:00PM ET",12.867,"NY"
"SG","Courtney Lee",3700,"NY@Cha 07:00PM ET",18.150,"NY"
"SF","Chandler Parsons",3700,"Mem@Mia 08:00PM ET",13.750,"Mem"
"C","Dewayne Dedmon",3600,"SA@Was 07:00PM ET",13.773,"SA"
"C","Willie Reed",3600,"Mem@Mia 08:00PM ET",8.825,"Mia"
"SF","Andre Iguodala",3500,"Min@GS 10:30PM ET",17.406,"GS"
"SG/SF","Kelly Oubre Jr.",3500,"SA@Was 07:00PM ET",8.385,"Was"
"C","Guillermo Hernangomez",3500,"NY@Cha 07:00PM ET",12.000,"NY"
"PG","Shaun Livingston",3400,"Min@GS 10:30PM ET",10.281,"GS"
"PG","Ramon Sessions",3400,"NY@Cha 07:00PM ET",13.417,"Cha"
"PF","Domantas Sabonis",3300,"Det@OKC 08:00PM ET",15.382,"OKC"
"SG/SF","Justin Holiday",3300,"NY@Cha 07:00PM ET",13.133,"NY"
