"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12500,"OKC@LAL 10:30PM ET",62.964,"OKC"
"PF/C","Anthony Davis",11000,"NO@Atl 07:30PM ET",58.327,"NO"
"SG/SF","Jimmy Butler",9200,"Chi@Den 09:00PM ET",42.750,"Chi"
"PG","Damian Lillard",8900,"Por@NY 07:30PM ET",42.567,"Por"
"PF","Paul Millsap",7900,"NO@Atl 07:30PM ET",37.481,"Atl"
"SF","Carmelo Anthony",7800,"Por@NY 07:30PM ET",36.327,"NY"
"C","Dwight Howard",7700,"NO@Atl 07:30PM ET",39.625,"Atl"
"PF","Kristaps Porzingis",7500,"Por@NY 07:30PM ET",35.250,"NY"
"PG/SG","C.J. McCollum",7400,"Por@NY 07:30PM ET",36.833,"Por"
"PF","Julius Randle",6700,"OKC@LAL 10:30PM ET",32.321,"LAL"
"PG/SG","Victor Oladipo",6600,"OKC@LAL 10:30PM ET",27.839,"OKC"
"PG","Jrue Holiday",6400,"NO@Atl 07:30PM ET",39.000,"NO"
"SG/SF","Tyreke Evans",6300,"NO@Atl 07:30PM ET",0,"NO"
"PG","D'Angelo Russell",6200,"OKC@LAL 10:30PM ET",30.538,"LAL"
"SG","Dwyane Wade",6000,"Chi@Den 09:00PM ET",32.038,"Chi"
"PG","Emmanuel Mudiay",5900,"Chi@Den 09:00PM ET",30.731,"Den"
"SF","Danilo Gallinari",5900,"Chi@Den 09:00PM ET",28.096,"Den"
"PG","Derrick Rose",5800,"Por@NY 07:30PM ET",28.423,"NY"
"SF","Wilson Chandler",5700,"Chi@Den 09:00PM ET",29.886,"Den"
"PF","Kenneth Faried",5700,"Chi@Den 09:00PM ET",27.231,"Den"
"PG","Dennis Schroder",5600,"NO@Atl 07:30PM ET",27.635,"Atl"
"PG","Rajon Rondo",5600,"Chi@Den 09:00PM ET",27.792,"Chi"
"C","Mason Plumlee",5600,"Por@NY 07:30PM ET",26.833,"Por"
"SG/SF","Kent Bazemore",5500,"NO@Atl 07:30PM ET",25.365,"Atl"
"PF","Terrence Jones",5400,"NO@Atl 07:30PM ET",23.981,"NO"
"PF/C","Taj Gibson",5400,"Chi@Den 09:00PM ET",26.679,"Chi"
"C","Robin Lopez",5300,"Chi@Den 09:00PM ET",23.661,"Chi"
"SG","Lou Williams",5300,"OKC@LAL 10:30PM ET",27.964,"LAL"
"C","Steven Adams",5200,"OKC@LAL 10:30PM ET",25.357,"OKC"
"PG","Tim Frazier",5100,"NO@Atl 07:30PM ET",29.054,"NO"
"PG/SG","Jordan Clarkson",5000,"OKC@LAL 10:30PM ET",24.196,"LAL"
"SF","Maurice Harkless",4900,"Por@NY 07:30PM ET",21.950,"Por"
"PF","Nikola Mirotic",4800,"Chi@Den 09:00PM ET",21.429,"Chi"
"SG/SF","Will Barton",4700,"Chi@Den 09:00PM ET",25.500,"Den"
"C","Jusuf Nurkic",4600,"Chi@Den 09:00PM ET",25.077,"Den"
"PF","Al-Farouq Aminu",4600,"Por@NY 07:30PM ET",21.844,"Por"
"C","Enes Kanter",4600,"OKC@LAL 10:30PM ET",23.000,"OKC"
"PF/C","Nikola Jokic",4500,"Chi@Den 09:00PM ET",21.404,"Den"
"C","Joakim Noah",4400,"Por@NY 07:30PM ET",23.354,"NY"
"SG","Nick Young",4400,"OKC@LAL 10:30PM ET",21.804,"LAL"
"SG/SF","Andre Roberson",4300,"OKC@LAL 10:30PM ET",19.429,"OKC"
"SG","E'Twaun Moore",4200,"NO@Atl 07:30PM ET",21.192,"NO"
"SG/SF","Evan Turner",4100,"Por@NY 07:30PM ET",18.183,"Por"
"C","Mike Muscala",4000,"NO@Atl 07:30PM ET",20.000,"Atl"
"SG","Gary Harris",4000,"Chi@Den 09:00PM ET",19.400,"Den"
"SG","Kyle Korver",3900,"NO@Atl 07:30PM ET",18.833,"Atl"
"SG/SF","Allen Crabbe",3900,"Por@NY 07:30PM ET",17.317,"Por"
"SF/PF","Larry Nance Jr.",3900,"OKC@LAL 10:30PM ET",18.135,"LAL"
"PG","Langston Galloway",3800,"NO@Atl 07:30PM ET",18.446,"NO"
"PG/SG","Jameer Nelson",3800,"Chi@Den 09:00PM ET",17.231,"Den"
"PG","Brandon Jennings",3800,"Por@NY 07:30PM ET",19.596,"NY"
"SF","Thabo Sefolosha",3700,"NO@Atl 07:30PM ET",21.400,"Atl"
"SG","Courtney Lee",3700,"Por@NY 07:30PM ET",17.865,"NY"
"SF/PF","Luol Deng",3700,"OKC@LAL 10:30PM ET",17.750,"LAL"
"PG/SG","Tim Hardaway Jr.",3600,"NO@Atl 07:30PM ET",18.365,"Atl"
"PG","Jerian Grant",3600,"Chi@Den 09:00PM ET",12.222,"Chi"
"PF/C","Kyle O'Quinn",3600,"Por@NY 07:30PM ET",12.154,"NY"
"PG","Jamal Murray",3500,"Chi@Den 09:00PM ET",14.885,"Den"
"SF/PF","Dante Cunningham",3400,"NO@Atl 07:30PM ET",13.962,"NO"
"SF","Solomon Hill",3400,"NO@Atl 07:30PM ET",15.357,"NO"
"PG","Isaiah Canaan",3400,"Chi@Den 09:00PM ET",12.875,"Chi"
"SF","Brandon Ingram",3400,"OKC@LAL 10:30PM ET",14.768,"LAL"
"SF","Doug McDermott",3300,"Chi@Den 09:00PM ET",16.889,"Chi"
"C","Guillermo Hernangomez",3300,"Por@NY 07:30PM ET",11.175,"NY"
"PF","Domantas Sabonis",3300,"OKC@LAL 10:30PM ET",15.179,"OKC"
"C","Timofey Mozgov",3300,"OKC@LAL 10:30PM ET",17.019,"LAL"
"SG","Buddy Hield",3200,"NO@Atl 07:30PM ET",15.054,"NO"
"SG/SF","Justin Holiday",3200,"Por@NY 07:30PM ET",12.769,"NY"
"PF","Meyers Leonard",3200,"Por@NY 07:30PM ET",12.135,"Por"
"C","Ed Davis",3200,"Por@NY 07:30PM ET",10.817,"Por"
"SG/SF","Denzel Valentine",3100,"Chi@Den 09:00PM ET",4.925,"Chi"
"SF/PF","Jerami Grant",3100,"OKC@LAL 10:30PM ET",13.250,"OKC"
"PG","Malcolm Delaney",3000,"NO@Atl 07:30PM ET",14.115,"Atl"
"SF","Quincy Pondexter",3000,"NO@Atl 07:30PM ET",0,"NO"
"SF","Ryan Kelly",3000,"NO@Atl 07:30PM ET",2.500,"Atl"
"SF","Anthony Brown",3000,"NO@Atl 07:30PM ET",0,"NO"
"SF","Taurean Prince",3000,"NO@Atl 07:30PM ET",7.781,"Atl"
"SF","DeAndre' Bembry",3000,"NO@Atl 07:30PM ET",2.250,"Atl"
"PF","Kris Humphries",3000,"NO@Atl 07:30PM ET",10.250,"Atl"
"PF","Mike Scott",3000,"NO@Atl 07:30PM ET",0,"Atl"
"PF","Cheick Diallo",3000,"NO@Atl 07:30PM ET",3.250,"NO"
"C","Tiago Splitter",3000,"NO@Atl 07:30PM ET",0,"Atl"
"C","Alexis Ajinca",3000,"NO@Atl 07:30PM ET",10.071,"NO"
"C","Omer Asik",3000,"NO@Atl 07:30PM ET",12.768,"NO"
"PG","Michael Carter-Williams",3000,"Chi@Den 09:00PM ET",13.583,"Chi"
"PG","Malik Beasley",3000,"Chi@Den 09:00PM ET",3.250,"Den"
"SG","Mike Miller",3000,"Chi@Den 09:00PM ET",5.167,"Den"
"SG","R.J. Hunter",3000,"Chi@Den 09:00PM ET",0.000,"Chi"
"SF","Alonzo Gee",3000,"Chi@Den 09:00PM ET",2.417,"Den"
"SF","Paul Zipser",3000,"Chi@Den 09:00PM ET",2.950,"Chi"
"PF","Darrell Arthur",3000,"Chi@Den 09:00PM ET",6.000,"Den"
"PF","Bobby Portis",3000,"Chi@Den 09:00PM ET",9.827,"Chi"
"C","Cristiano Felicio",3000,"Chi@Den 09:00PM ET",7.000,"Chi"
"C","Juancho Hernangomez",3000,"Chi@Den 09:00PM ET",8.591,"Den"
"PG","Shabazz Napier",3000,"Por@NY 07:30PM ET",6.975,"Por"
"PG","Tim Quarterman",3000,"Por@NY 07:30PM ET",3.750,"Por"
"SG","Sasha Vujacic",3000,"Por@NY 07:30PM ET",4.469,"NY"
"SG","Ron Baker",3000,"Por@NY 07:30PM ET",6.250,"NY"
"SF/PF","Lance Thomas",3000,"Por@NY 07:30PM ET",8.781,"NY"
"SF","Pat Connaughton",3000,"Por@NY 07:30PM ET",3.167,"Por"
"SF","Mindaugas Kuzminskas",3000,"Por@NY 07:30PM ET",7.850,"NY"
"PF","Jake Layman",3000,"Por@NY 07:30PM ET",8.656,"Por"
"PF","Noah Vonleh",3000,"Por@NY 07:30PM ET",9.604,"Por"
"PF","Maurice Ndour",3000,"Por@NY 07:30PM ET",6.679,"NY"
"C","Festus Ezeli",3000,"Por@NY 07:30PM ET",0,"Por"
"C","Marshall Plumlee",3000,"Por@NY 07:30PM ET",1.250,"NY"
"PG","Jose Calderon",3000,"OKC@LAL 10:30PM ET",6.000,"LAL"
"PG","Marcelo Huertas",3000,"OKC@LAL 10:30PM ET",7.333,"LAL"
"PG","Semaj Christon",3000,"OKC@LAL 10:30PM ET",10.019,"OKC"
"PG","Cameron Payne",3000,"OKC@LAL 10:30PM ET",0,"OKC"
"SG","Anthony Morrow",3000,"OKC@LAL 10:30PM ET",4.250,"OKC"
"SG","Alex Abrines",3000,"OKC@LAL 10:30PM ET",8.135,"OKC"
"SF","Metta World Peace",3000,"OKC@LAL 10:30PM ET",1.313,"LAL"
"SF","Kyle Singler",3000,"OKC@LAL 10:30PM ET",4.944,"OKC"
"SF","Josh Huestis",3000,"OKC@LAL 10:30PM ET",0,"OKC"
"PF/C","Joffrey Lauvergne",3000,"OKC@LAL 10:30PM ET",11.792,"OKC"
"PF","Thomas Robinson",3000,"OKC@LAL 10:30PM ET",2.500,"LAL"
"C","Nick Collison",3000,"OKC@LAL 10:30PM ET",1.900,"OKC"
"C","Tarik Black",3000,"OKC@LAL 10:30PM ET",13.839,"LAL"
"C","Ivica Zubac",3000,"OKC@LAL 10:30PM ET",5.333,"LAL"
