"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11400,"LAL@Hou 08:00PM ET",59.202,"Hou"
"PF/C","DeMarcus Cousins",11000,"Sac@Dal 08:30PM ET",52.363,"Sac"
"SF/PF","LeBron James",9900,"Cle@NY 08:00PM ET",50.486,"Cle"
"PG","Giannis Antetokounmpo",9800,"Por@Mil 08:00PM ET",50.079,"Mil"
"SF/PF","Kevin Durant",9700,"GS@LAC 10:30PM ET",51.452,"GS"
"C","Hassan Whiteside",9200,"Mia@Atl 07:30PM ET",44.631,"Mia"
"PG","Chris Paul",8800,"GS@LAC 10:30PM ET",44.114,"LAC"
"PG","Damian Lillard",8700,"Por@Mil 08:00PM ET",44.989,"Por"
"PF","Blake Griffin",8600,"GS@LAC 10:30PM ET",43.048,"LAC"
"PG","Stephen Curry",8500,"GS@LAC 10:30PM ET",44.440,"GS"
"PF/C","Kevin Love",8000,"Cle@NY 08:00PM ET",40.908,"Cle"
"PF","Kristaps Porzingis",7900,"Cle@NY 08:00PM ET",37.024,"NY"
"SF/PF","Paul George",7800,"Ind@Pho 09:00PM ET",38.964,"Ind"
"PF/C","Draymond Green",7700,"GS@LAC 10:30PM ET",39.500,"GS"
"PG","Isaiah Thomas",7600,"Bos@Orl 07:00PM ET",40.774,"Bos"
"C","Andre Drummond",7500,"Det@Cha 07:00PM ET",38.034,"Det"
"SF","Carmelo Anthony",7400,"Cle@NY 08:00PM ET",37.393,"NY"
"PG","Eric Bledsoe",7400,"Ind@Pho 09:00PM ET",36.714,"Pho"
"PG","Goran Dragic",7300,"Mia@Atl 07:30PM ET",34.766,"Mia"
"PG","Kemba Walker",7200,"Det@Cha 07:00PM ET",40.429,"Cha"
"PG","Kyrie Irving",7200,"Cle@NY 08:00PM ET",37.066,"Cle"
"PF","Paul Millsap",7100,"Mia@Atl 07:30PM ET",36.355,"Atl"
"SG","Klay Thompson",7000,"GS@LAC 10:30PM ET",32.631,"GS"
"SF/PF","Rudy Gay",6900,"Sac@Dal 08:30PM ET",36.053,"Sac"
"C","Dwight Howard",6800,"Mia@Atl 07:30PM ET",35.190,"Atl"
"PG/SG","C.J. McCollum",6800,"Por@Mil 08:00PM ET",35.966,"Por"
"C","Al Horford",6700,"Bos@Orl 07:00PM ET",37.795,"Bos"
"SG/SF","Nicolas Batum",6600,"Det@Cha 07:00PM ET",34.050,"Cha"
"SF/PF","Jabari Parker",6500,"Por@Mil 08:00PM ET",32.211,"Mil"
"SF/PF","Harrison Barnes",6500,"Sac@Dal 08:30PM ET",31.850,"Dal"
"C","Brook Lopez",6400,"Den@Bkn 07:30PM ET",34.556,"Bkn"
"PF/C","Serge Ibaka",6400,"Bos@Orl 07:00PM ET",29.034,"Orl"
"PG","Derrick Rose",6400,"Cle@NY 08:00PM ET",30.345,"NY"
"PG","Jeff Teague",6400,"Ind@Pho 09:00PM ET",34.131,"Ind"
"SF/PF","Wilson Chandler",6300,"Den@Bkn 07:30PM ET",31.895,"Den"
"SG","Avery Bradley",6300,"Bos@Orl 07:00PM ET",34.762,"Bos"
"PG","D'Angelo Russell",6300,"LAL@Hou 08:00PM ET",30.500,"LAL"
"C","DeAndre Jordan",6300,"GS@LAC 10:30PM ET",32.125,"LAC"
"SG/SF","Will Barton",6200,"Den@Bkn 07:30PM ET",26.778,"Den"
"PG","Dennis Schroder",6100,"Mia@Atl 07:30PM ET",29.750,"Atl"
"C","Nikola Vucevic",6100,"Bos@Orl 07:00PM ET",33.898,"Orl"
"SG","Lou Williams",6100,"LAL@Hou 08:00PM ET",29.337,"LAL"
"SG/SF","Devin Booker",6100,"Ind@Pho 09:00PM ET",28.300,"Pho"
"C","Myles Turner",6100,"Ind@Pho 09:00PM ET",31.150,"Ind"
"SG","Sean Kilpatrick",6000,"Den@Bkn 07:30PM ET",27.775,"Bkn"
"SF/PF","Tobias Harris",6000,"Det@Cha 07:00PM ET",28.620,"Det"
"PF","Julius Randle",6000,"LAL@Hou 08:00PM ET",30.375,"LAL"
"PG","Jeremy Lin",5900,"Den@Bkn 07:30PM ET",32.750,"Bkn"
"PF","Trevor Booker",5900,"Den@Bkn 07:30PM ET",30.158,"Bkn"
"SG","Kentavious Caldwell-Pope",5800,"Det@Cha 07:00PM ET",26.902,"Det"
"SF","Danilo Gallinari",5700,"Den@Bkn 07:30PM ET",28.056,"Den"
"SF/PF","Trevor Ariza",5700,"LAL@Hou 08:00PM ET",27.750,"Hou"
"PG","Deron Williams",5700,"Sac@Dal 08:30PM ET",24.813,"Dal"
"SG","Dion Waiters",5600,"Mia@Atl 07:30PM ET",27.078,"Mia"
"C","Mason Plumlee",5600,"Por@Mil 08:00PM ET",28.466,"Por"
"PG","Reggie Jackson",5600,"Det@Cha 07:00PM ET",24.750,"Det"
