"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10500,"LAC@GS 10:30PM ET",52.504,"GS"
"PF","DeMarcus Cousins",10400,"Sac@Min 08:00PM ET",52.167,"Sac"
"SG","James Harden",10000,"Uta@Hou 08:00PM ET",51.346,"Hou"
"PG","Chris Paul",9700,"LAC@GS 10:30PM ET",44.891,"LAC"
"PG","John Wall",9600,"Atl@Was 07:00PM ET",46.621,"Was"
"SF","Giannis Antetokounmpo",9500,"Mil@Cle 07:00PM ET",36.873,"Mil"
"SF","LeBron James",9400,"Mil@Cle 07:00PM ET",47.530,"Cle"
"PG","Damian Lillard",9100,"Dal@Por 10:00PM ET",44.188,"Por"
"C","Karl-Anthony Towns",8600,"Sac@Min 08:00PM ET",38.250,"Min"
"SF","Carmelo Anthony",8300,"NY@Chi 08:00PM ET",40.211,"NY"
"PG","Kyle Lowry",8300,"Tor@Bos 07:30PM ET",43.213,"Tor"
"PF","Blake Griffin",8200,"LAC@GS 10:30PM ET",43.567,"LAC"
"SG","Eric Bledsoe",8000,"LAL@Pho 10:00PM ET",39.056,"Pho"
"SF","Kawhi Leonard",8000,"Mia@SA 08:30PM ET",38.977,"SA"
"PF","Draymond Green",7900,"LAC@GS 10:30PM ET",42.355,"GS"
"C","Hassan Whiteside",7800,"Mia@SA 08:30PM ET",37.371,"Mia"
"C","DeAndre Jordan",7700,"LAC@GS 10:30PM ET",37.813,"LAC"
"SG","Victor Oladipo",7700,"Orl@Det 07:30PM ET",32.062,"Orl"
"C","Pau Gasol",7600,"NY@Chi 08:00PM ET",42.323,"Chi"
"PF","Paul Millsap",7600,"Atl@Was 07:00PM ET",39.175,"Atl"
"PG","Rajon Rondo",7600,"Sac@Min 08:00PM ET",40.386,"Sac"
"SG","DeMar DeRozan",7600,"Tor@Bos 07:30PM ET",37.210,"Tor"
"PG","Isaiah Thomas",7600,"Tor@Bos 07:30PM ET",37.905,"Bos"
"C","Andre Drummond",7600,"Orl@Det 07:30PM ET",42.363,"Det"
"SG","Jimmy Butler",7500,"NY@Chi 08:00PM ET",39.296,"Chi"
"PF","LaMarcus Aldridge",7400,"Mia@SA 08:30PM ET",33.723,"SA"
"PG","Brandon Knight",7300,"LAL@Pho 10:00PM ET",34.672,"Pho"
"C","Nikola Vucevic",7200,"Orl@Det 07:30PM ET",36.776,"Orl"
"PF","Derrick Favors",7200,"Uta@Hou 08:00PM ET",34.835,"Uta"
"PF","Dirk Nowitzki",7100,"Dal@Por 10:00PM ET",33.109,"Dal"
"PG","Ricky Rubio",7100,"Sac@Min 08:00PM ET",32.789,"Min"
"PG","Kyrie Irving",7000,"Mil@Cle 07:00PM ET",31.938,"Cle"
"SF","Gordon Hayward",6900,"Uta@Hou 08:00PM ET",34.136,"Uta"
"C","Al Horford",6800,"Atl@Was 07:00PM ET",34.074,"Atl"
"C","Dwight Howard",6700,"Uta@Hou 08:00PM ET",36.436,"Hou"
"PF","Kevin Love",6700,"Mil@Cle 07:00PM ET",34.905,"Cle"
"SG","Klay Thompson",6700,"LAC@GS 10:30PM ET",33.426,"GS"
"PF","Chris Bosh",6600,"Mia@SA 08:30PM ET",34.972,"Mia"
"SG","Khris Middleton",6600,"Mil@Cle 07:00PM ET",32.901,"Mil"
"SG","C.J. McCollum",6600,"Dal@Por 10:00PM ET",34.293,"Por"
"C","Alex Len",6600,"LAL@Pho 10:00PM ET",21.788,"Pho"
"PF","Nerlens Noel",6600,"Phi@Den 09:00PM ET",29.375,"Phi"
"SG","Devin Booker",6600,"LAL@Pho 10:00PM ET",20.105,"Pho"
"C","Marcin Gortat",6500,"Atl@Was 07:00PM ET",31.730,"Was"
