"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Anthony Davis",10800,"Cha@NO 07:00PM ET",57.583,"NO"
"SF/PF","Kevin Durant",9400,"GS@Mil 08:30PM ET",50.417,"GS"
"PG","Stephen Curry",9200,"GS@Mil 08:30PM ET",44.542,"GS"
"PG","Giannis Antetokounmpo",9100,"GS@Mil 08:30PM ET",46.864,"Mil"
"C","Hassan Whiteside",9000,"Mia@Was 07:00PM ET",46.545,"Mia"
"PG","John Wall",8800,"Mia@Was 07:00PM ET",44.417,"Was"
"SG/SF","Jimmy Butler",8600,"Chi@LAC 10:30PM ET",42.229,"Chi"
"PG","Chris Paul",8400,"Chi@LAC 10:30PM ET",44.750,"LAC"
"PF","Blake Griffin",8300,"Chi@LAC 10:30PM ET",42.827,"LAC"
"PG","Kemba Walker",8200,"Cha@NO 07:00PM ET",43.477,"Cha"
"C","Karl-Anthony Towns",8100,"Min@Mem 08:00PM ET",41.886,"Min"
"PF/C","Draymond Green",7900,"GS@Mil 08:30PM ET",41.333,"GS"
"SF","Andrew Wiggins",7800,"Min@Mem 08:00PM ET",38.614,"Min"
"PG","Isaiah Thomas",7700,"Bos@Det 07:00PM ET",41.417,"Bos"
"C","Andre Drummond",7600,"Bos@Det 07:00PM ET",37.792,"Det"
"SG","Avery Bradley",7100,"Bos@Det 07:00PM ET",38.250,"Bos"
"SF/PF","Harrison Barnes",6900,"Dal@Orl 07:00PM ET",31.727,"Dal"
"PG","Mike Conley",6800,"Min@Mem 08:00PM ET",36.318,"Mem"
"C","Marc Gasol",6700,"Min@Mem 08:00PM ET",34.705,"Mem"
"PG","Eric Bledsoe",6700,"Pho@Phi 07:30PM ET",32.346,"Pho"
"SG/SF","Nicolas Batum",6700,"Cha@NO 07:00PM ET",34.818,"Cha"
"SF","Otto Porter",6600,"Mia@Was 07:00PM ET",33.750,"Was"
"SG/SF","Devin Booker",6500,"Pho@Phi 07:30PM ET",29.354,"Pho"
"C","Joel Embiid",6400,"Pho@Phi 07:30PM ET",32.531,"Phi"
"C","DeAndre Jordan",6400,"Chi@LAC 10:30PM ET",31.385,"LAC"
"SG/SF","Tyreke Evans",6400,"Cha@NO 07:00PM ET",0,"NO"
"PG","Goran Dragic",6300,"Mia@Was 07:00PM ET",31.625,"Mia"
"SF/PF","Jabari Parker",6200,"GS@Mil 08:30PM ET",32.000,"Mil"
"PF","Terrence Jones",6200,"Cha@NO 07:00PM ET",24.396,"NO"
"SF","T.J. Warren",6100,"Pho@Phi 07:30PM ET",28.846,"Pho"
"SG","Dwyane Wade",6100,"Chi@LAC 10:30PM ET",30.583,"Chi"
"SG","Klay Thompson",6000,"GS@Mil 08:30PM ET",28.958,"GS"
"PG","Reggie Jackson",6000,"Bos@Det 07:00PM ET",0,"Det"
"SF/PF","Tobias Harris",6000,"Bos@Det 07:00PM ET",28.212,"Det"
"C","Al Horford",6000,"Bos@Det 07:00PM ET",30.000,"Bos"
"SF/PF","Markieff Morris",6000,"Mia@Was 07:00PM ET",28.864,"Was"
"PG","Jrue Holiday",6000,"Cha@NO 07:00PM ET",38.000,"NO"
"C","Marcin Gortat",5900,"Mia@Was 07:00PM ET",31.773,"Was"
"SG","Zach LaVine",5900,"Min@Mem 08:00PM ET",29.200,"Min"
"PF/C","Gorgui Dieng",5900,"Min@Mem 08:00PM ET",27.750,"Min"
"PG","Ricky Rubio",5800,"Min@Mem 08:00PM ET",24.958,"Min"
"C","Nikola Vucevic",5800,"Dal@Orl 07:00PM ET",30.688,"Orl"
"SF","Jae Crowder",5700,"Bos@Det 07:00PM ET",30.063,"Bos"
"SG","Seth Curry",5700,"Dal@Orl 07:00PM ET",18.909,"Dal"
"SG/SF","Marcus Smart",5600,"Bos@Det 07:00PM ET",25.500,"Bos"
"SG","Evan Fournier",5600,"Dal@Orl 07:00PM ET",26.583,"Orl"
"SG","Bradley Beal",5500,"Mia@Was 07:00PM ET",26.094,"Was"
"SF","Justise Winslow",5500,"Mia@Was 07:00PM ET",26.778,"Mia"
"PG","Elfrid Payton",5500,"Dal@Orl 07:00PM ET",27.708,"Orl"
"PG","Ish Smith",5400,"Bos@Det 07:00PM ET",25.058,"Det"
"PF/C","Serge Ibaka",5400,"Dal@Orl 07:00PM ET",25.542,"Orl"
"PF","Dirk Nowitzki",5300,"Dal@Orl 07:00PM ET",26.000,"Dal"
"PG","Rajon Rondo",5300,"Chi@LAC 10:30PM ET",26.325,"Chi"
"PF/C","Taj Gibson",5300,"Chi@LAC 10:30PM ET",27.021,"Chi"
"SG","Kentavious Caldwell-Pope",5200,"Bos@Det 07:00PM ET",23.635,"Det"
"PG/SG","Tyler Johnson",5200,"Mia@Was 07:00PM ET",26.068,"Mia"
"SG","Wesley Matthews",5100,"Dal@Orl 07:00PM ET",23.400,"Dal"
"SF/PF","Aaron Gordon",5100,"Dal@Orl 07:00PM ET",24.021,"Orl"
"SF","Michael Kidd-Gilchrist",5100,"Cha@NO 07:00PM ET",24.225,"Cha"
"SF","Marcus Morris",5000,"Bos@Det 07:00PM ET",24.846,"Det"
"PF","Jon Leuer",5000,"Bos@Det 07:00PM ET",23.654,"Det"
"SG/SF","Josh Richardson",5000,"Mia@Was 07:00PM ET",19.893,"Mia"
"PF","Zach Randolph",5000,"Min@Mem 08:00PM ET",26.563,"Mem"
"PG/SG","J.J. Barea",5000,"Dal@Orl 07:00PM ET",30.361,"Dal"
"C","Nerlens Noel",5000,"Pho@Phi 07:30PM ET",0,"Phi"
"PG","Deron Williams",4900,"Dal@Orl 07:00PM ET",23.875,"Dal"
"PG","Tim Frazier",4900,"Cha@NO 07:00PM ET",28.385,"NO"
"PF/C","Kelly Olynyk",4800,"Bos@Det 07:00PM ET",18.833,"Bos"
"SG","Dion Waiters",4800,"Mia@Was 07:00PM ET",24.659,"Mia"
"C","Robin Lopez",4800,"Chi@LAC 10:30PM ET",23.125,"Chi"
"PF","Marvin Williams",4800,"Cha@NO 07:00PM ET",24.659,"Cha"
"PG","Sergio Rodriguez",4700,"Pho@Phi 07:30PM ET",23.896,"Phi"
"SF/PF","Dario Saric",4700,"Pho@Phi 07:30PM ET",22.417,"Phi"
"C","Tyson Chandler",4700,"Pho@Phi 07:30PM ET",24.438,"Pho"
"SG","J.J. Redick",4700,"Chi@LAC 10:30PM ET",22.115,"LAC"
"SF","Robert Covington",4600,"Pho@Phi 07:30PM ET",19.667,"Phi"
"PF/C","Jahlil Okafor",4600,"Pho@Phi 07:30PM ET",18.886,"Phi"
"C","Alex Len",4600,"Pho@Phi 07:30PM ET",22.904,"Pho"
"SF","Vince Carter",4500,"Min@Mem 08:00PM ET",21.250,"Mem"
"SG","E'Twaun Moore",4400,"Cha@NO 07:00PM ET",21.750,"NO"
"PF","Amir Johnson",4300,"Bos@Det 07:00PM ET",19.375,"Bos"
"C","Andrew Bogut",4300,"Dal@Orl 07:00PM ET",20.694,"Dal"
"PG/SG","Brandon Knight",4300,"Pho@Phi 07:30PM ET",22.038,"Pho"
"PF","Nikola Mirotic",4300,"Chi@LAC 10:30PM ET",21.125,"Chi"
"PG/SG","Matthew Dellavedova",4200,"GS@Mil 08:30PM ET",22.500,"Mil"
"SF/PF","James Johnson",4200,"Mia@Was 07:00PM ET",20.023,"Mia"
"C","Greg Monroe",4100,"GS@Mil 08:30PM ET",26.250,"Mil"
"SG/SF","James Ennis",4100,"Min@Mem 08:00PM ET",20.146,"Mem"
"PG","Jerian Grant",4100,"Chi@LAC 10:30PM ET",13.679,"Chi"
"C","Bismack Biyombo",4000,"Dal@Orl 07:00PM ET",18.250,"Orl"
"PG","Jerryd Bayless",4000,"Pho@Phi 07:30PM ET",0,"Phi"
"PF","Ersan Ilyasova",4000,"Pho@Phi 07:30PM ET",20.021,"Phi"
"SG","Jamal Crawford",4000,"Chi@LAC 10:30PM ET",18.865,"LAC"
"PF","Frank Kaminsky",4000,"Cha@NO 07:00PM ET",21.306,"Cha"
"C","Cody Zeller",4000,"Cha@NO 07:00PM ET",22.750,"Cha"
"C","Cole Aldrich",3900,"Min@Mem 08:00PM ET",10.409,"Min"
"PF/C","Dwight Powell",3900,"Dal@Orl 07:00PM ET",16.386,"Dal"
"C","Aron Baynes",3800,"Bos@Det 07:00PM ET",12.327,"Det"
"PG","Tomas Satoransky",3800,"Mia@Was 07:00PM ET",12.159,"Was"
"SG","Marcus Thornton",3800,"Mia@Was 07:00PM ET",15.341,"Was"
"PF/C","Marreese Speights",3800,"Chi@LAC 10:30PM ET",16.885,"LAC"
"SF","Chandler Parsons",3700,"Min@Mem 08:00PM ET",13.750,"Mem"
"PF","Jared Dudley",3700,"Pho@Phi 07:30PM ET",19.462,"Pho"
"PF","Richaun Holmes",3700,"Pho@Phi 07:30PM ET",16.795,"Phi"
"PG","Ramon Sessions",3700,"Cha@NO 07:00PM ET",12.545,"Cha"
"SF","Solomon Hill",3700,"Cha@NO 07:00PM ET",15.615,"NO"
"SF","Andre Iguodala",3600,"GS@Mil 08:30PM ET",17.229,"GS"
"C","John Henson",3600,"GS@Mil 08:30PM ET",14.850,"Mil"
"C","Willie Reed",3600,"Mia@Was 07:00PM ET",9.861,"Mia"
"PG/SG","Raymond Felton",3600,"Chi@LAC 10:30PM ET",11.404,"LAC"
"PG","Shaun Livingston",3500,"GS@Mil 08:30PM ET",10.500,"GS"
"PF","JaMychal Green",3500,"Min@Mem 08:00PM ET",18.417,"Mem"
"PG","D.J. Augustin",3500,"Dal@Orl 07:00PM ET",14.271,"Orl"
"SF","Justin Anderson",3500,"Dal@Orl 07:00PM ET",17.545,"Dal"
"PG","Langston Galloway",3500,"Cha@NO 07:00PM ET",16.846,"NO"
"SG","Buddy Hield",3500,"Cha@NO 07:00PM ET",16.154,"NO"
"SG/SF","Tony Snell",3400,"GS@Mil 08:30PM ET",17.050,"Mil"
"PF","Nemanja Bjelica",3400,"Min@Mem 08:00PM ET",15.295,"Min"
"SF/PF","Jeff Green",3400,"Dal@Orl 07:00PM ET",15.146,"Orl"
"PG","T.J. McConnell",3400,"Pho@Phi 07:30PM ET",15.771,"Phi"
"SF/PF","Dante Cunningham",3400,"Cha@NO 07:00PM ET",13.417,"NO"
"PF/C","Spencer Hawes",3400,"Cha@NO 07:00PM ET",18.200,"Cha"
"C","Zaza Pachulia",3300,"GS@Mil 08:30PM ET",16.563,"GS"
"SG","Tony Allen",3300,"Min@Mem 08:00PM ET",17.050,"Mem"
