"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12600,"Was@OKC 08:00PM ET",64.737,"OKC"
"PF/C","DeMarcus Cousins",10800,"Sac@Phi 07:00PM ET",51.444,"Sac"
"PG","John Wall",9300,"Was@OKC 08:00PM ET",46.464,"Was"
"SG/SF","Jimmy Butler",9000,"LAL@Chi 08:00PM ET",43.500,"Chi"
"C","Hassan Whiteside",8800,"Mia@Den 09:00PM ET",43.853,"Mia"
"PG","Damian Lillard",8600,"Ind@Por 10:00PM ET",44.263,"Por"
"C","Karl-Anthony Towns",8300,"NY@Min 08:00PM ET",41.471,"Min"
"SF","Kawhi Leonard",8100,"SA@Dal 08:30PM ET",42.222,"SA"
"SG","DeMar DeRozan",8000,"Mem@Tor 07:30PM ET",43.794,"Tor"
"SF","Paul George",8000,"Ind@Por 10:00PM ET",39.271,"Ind"
"PG","Kyle Lowry",7900,"Mem@Tor 07:30PM ET",41.250,"Tor"
"PF","Kristaps Porzingis",7700,"NY@Min 08:00PM ET",36.721,"NY"
"PG","Isaiah Thomas",7600,"Det@Bos 07:30PM ET",41.000,"Bos"
"PG/SG","C.J. McCollum",7600,"Ind@Por 10:00PM ET",36.132,"Por"
"PG","Eric Bledsoe",7600,"Atl@Pho 09:00PM ET",36.986,"Pho"
"SF","Carmelo Anthony",7500,"NY@Min 08:00PM ET",37.441,"NY"
"PF","Paul Millsap",7500,"Atl@Pho 09:00PM ET",36.056,"Atl"
"C","Andre Drummond",7400,"Det@Bos 07:30PM ET",37.417,"Det"
"SG","Bradley Beal",7300,"Was@OKC 08:00PM ET",33.135,"Was"
"C","Dwight Howard",7200,"Atl@Pho 09:00PM ET",37.529,"Atl"
"C","Marc Gasol",7100,"Mem@Tor 07:30PM ET",35.191,"Mem"
"SF","Wilson Chandler",7000,"Mia@Den 09:00PM ET",32.600,"Den"
"PG","Jeff Teague",7000,"Ind@Por 10:00PM ET",34.222,"Ind"
"SF/PF","Rudy Gay",6900,"Sac@Phi 07:00PM ET",36.074,"Sac"
"PG","Goran Dragic",6800,"Mia@Den 09:00PM ET",32.688,"Mia"
"PG","Mike Conley",6800,"Mem@Tor 07:30PM ET",36.485,"Mem"
"PF/C","Myles Turner",6800,"Ind@Por 10:00PM ET",32.118,"Ind"
"SG","Dwyane Wade",6700,"LAL@Chi 08:00PM ET",32.900,"Chi"
