PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Russell Westbrook (7889455),Russell Westbrook,7889455,12800,NO@OKC 07:00PM ET,OKC,
,,,,,,,,,PF/C,Anthony Davis (7889541),Anthony Davis,7889541,11200,NO@OKC 07:00PM ET,NO,
,,,,,,,,,PF/C,DeMarcus Cousins (7889544),DeMarcus Cousins,7889544,10900,Sac@NY 07:30PM ET,Sac,
,,,,,,,,,PG,Chris Paul (7889464),Chris Paul,7889464,8500,Ind@LAC 09:30PM ET,LAC,
,,,,,,,,,PF,Blake Griffin (7889560),Blake Griffin,7889560,8300,Ind@LAC 09:30PM ET,LAC,
,,,,,,,,,PF,Kristaps Porzingis (7889557),Kristaps Porzingis,7889557,8000,Sac@NY 07:30PM ET,NY,
,,,,,,,,,SF,Paul George (7889530),Paul George,7889530,7800,Ind@LAC 09:30PM ET,Ind,
,,,,,,,,,SF,Carmelo Anthony (7889524),Carmelo Anthony,7889524,7600,Sac@NY 07:30PM ET,NY,
,,,,,,,,,C,Andre Drummond (7889569),Andre Drummond,7889569,7400,Orl@Det 06:00PM ET,Det,
,,,,,,,,,PF/C,Myles Turner (7889547),Myles Turner,7889547,7000,Ind@LAC 09:30PM ET,Ind,
,,,,,,,,,PG,Jeff Teague (7889466),Jeff Teague,7889466,6800,Ind@LAC 09:30PM ET,Ind,
,,,,,,,,,SG,Victor Oladipo (7889486),Victor Oladipo,7889486,6700,NO@OKC 07:00PM ET,OKC,
,,,,,,,,,SF/PF,Rudy Gay (7889506),Rudy Gay,7889506,6600,Sac@NY 07:30PM ET,Sac,
,,,,,,,,,PG,Derrick Rose (7889462),Derrick Rose,7889462,6500,Sac@NY 07:30PM ET,NY,
,,,,,,,,,PG,Jrue Holiday (7889456),Jrue Holiday,7889456,6400,NO@OKC 07:00PM ET,NO,
,,,,,,,,,C,Nikola Vucevic (7889566),Nikola Vucevic,7889566,6300,Orl@Det 06:00PM ET,Orl,
,,,,,,,,,C,DeAndre Jordan (7889582),DeAndre Jordan,7889582,6200,Ind@LAC 09:30PM ET,LAC,
,,,,,,,,,SF/PF,Tobias Harris (7889501),Tobias Harris,7889501,6100,Orl@Det 06:00PM ET,Det,
,,,,,,,,,SG/SF,Tyreke Evans (7889474),Tyreke Evans,7889474,6000,NO@OKC 07:00PM ET,NO,
