"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Anthony Davis",11600,"LAL@NO 08:00PM ET",57.382,"NO"
"PG/SG","James Harden",11300,"Hou@Uta 09:00PM ET",60.029,"Hou"
"SF/PF","LeBron James",9700,"Cle@Mil 08:00PM ET",52.518,"Cle"
"PG","Giannis Antetokounmpo",9200,"Cle@Mil 08:00PM ET",48.417,"Mil"
"PG","Chris Paul",8900,"LAC@Bkn 07:30PM ET",42.944,"LAC"
"PF","Blake Griffin",8600,"LAC@Bkn 07:30PM ET",42.125,"LAC"
"SF","Kawhi Leonard",8400,"Orl@SA 08:30PM ET",43.118,"SA"
"PF/C","Kevin Love",8200,"Cle@Mil 08:00PM ET",42.583,"Cle"
"PG","Kemba Walker",7800,"Det@Cha 07:00PM ET",41.529,"Cha"
"PG","Kyrie Irving",7600,"Cle@Mil 08:00PM ET",37.883,"Cle"
"C","Andre Drummond",7400,"Det@Cha 07:00PM ET",38.794,"Det"
"SF","Gordon Hayward",7200,"Hou@Uta 09:00PM ET",36.688,"Uta"
"PG/SG","George Hill",7000,"Hou@Uta 09:00PM ET",35.450,"Uta"
"PG","Jrue Holiday",6800,"LAL@NO 08:00PM ET",31.875,"NO"
"PF/C","LaMarcus Aldridge",6700,"Orl@SA 08:30PM ET",32.583,"SA"
"SG/SF","Nicolas Batum",6600,"Det@Cha 07:00PM ET",32.641,"Cha"
"PF","Julius Randle",6600,"LAL@NO 08:00PM ET",31.017,"LAL"
"C","Rudy Gobert",6500,"Hou@Uta 09:00PM ET",32.264,"Uta"
"C","Brook Lopez",6400,"LAC@Bkn 07:30PM ET",32.964,"Bkn"
"PG","D'Angelo Russell",6400,"LAL@NO 08:00PM ET",30.538,"LAL"
"C","DeAndre Jordan",6300,"LAC@Bkn 07:30PM ET",31.153,"LAC"
"SG/SF","Tyreke Evans",6300,"LAL@NO 08:00PM ET",0,"NO"
"PG/SG","Jordan Clarkson",6200,"LAL@NO 08:00PM ET",25.903,"LAL"
"C","Nikola Vucevic",6200,"Orl@SA 08:30PM ET",33.382,"Orl"
"SF/PF","Jabari Parker",6100,"Cle@Mil 08:00PM ET",31.983,"Mil"
