"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12600,"OKC@Atl 07:30PM ET",65.429,"OKC"
"PG/SG","James Harden",11800,"Bos@Hou 08:00PM ET",59.088,"Hou"
"PF/C","Anthony Davis",11000,"Mem@NO 08:00PM ET",58.138,"NO"
"SF/PF","Kevin Durant",10200,"Ind@GS 10:30PM ET",52.075,"GS"
"SF/PF","LeBron James",9700,"Cle@Tor 07:30PM ET",49.985,"Cle"
"PG","Giannis Antetokounmpo",9500,"SA@Mil 08:00PM ET",50.319,"Mil"
"PG","Stephen Curry",9000,"Ind@GS 10:30PM ET",44.513,"GS"
"PG","John Wall",8900,"Was@Bkn 07:30PM ET",46.813,"Was"
"SG/SF","Jimmy Butler",8500,"Por@Chi 08:00PM ET",43.724,"Chi"
"PG","Damian Lillard",8400,"Por@Chi 08:00PM ET",44.512,"Por"
"PG","Kyle Lowry",8200,"Cle@Tor 07:30PM ET",41.775,"Tor"
"PG","Isaiah Thomas",8100,"Bos@Hou 08:00PM ET",41.138,"Bos"
"SF","Kawhi Leonard",8000,"SA@Mil 08:00PM ET",41.775,"SA"
"PF/C","Draymond Green",8000,"Ind@GS 10:30PM ET",39.855,"GS"
"PF/C","Kevin Love",7900,"Cle@Tor 07:30PM ET",40.458,"Cle"
"SF","Gordon Hayward",7900,"Uta@LAL 10:30PM ET",38.783,"Uta"
"SG","DeMar DeRozan",7800,"Cle@Tor 07:30PM ET",42.575,"Tor"
"SF","Paul George",7700,"Ind@GS 10:30PM ET",38.846,"Ind"
"C","Marc Gasol",7600,"Mem@NO 08:00PM ET",35.925,"Mem"
"PG","Kemba Walker",7500,"Cha@Dal 08:30PM ET",40.763,"Cha"
"PG","Kyrie Irving",7300,"Cle@Tor 07:30PM ET",37.181,"Cle"
"PF","Paul Millsap",7200,"OKC@Atl 07:30PM ET",36.056,"Atl"
"C","Dwight Howard",7100,"OKC@Atl 07:30PM ET",36.138,"Atl"
"PF/C","Myles Turner",7000,"Ind@GS 10:30PM ET",31.934,"Ind"
"SG","Bradley Beal",7000,"Was@Bkn 07:30PM ET",33.200,"Was"
"PG/SG","C.J. McCollum",6900,"Por@Chi 08:00PM ET",36.012,"Por"
"PG","Jeff Teague",6900,"Ind@GS 10:30PM ET",34.400,"Ind"
"C","Joel Embiid",6900,"Den@Phi 07:00PM ET",35.904,"Phi"
"PG","Mike Conley",6900,"Mem@NO 08:00PM ET",36.412,"Mem"
"PG/SG","George Hill",6800,"Uta@LAL 10:30PM ET",33.750,"Uta"
"SG","Victor Oladipo",6700,"OKC@Atl 07:30PM ET",30.143,"OKC"
"C","Al Horford",6700,"Bos@Hou 08:00PM ET",36.925,"Bos"
"SG","Klay Thompson",6600,"Ind@GS 10:30PM ET",30.863,"GS"
"SF/PF","Otto Porter",6600,"Was@Bkn 07:30PM ET",32.889,"Was"
"SG/SF","Nicolas Batum",6600,"Cha@Dal 08:30PM ET",33.539,"Cha"
