"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Hassan Whiteside",9600,"NY@Mia 07:30PM ET",44.350,"Mia"
"SG/SF","Jimmy Butler",8900,"Chi@Det 07:30PM ET",43.950,"Chi"
"PG","John Wall",8700,"Orl@Was 07:00PM ET",47.103,"Was"
"SF","Gordon Hayward",8200,"Pho@Uta 09:00PM ET",39.016,"Uta"
"C","Karl-Anthony Towns",8100,"SA@Min 08:00PM ET",43.788,"Min"
"PF","Kristaps Porzingis",8000,"NY@Mia 07:30PM ET",37.250,"NY"
"SF","Kawhi Leonard",7800,"SA@Min 08:00PM ET",41.488,"SA"
"SF","Carmelo Anthony",7600,"NY@Mia 07:30PM ET",37.025,"NY"
"C","Andre Drummond",7500,"Chi@Det 07:30PM ET",38.083,"Det"
"C","Marc Gasol",7400,"Phi@Mem 08:00PM ET",37.583,"Mem"
"PG","Goran Dragic",7300,"NY@Mia 07:30PM ET",33.883,"Mia"
"C","Joel Embiid",7200,"Phi@Mem 08:00PM ET",35.589,"Phi"
"PG","Eric Bledsoe",7100,"Pho@Uta 09:00PM ET",37.300,"Pho"
"SG","Bradley Beal",7000,"Orl@Was 07:00PM ET",33.375,"Was"
"PG","Mike Conley",6900,"Phi@Mem 08:00PM ET",36.412,"Mem"
"PG/SG","George Hill",6800,"Pho@Uta 09:00PM ET",33.750,"Uta"
"SF/PF","Otto Porter",6600,"Orl@Was 07:00PM ET",32.947,"Was"
"PG","Rajon Rondo",6500,"Chi@Det 07:30PM ET",30.235,"Chi"
"PG","Derrick Rose",6400,"NY@Mia 07:30PM ET",30.838,"NY"
"C","Rudy Gobert",6400,"Pho@Uta 09:00PM ET",32.920,"Uta"
"PF/C","LaMarcus Aldridge",6300,"SA@Min 08:00PM ET",31.908,"SA"
"PF/C","Serge Ibaka",6300,"Orl@Was 07:00PM ET",29.214,"Orl"
"SG","Dwyane Wade",6200,"Chi@Det 07:30PM ET",34.125,"Chi"
"C","Marcin Gortat",6100,"Orl@Was 07:00PM ET",32.763,"Was"
"C","Nikola Vucevic",6100,"Orl@Was 07:00PM ET",33.845,"Orl"
"SF/PF","Tobias Harris",6000,"Chi@Det 07:30PM ET",28.159,"Det"
"SF","Andrew Wiggins",6000,"SA@Min 08:00PM ET",32.900,"Min"
"SG/SF","Devin Booker",5900,"Pho@Uta 09:00PM ET",28.447,"Pho"
"PF/C","Taj Gibson",5800,"Chi@Det 07:30PM ET",27.500,"Chi"
"PF","Derrick Favors",5800,"Pho@Uta 09:00PM ET",23.273,"Uta"
"SG","Kentavious Caldwell-Pope",5700,"Chi@Det 07:30PM ET",27.045,"Det"
"SG","Zach LaVine",5700,"SA@Min 08:00PM ET",30.408,"Min"
"PF","JaMychal Green",5700,"Phi@Mem 08:00PM ET",22.557,"Mem"
"PG","Reggie Jackson",5600,"Chi@Det 07:30PM ET",24.750,"Det"
"SG","Dion Waiters",5600,"NY@Mia 07:30PM ET",26.953,"Mia"
"SF","T.J. Warren",5500,"Pho@Uta 09:00PM ET",28.846,"Pho"
"SG","Evan Fournier",5400,"Orl@Was 07:00PM ET",28.024,"Orl"
"PF/C","Jahlil Okafor",5400,"Phi@Mem 08:00PM ET",20.539,"Phi"
"PG","Andrew Harrison",5300,"Phi@Mem 08:00PM ET",18.810,"Mem"
"SG","Rodney Hood",5300,"Pho@Uta 09:00PM ET",27.288,"Uta"
"PF/C","Gorgui Dieng",5200,"SA@Min 08:00PM ET",27.600,"Min"
"SF/PF","Markieff Morris",5200,"Orl@Was 07:00PM ET",25.539,"Was"
"PG","Tyler Johnson",5200,"NY@Mia 07:30PM ET",26.408,"Mia"
"SF","Marcus Morris",5100,"Chi@Det 07:30PM ET",25.148,"Det"
"C","Pau Gasol",5100,"SA@Min 08:00PM ET",27.475,"SA"
"PG","Sergio Rodriguez",5000,"Phi@Mem 08:00PM ET",24.655,"Phi"
"PF/C","Zach Randolph",5000,"Phi@Mem 08:00PM ET",26.500,"Mem"
"C","Nerlens Noel",5000,"Phi@Mem 08:00PM ET",0,"Phi"
"PG","Ish Smith",4900,"Chi@Det 07:30PM ET",25.966,"Det"
"C","Robin Lopez",4900,"Chi@Det 07:30PM ET",24.913,"Chi"
"SF/PF","Dario Saric",4900,"Phi@Mem 08:00PM ET",21.321,"Phi"
