"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Anthony Davis",11500,"NO@LAC 10:30PM ET",57.750,"NO"
"PG/SG","James Harden",11300,"Dal@Hou 08:00PM ET",58.565,"Hou"
"PF/C","DeMarcus Cousins",10300,"Sac@Uta 09:00PM ET",53.091,"Sac"
"PG","Giannis Antetokounmpo",9900,"Mil@Was 07:00PM ET",49.405,"Mil"
"SF/PF","LeBron James",9400,"Cha@Cle 07:30PM ET",50.513,"Cle"
"SF/PF","Kevin Durant",9300,"GS@Mem 08:00PM ET",50.641,"GS"
"PG","John Wall",9000,"Mil@Was 07:00PM ET",48.053,"Was"
"PG","Chris Paul",8800,"NO@LAC 10:30PM ET",43.565,"LAC"
"SF","Gordon Hayward",8700,"Sac@Uta 09:00PM ET",39.471,"Uta"
"C","Hassan Whiteside",8600,"Mia@Chi 08:00PM ET",42.663,"Mia"
"PF","Blake Griffin",8500,"NO@LAC 10:30PM ET",42.216,"LAC"
"PG","Stephen Curry",8400,"GS@Mem 08:00PM ET",44.315,"GS"
"PG","Damian Lillard",8400,"Por@Ind 07:00PM ET",44.500,"Por"
"SF","Kawhi Leonard",8300,"Bkn@SA 08:30PM ET",41.609,"SA"
"SG/SF","Jimmy Butler",8200,"Mia@Chi 08:00PM ET",43.591,"Chi"
"SF/PF","Paul George",8000,"Por@Ind 07:00PM ET",39.344,"Ind"
"C","Marc Gasol",7900,"GS@Mem 08:00PM ET",38.783,"Mem"
"PF/C","Kevin Love",7800,"Cha@Cle 07:30PM ET",41.429,"Cle"
"PF/C","Draymond Green",7700,"GS@Mem 08:00PM ET",40.057,"GS"
"PG","Kemba Walker",7500,"Cha@Cle 07:30PM ET",39.533,"Cha"
"PG","Goran Dragic",7300,"Mia@Chi 08:00PM ET",34.139,"Mia"
"PG","Kyrie Irving",7200,"Cha@Cle 07:30PM ET",36.833,"Cle"
"C","Rudy Gobert",7000,"Sac@Uta 09:00PM ET",33.885,"Uta"
"SG","Bradley Beal",6900,"Mil@Was 07:00PM ET",33.389,"Was"
"PG","Mike Conley",6900,"GS@Mem 08:00PM ET",36.412,"Mem"
"PG/SG","C.J. McCollum",6900,"Por@Ind 07:00PM ET",35.625,"Por"
"PG/SG","George Hill",6800,"Sac@Uta 09:00PM ET",33.750,"Uta"
"SG/SF","Will Barton",6700,"Den@Orl 07:00PM ET",27.068,"Den"
"SG/SF","Nicolas Batum",6600,"Cha@Cle 07:30PM ET",34.420,"Cha"
"SG","Dwyane Wade",6500,"Mia@Chi 08:00PM ET",34.263,"Chi"
"SF/PF","Rudy Gay",6500,"Sac@Uta 09:00PM ET",35.429,"Sac"
"PG","Jeff Teague",6500,"Por@Ind 07:00PM ET",34.207,"Ind"
"SF/PF","Jabari Parker",6400,"Mil@Was 07:00PM ET",32.893,"Mil"
"SG","Klay Thompson",6400,"GS@Mem 08:00PM ET",32.065,"GS"
"SF/PF","Wilson Chandler",6400,"Den@Orl 07:00PM ET",32.274,"Den"
"C","Brook Lopez",6400,"Bkn@SA 08:30PM ET",35.053,"Bkn"
"C","DeAndre Jordan",6300,"NO@LAC 10:30PM ET",32.054,"LAC"
"SF/PF","Harrison Barnes",6200,"Dal@Hou 08:00PM ET",31.409,"Dal"
"PF/C","LaMarcus Aldridge",6200,"Bkn@SA 08:30PM ET",30.940,"SA"
"SF/PF","Otto Porter",6100,"Mil@Was 07:00PM ET",31.429,"Was"
"PF/C","Serge Ibaka",6000,"Den@Orl 07:00PM ET",28.708,"Orl"
"PG","Deron Williams",6000,"Dal@Hou 08:00PM ET",25.571,"Dal"
"PG","Jrue Holiday",6000,"NO@LAC 10:30PM ET",30.889,"NO"
"SG/SF","Tyreke Evans",6000,"NO@LAC 10:30PM ET",0,"NO"
"PG","Rajon Rondo",5900,"Mia@Chi 08:00PM ET",30.026,"Chi"
"PF","JaMychal Green",5900,"GS@Mem 08:00PM ET",23.615,"Mem"
"C","Nikola Vucevic",5900,"Den@Orl 07:00PM ET",33.073,"Orl"
"C","Marcin Gortat",5800,"Mil@Was 07:00PM ET",31.714,"Was"
"PF","Derrick Favors",5800,"Sac@Uta 09:00PM ET",23.273,"Uta"
"C","Myles Turner",5800,"Por@Ind 07:00PM ET",31.125,"Ind"
"PG","Tim Frazier",5700,"NO@LAC 10:30PM ET",27.326,"NO"
"PF","Trevor Booker",5700,"Bkn@SA 08:30PM ET",30.413,"Bkn"
"PG","Tyler Johnson",5600,"Mia@Chi 08:00PM ET",27.148,"Mia"
"SG","Dion Waiters",5600,"Mia@Chi 08:00PM ET",27.078,"Mia"
"SG","Sean Kilpatrick",5600,"Bkn@SA 08:30PM ET",28.167,"Bkn"
"SF","Danilo Gallinari",5500,"Den@Orl 07:00PM ET",27.038,"Den"
"PG","Jeremy Lin",5500,"Bkn@SA 08:30PM ET",32.750,"Bkn"
"PF/C","Zach Randolph",5400,"GS@Mem 08:00PM ET",26.515,"Mem"
"SG","Eric Gordon",5400,"Dal@Hou 08:00PM ET",27.522,"Hou"
"SF/PF","Trevor Ariza",5400,"Dal@Hou 08:00PM ET",27.337,"Hou"
"C","Clint Capela",5400,"Dal@Hou 08:00PM ET",27.913,"Hou"
"SG","Rodney Hood",5400,"Sac@Uta 09:00PM ET",26.655,"Uta"
"C","Pau Gasol",5400,"Bkn@SA 08:30PM ET",27.466,"SA"
"PG","Jameer Nelson",5300,"Den@Orl 07:00PM ET",21.511,"Den"
"SG","Evan Fournier",5300,"Den@Orl 07:00PM ET",26.979,"Orl"
"SG","Wesley Matthews",5300,"Dal@Hou 08:00PM ET",26.405,"Dal"
"C","Mason Plumlee",5300,"Por@Ind 07:00PM ET",28.656,"Por"
"SF/PF","Markieff Morris",5200,"Mil@Was 07:00PM ET",25.321,"Was"
"C","Nikola Jokic",5200,"Den@Orl 07:00PM ET",25.288,"Den"
"PF/C","Taj Gibson",5100,"Mia@Chi 08:00PM ET",27.386,"Chi"
"PG","J.J. Barea",5000,"Dal@Hou 08:00PM ET",30.361,"Dal"
"PF/C","Dwight Powell",5000,"Dal@Hou 08:00PM ET",18.011,"Dal"
"PF","Dirk Nowitzki",5000,"Dal@Hou 08:00PM ET",24.800,"Dal"
"SF","Maurice Harkless",5000,"Por@Ind 07:00PM ET",24.913,"Por"
"SF","Justise Winslow",4900,"Mia@Chi 08:00PM ET",26.500,"Mia"
"C","Tristan Thompson",4900,"Cha@Cle 07:30PM ET",24.381,"Cle"
"PG","Shelvin Mack",4900,"Sac@Uta 09:00PM ET",16.167,"Uta"
"SG/SF","Joe Johnson",4900,"Sac@Uta 09:00PM ET",17.698,"Uta"
"SG/SF","Josh Richardson",4800,"Mia@Chi 08:00PM ET",20.538,"Mia"
"PG","Emmanuel Mudiay",4800,"Den@Orl 07:00PM ET",25.511,"Den"
"C","Bismack Biyombo",4800,"Den@Orl 07:00PM ET",20.000,"Orl"
"PG","Patrick Beverley",4800,"Dal@Hou 08:00PM ET",25.042,"Hou"
"PF","Ryan Anderson",4800,"Dal@Hou 08:00PM ET",23.435,"Hou"
