"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",12400,"Por@Hou 08:00PM ET",60.455,"Hou"
"PG","Damian Lillard",9600,"Por@Hou 08:00PM ET",44.667,"Por"
"PG","Giannis Antetokounmpo",8900,"Mil@Mia 07:30PM ET",48.125,"Mil"
"PG","John Wall",8800,"NY@Was 07:00PM ET",44.219,"Was"
"C","Hassan Whiteside",8700,"Mil@Mia 07:30PM ET",45.975,"Mia"
"C","Karl-Anthony Towns",8600,"Phi@Min 08:00PM ET",41.775,"Min"
"SG/SF","Jimmy Butler",8400,"Chi@Uta 10:30PM ET",41.932,"Chi"
"SF","Gordon Hayward",7700,"Chi@Uta 10:30PM ET",38.417,"Uta"
"PG/SG","C.J. McCollum",7600,"Por@Hou 08:00PM ET",36.229,"Por"
"SF","Carmelo Anthony",7400,"NY@Was 07:00PM ET",35.841,"NY"
"SF","Andrew Wiggins",7300,"Phi@Min 08:00PM ET",36.775,"Min"
"PF","Kristaps Porzingis",6800,"NY@Was 07:00PM ET",35.250,"NY"
"PG/SG","George Hill",6700,"Chi@Uta 10:30PM ET",34.643,"Uta"
"SG","Dwyane Wade",6600,"Chi@Uta 10:30PM ET",31.227,"Chi"
"SF","Otto Porter",6500,"NY@Was 07:00PM ET",33.175,"Was"
"C","Marcin Gortat",6400,"NY@Was 07:00PM ET",32.050,"Was"
"PG","Ricky Rubio",6300,"Phi@Min 08:00PM ET",26.950,"Min"
"SF/PF","Jabari Parker",6300,"Mil@Mia 07:30PM ET",32.650,"Mil"
"SF/PF","Markieff Morris",6200,"NY@Was 07:00PM ET",29.600,"Was"
"SG","Zach LaVine",6100,"Phi@Min 08:00PM ET",30.389,"Min"
"C","Joel Embiid",6100,"Phi@Min 08:00PM ET",33.607,"Phi"
"C","Rudy Gobert",6100,"Chi@Uta 10:30PM ET",29.729,"Uta"
"PG","Goran Dragic",6000,"Mil@Mia 07:30PM ET",31.714,"Mia"
"PF","Derrick Favors",5800,"Chi@Uta 10:30PM ET",23.273,"Uta"
"PF/C","Gorgui Dieng",5700,"Phi@Min 08:00PM ET",27.175,"Min"
"SF/PF","Trevor Ariza",5600,"Por@Hou 08:00PM ET",27.818,"Hou"
"PG/SG","Tyler Johnson",5600,"Mil@Mia 07:30PM ET",26.125,"Mia"
"PF/C","Taj Gibson",5600,"Chi@Uta 10:30PM ET",27.636,"Chi"
"SG","Bradley Beal",5500,"NY@Was 07:00PM ET",25.679,"Was"
"C","Mason Plumlee",5500,"Por@Hou 08:00PM ET",25.792,"Por"
"SF","Justise Winslow",5500,"Mil@Mia 07:30PM ET",26.778,"Mia"
"SG","Rodney Hood",5500,"Chi@Uta 10:30PM ET",28.773,"Uta"
"PG","Derrick Rose",5400,"NY@Was 07:00PM ET",27.750,"NY"
"PG","Rajon Rondo",5300,"Chi@Uta 10:30PM ET",26.325,"Chi"
"PF","Ryan Anderson",5200,"Por@Hou 08:00PM ET",23.773,"Hou"
"SG/SF","Josh Richardson",5200,"Mil@Mia 07:30PM ET",19.083,"Mia"
"SF","Maurice Harkless",5100,"Por@Hou 08:00PM ET",22.396,"Por"
"C","Clint Capela",5100,"Por@Hou 08:00PM ET",26.045,"Hou"
"C","Nerlens Noel",5000,"Phi@Min 08:00PM ET",0,"Phi"
"SG","Eric Gordon",5000,"Por@Hou 08:00PM ET",26.432,"Hou"
"SF","Robert Covington",4900,"Phi@Min 08:00PM ET",20.477,"Phi"
"PG","Sergio Rodriguez",4800,"Phi@Min 08:00PM ET",25.750,"Phi"
"PF/C","Jahlil Okafor",4800,"Phi@Min 08:00PM ET",19.875,"Phi"
"PF","Al-Farouq Aminu",4700,"Por@Hou 08:00PM ET",21.844,"Por"
"C","Greg Monroe",4700,"Mil@Mia 07:30PM ET",26.250,"Mil"
"C","Robin Lopez",4700,"Chi@Uta 10:30PM ET",22.455,"Chi"
"PG","Tomas Satoransky",4600,"NY@Was 07:00PM ET",12.000,"Was"
"SG","Dion Waiters",4600,"Mil@Mia 07:30PM ET",23.350,"Mia"
"PF","Nikola Mirotic",4600,"Chi@Uta 10:30PM ET",21.386,"Chi"
"PG","Jerryd Bayless",4500,"Phi@Min 08:00PM ET",0,"Phi"
"SF/PF","Dario Saric",4500,"Phi@Min 08:00PM ET",22.000,"Phi"
"SG","Marcus Thornton",4400,"NY@Was 07:00PM ET",14.925,"Was"
"C","Joakim Noah",4400,"NY@Was 07:00PM ET",24.273,"NY"
"PG","Patrick Beverley",4400,"Por@Hou 08:00PM ET",0,"Hou"
"PG/SG","Matthew Dellavedova",4300,"Mil@Mia 07:30PM ET",22.600,"Mil"
"PF","Ersan Ilyasova",4200,"Phi@Min 08:00PM ET",20.136,"Phi"
"SG/SF","Allen Crabbe",4100,"Por@Hou 08:00PM ET",18.083,"Por"
"PF/C","Trey Lyles",4100,"Chi@Uta 10:30PM ET",17.083,"Uta"
"SF/PF","James Johnson",4000,"Mil@Mia 07:30PM ET",19.025,"Mia"
"PF","Richaun Holmes",3900,"Phi@Min 08:00PM ET",17.475,"Phi"
"C","Cole Aldrich",3900,"Phi@Min 08:00PM ET",10.575,"Min"
"PG","Brandon Jennings",3900,"NY@Was 07:00PM ET",17.455,"NY"
"PG","Shelvin Mack",3900,"Chi@Uta 10:30PM ET",16.125,"Uta"
"SG","Courtney Lee",3800,"NY@Was 07:00PM ET",17.523,"NY"
"SG/SF","Evan Turner",3700,"Por@Hou 08:00PM ET",17.063,"Por"
"PF","Nemanja Bjelica",3600,"Phi@Min 08:00PM ET",15.125,"Min"
"C","Willie Reed",3600,"Mil@Mia 07:30PM ET",9.750,"Mia"
"PG","Jerian Grant",3500,"Chi@Uta 10:30PM ET",13.083,"Chi"
"SG","Gerald Henderson",3400,"Phi@Min 08:00PM ET",18.341,"Phi"
"SG/SF","Joe Johnson",3400,"Chi@Uta 10:30PM ET",19.042,"Uta"
"PG","Kris Dunn",3300,"Phi@Min 08:00PM ET",17.075,"Min"
"SG","Rodney McGruder",3300,"Mil@Mia 07:30PM ET",10.806,"Mia"
"SG","Malcolm Brogdon",3300,"Mil@Mia 07:30PM ET",17.500,"Mil"
"SG/SF","Hollis Thompson",3200,"Phi@Min 08:00PM ET",15.409,"Phi"
"SG/SF","Justin Holiday",3200,"NY@Was 07:00PM ET",12.591,"NY"
"PF","Meyers Leonard",3200,"Por@Hou 08:00PM ET",11.050,"Por"
"SG/SF","Tony Snell",3200,"Mil@Mia 07:30PM ET",16.167,"Mil"
"PG","Isaiah Canaan",3200,"Chi@Uta 10:30PM ET",12.159,"Chi"
"SF","Joe Ingles",3200,"Chi@Uta 10:30PM ET",10.708,"Uta"
"SF","Doug McDermott",3200,"Chi@Uta 10:30PM ET",16.889,"Chi"
"PF","Derrick Williams",3100,"Mil@Mia 07:30PM ET",9.938,"Mia"
"C","John Henson",3100,"Mil@Mia 07:30PM ET",13.639,"Mil"
"PG","John Lucas III",3000,"Phi@Min 08:00PM ET",2.500,"Min"
"PG","T.J. McConnell",3000,"Phi@Min 08:00PM ET",14.705,"Phi"
"PG","Tyus Jones",3000,"Phi@Min 08:00PM ET",17.893,"Min"
"SG/SF","Brandon Rush",3000,"Phi@Min 08:00PM ET",7.100,"Min"
"SG/SF","Shabazz Muhammad",3000,"Phi@Min 08:00PM ET",11.750,"Min"
"SG","Nik Stauskas",3000,"Phi@Min 08:00PM ET",14.727,"Phi"
"SG","Timothe Luwawu-Cabarrot",3000,"Phi@Min 08:00PM ET",2.036,"Phi"
"SF","Ben Simmons",3000,"Phi@Min 08:00PM ET",0,"Phi"
"PF","Jordan Hill",3000,"Phi@Min 08:00PM ET",6.250,"Min"
"PF","Adreian Payne",3000,"Phi@Min 08:00PM ET",8.438,"Min"
"C","Nikola Pekovic",3000,"Phi@Min 08:00PM ET",0,"Min"
"PG","Trey Burke",3000,"NY@Was 07:00PM ET",8.075,"Was"
"SG/SF","Kelly Oubre Jr.",3000,"NY@Was 07:00PM ET",7.528,"Was"
"SG","Sasha Vujacic",3000,"NY@Was 07:00PM ET",4.929,"NY"
"SG","Sheldon McClellan",3000,"NY@Was 07:00PM ET",8.542,"Was"
"SG","Ron Baker",3000,"NY@Was 07:00PM ET",6.250,"NY"
"SG","Danuel House",3000,"NY@Was 07:00PM ET",1.250,"Was"
