"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",12000,"Hou@GS 10:30PM ET",59.250,"Hou"
"SF/PF","Kevin Durant",10200,"Hou@GS 10:30PM ET",51.458,"GS"
"PG","Giannis Antetokounmpo",9900,"Mil@Bkn 07:30PM ET",49.734,"Mil"
"SF/PF","LeBron James",9300,"LAC@Cle 08:00PM ET",51.083,"Cle"
"PG","Stephen Curry",9200,"Hou@GS 10:30PM ET",44.667,"GS"
"PG","Chris Paul",9100,"LAC@Cle 08:00PM ET",44.289,"LAC"
"PF","Blake Griffin",8700,"LAC@Cle 08:00PM ET",42.125,"LAC"
"C","Hassan Whiteside",8200,"Mia@Uta 09:00PM ET",44.611,"Mia"
"PF/C","Kevin Love",8000,"LAC@Cle 08:00PM ET",42.188,"Cle"
"PF/C","Draymond Green",7900,"Hou@GS 10:30PM ET",39.044,"GS"
"PG","Kemba Walker",7800,"Dal@Cha 07:00PM ET",41.417,"Cha"
"PG","Kyrie Irving",7400,"LAC@Cle 08:00PM ET",37.297,"Cle"
"SF","Gordon Hayward",7300,"Mia@Uta 09:00PM ET",37.654,"Uta"
"C","Marc Gasol",7000,"Orl@Mem 08:00PM ET",35.097,"Mem"
"PG","Mike Conley",6900,"Orl@Mem 08:00PM ET",36.485,"Mem"
"PG/SG","George Hill",6800,"Mia@Uta 09:00PM ET",33.750,"Uta"
"C","Brook Lopez",6700,"Mil@Bkn 07:30PM ET",34.133,"Bkn"
"SG","Klay Thompson",6600,"Hou@GS 10:30PM ET",30.167,"GS"
"C","DeAndre Jordan",6500,"LAC@Cle 08:00PM ET",32.316,"LAC"
"C","Rudy Gobert",6500,"Mia@Uta 09:00PM ET",32.671,"Uta"
"SG/SF","Nicolas Batum",6400,"Dal@Cha 07:00PM ET",32.441,"Cha"
"PG","Goran Dragic",6300,"Mia@Uta 09:00PM ET",32.654,"Mia"
"C","Nikola Vucevic",6200,"Orl@Mem 08:00PM ET",33.319,"Orl"
"SF/PF","Harrison Barnes",6200,"Dal@Cha 07:00PM ET",30.912,"Dal"
"SF/PF","Jabari Parker",6100,"Mil@Bkn 07:30PM ET",31.797,"Mil"
"PF","Trevor Booker",6000,"Mil@Bkn 07:30PM ET",30.000,"Bkn"
"PG","Jeremy Lin",5900,"Mil@Bkn 07:30PM ET",32.750,"Bkn"
