"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10200,"SA@OKC 08:00PM ET",53.809,"OKC"
"SF","Kevin Durant",9800,"SA@OKC 08:00PM ET",50.196,"OKC"
"SF","Giannis Antetokounmpo",9700,"Cha@Mil 08:30PM ET",36.880,"Mil"
"SF","LeBron James",9400,"Cle@NY 07:30PM ET",47.551,"Cle"
"PG","Damian Lillard",9300,"Phi@Por 10:00PM ET",44.110,"Por"
"PG","Jrue Holiday",8500,"Tor@NO 07:00PM ET",32.191,"NO"
"PG","Kyle Lowry",8400,"Tor@NO 07:00PM ET",43.094,"Tor"
"SF","Paul George",8300,"Ind@Bkn 06:00PM ET",42.683,"Ind"
"PF","Anthony Davis",8300,"Tor@NO 07:00PM ET",46.816,"NO"
"SF","Carmelo Anthony",8100,"Cle@NY 07:30PM ET",40.189,"NY"
"SG","Eric Bledsoe",8000,"Bos@Pho 10:00PM ET",39.056,"Pho"
"C","Karl-Anthony Towns",8000,"Uta@Min 08:00PM ET",38.573,"Min"
"PG","Kemba Walker",7900,"Cha@Mil 08:30PM ET",38.637,"Cha"
"SG","DeMar DeRozan",7800,"Tor@NO 07:00PM ET",37.000,"Tor"
"PG","Isaiah Thomas",7700,"Bos@Pho 10:00PM ET",37.885,"Bos"
"SF","Kawhi Leonard",7700,"SA@OKC 08:00PM ET",39.098,"SA"
"C","Andre Drummond",7700,"Atl@Det 07:30PM ET",42.531,"Det"
"PF","Paul Millsap",7600,"Atl@Det 07:30PM ET",39.288,"Atl"
"C","Pau Gasol",7500,"Chi@Orl 07:00PM ET",41.972,"Chi"
"SG","Victor Oladipo",7500,"Chi@Orl 07:00PM ET",32.080,"Orl"
"PG","Brandon Knight",7400,"Bos@Pho 10:00PM ET",35.026,"Pho"
"PF","LaMarcus Aldridge",7300,"SA@OKC 08:00PM ET",33.914,"SA"
"SG","Jimmy Butler",7300,"Chi@Orl 07:00PM ET",39.031,"Chi"
"C","Brook Lopez",7200,"Ind@Bkn 06:00PM ET",38.236,"Bkn"
"C","Nikola Vucevic",7100,"Chi@Orl 07:00PM ET",36.776,"Orl"
"SG","Nicolas Batum",7000,"Cha@Mil 08:30PM ET",34.325,"Cha"
"PF","Derrick Favors",6900,"Uta@Min 08:00PM ET",34.655,"Uta"
"SG","C.J. McCollum",6900,"Phi@Por 10:00PM ET",34.056,"Por"
"PG","Kyrie Irving",6900,"Cle@NY 07:30PM ET",31.967,"Cle"
"PF","Ryan Anderson",6800,"Tor@NO 07:00PM ET",28.591,"NO"
"C","Al Horford",6700,"Atl@Det 07:30PM ET",33.925,"Atl"
"PF","Thaddeus Young",6700,"Ind@Bkn 06:00PM ET",33.107,"Bkn"
"PF","Kevin Love",6700,"Cle@NY 07:30PM ET",35.099,"Cle"
"SG","Tyreke Evans",6700,"Tor@NO 07:00PM ET",34.210,"NO"
"PG","Ricky Rubio",6700,"Uta@Min 08:00PM ET",32.841,"Min"
"PF","Nerlens Noel",6600,"Phi@Por 10:00PM ET",29.375,"Phi"
"SF","Gordon Hayward",6500,"Uta@Min 08:00PM ET",34.046,"Uta"
"SG","Khris Middleton",6500,"Cha@Mil 08:30PM ET",32.719,"Mil"
"SG","Devin Booker",6400,"Bos@Pho 10:00PM ET",20.807,"Pho"
"SG","Monta Ellis",6300,"Ind@Bkn 06:00PM ET",29.673,"Ind"
"PG","Jarrett Jack",6200,"Ind@Bkn 06:00PM ET",31.078,"Bkn"
"C","Alex Len",6200,"Bos@Pho 10:00PM ET",21.930,"Pho"
"PG","Shelvin Mack",6100,"Uta@Min 08:00PM ET",15.791,"Uta"
"SG","Andrew Wiggins",6100,"Uta@Min 08:00PM ET",30.546,"Min"
"PG","Derrick Rose",6000,"Chi@Orl 07:00PM ET",29.398,"Chi"
"SF","Tobias Harris",6000,"Atl@Det 07:30PM ET",28.783,"Det"
"PG","Reggie Jackson",5900,"Atl@Det 07:30PM ET",33.417,"Det"
