"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10300,"Uta@OKC 08:00PM ET",53.965,"OKC"
"SF","Kevin Durant",9900,"Uta@OKC 08:00PM ET",50.230,"OKC"
"PG","Chris Paul",9500,"Por@LAC 10:30PM ET",44.715,"LAC"
"SF","LeBron James",9200,"Cle@Bkn 07:30PM ET",47.581,"Cle"
"PG","Damian Lillard",9000,"Por@LAC 10:30PM ET",44.246,"Por"
"SF","Paul George",8500,"NO@Ind 07:00PM ET",42.907,"Ind"
"PG","Jrue Holiday",8400,"NO@Ind 07:00PM ET",32.191,"NO"
"PF","Anthony Davis",8300,"NO@Ind 07:00PM ET",46.816,"NO"
"SF","Carmelo Anthony",8000,"Chi@NY 07:30PM ET",40.142,"NY"
"PF","Blake Griffin",7800,"Por@LAC 10:30PM ET",43.567,"LAC"
"C","DeAndre Jordan",7700,"Por@LAC 10:30PM ET",38.051,"LAC"
"C","Pau Gasol",7600,"Chi@NY 07:30PM ET",41.972,"Chi"
"C","Brook Lopez",7300,"Cle@Bkn 07:30PM ET",38.213,"Bkn"
"SG","Jimmy Butler",7200,"Chi@NY 07:30PM ET",39.127,"Chi"
"PF","Derrick Favors",7000,"Uta@OKC 08:00PM ET",35.074,"Uta"
"PF","Thaddeus Young",6900,"Cle@Bkn 07:30PM ET",33.268,"Bkn"
"PF","Ryan Anderson",6800,"NO@Ind 07:00PM ET",28.591,"NO"
"PG","Kyrie Irving",6800,"Cle@Bkn 07:30PM ET",32.106,"Cle"
"SG","Tyreke Evans",6700,"NO@Ind 07:00PM ET",34.210,"NO"
"SF","Gordon Hayward",6700,"Uta@OKC 08:00PM ET",34.330,"Uta"
"SG","C.J. McCollum",6700,"Por@LAC 10:30PM ET",34.107,"Por"
"PF","Kevin Love",6600,"Cle@Bkn 07:30PM ET",35.131,"Cle"
"PG","Shelvin Mack",6300,"Uta@OKC 08:00PM ET",15.738,"Uta"
"PG","Jarrett Jack",6200,"Cle@Bkn 07:30PM ET",31.078,"Bkn"
"SG","Monta Ellis",6100,"NO@Ind 07:00PM ET",29.696,"Ind"
"C","Rudy Gobert",5900,"Uta@OKC 08:00PM ET",30.902,"Uta"
"PG","Derrick Rose",5800,"Chi@NY 07:30PM ET",29.198,"Chi"
"PG","Norris Cole",5700,"NO@Ind 07:00PM ET",21.828,"NO"
"C","Robin Lopez",5600,"Chi@NY 07:30PM ET",24.219,"NY"
"SG","Bojan Bogdanovic",5500,"Cle@Bkn 07:30PM ET",18.062,"Bkn"
"PF","Kristaps Porzingis",5400,"Chi@NY 07:30PM ET",30.384,"NY"
"PF","Serge Ibaka",5200,"Uta@OKC 08:00PM ET",27.039,"OKC"
"PG","Toney Douglas",5100,"NO@Ind 07:00PM ET",15.413,"NO"
"PF","Taj Gibson",5100,"Chi@NY 07:30PM ET",22.558,"Chi"
"SG","Rodney Hood",5100,"Uta@OKC 08:00PM ET",24.993,"Uta"
"C","Joakim Noah",5000,"Chi@NY 07:30PM ET",23.353,"Chi"
"PG","George Hill",5000,"NO@Ind 07:00PM ET",25.917,"Ind"
"SG","Eric Gordon",5000,"NO@Ind 07:00PM ET",25.006,"NO"
"SG","J.J. Redick",4900,"Por@LAC 10:30PM ET",23.178,"LAC"
"C","Enes Kanter",4900,"Uta@OKC 08:00PM ET",23.975,"OKC"
"C","Ian Mahinmi",4800,"NO@Ind 07:00PM ET",23.346,"Ind"
"C","Mason Plumlee",4700,"Por@LAC 10:30PM ET",25.517,"Por"
"PF","Myles Turner",4700,"NO@Ind 07:00PM ET",21.203,"Ind"
"PF","Tristan Thompson",4600,"Cle@Bkn 07:30PM ET",22.764,"Cle"
"SG","J.R. Smith",4500,"Cle@Bkn 07:30PM ET",22.037,"Cle"
"PF","Nikola Mirotic",4400,"Chi@NY 07:30PM ET",23.403,"Chi"
"SG","Jamal Crawford",4300,"Por@LAC 10:30PM ET",20.664,"LAC"
"SG","Arron Afflalo",4200,"Chi@NY 07:30PM ET",22.717,"NY"
"C","Omer Asik",4100,"NO@Ind 07:00PM ET",12.842,"NO"
"SF","Luke Babbitt",4000,"NO@Ind 07:00PM ET",9.618,"NO"
"SG","Alec Burks",3900,"Uta@OKC 08:00PM ET",23.018,"Uta"
"SF","Doug McDermott",3900,"Chi@NY 07:30PM ET",14.761,"Chi"
"PF","Channing Frye",3800,"Cle@Bkn 07:30PM ET",13.572,"Cle"
"SF","Dante Cunningham",3800,"NO@Ind 07:00PM ET",12.110,"NO"
"SF","Jeff Green",3700,"Por@LAC 10:30PM ET",22.037,"LAC"
"PG","Donald Sloan",3700,"Cle@Bkn 07:30PM ET",18.130,"Bkn"
"SG","E'Twaun Moore",3700,"Chi@NY 07:30PM ET",14.477,"Chi"
"SF","Al-Farouq Aminu",3700,"Por@LAC 10:30PM ET",22.854,"Por"
"PG","Tim Frazier",3700,"NO@Ind 07:00PM ET",7.218,"NO"
"SG","Rondae Hollis-Jefferson",3700,"Cle@Bkn 07:30PM ET",18.038,"Bkn"
"PF","Bobby Portis",3700,"Chi@NY 07:30PM ET",16.630,"Chi"
"PF","Jordan Hill",3600,"NO@Ind 07:00PM ET",20.466,"Ind"
"PF","Ed Davis",3600,"Por@LAC 10:30PM ET",19.996,"Por"
"SG","Langston Galloway",3600,"Chi@NY 07:30PM ET",17.948,"NY"
"C","Steven Adams",3600,"Uta@OKC 08:00PM ET",19.601,"OKC"
"PG","Jose Calderon",3500,"Chi@NY 07:30PM ET",19.496,"NY"
"SF","Wesley Johnson",3400,"Por@LAC 10:30PM ET",15.232,"LAC"
"SG","Iman Shumpert",3400,"Cle@Bkn 07:30PM ET",15.761,"Cle"
"SF","Derrick Williams",3400,"Chi@NY 07:30PM ET",15.543,"NY"
"SG","Gerald Henderson",3300,"Por@LAC 10:30PM ET",15.060,"Por"
"SG","Sean Kilpatrick",3300,"Cle@Bkn 07:30PM ET",12.395,"Bkn"
"SG","Dion Waiters",3300,"Uta@OKC 08:00PM ET",17.754,"OKC"
"SG","Sasha Vujacic",3200,"Chi@NY 07:30PM ET",9.250,"NY"
"SF","Paul Pierce",3100,"Por@LAC 10:30PM ET",12.422,"LAC"
"SF","Mike Dunleavy",3100,"Chi@NY 07:30PM ET",15.475,"Chi"
"SF","C.J. Miles",3100,"NO@Ind 07:00PM ET",19.644,"Ind"
"PG","Matthew Dellavedova",3100,"Cle@Bkn 07:30PM ET",18.704,"Cle"
"SG","Allen Crabbe",3100,"Por@LAC 10:30PM ET",17.711,"Por"
"C","Nazr Mohammed",3000,"Uta@OKC 08:00PM ET",1.833,"OKC"
"SF","Richard Jefferson",3000,"Cle@Bkn 07:30PM ET",10.350,"Cle"
"C","Nick Collison",3000,"Uta@OKC 08:00PM ET",7.421,"OKC"
"SG","James Jones",3000,"Cle@Bkn 07:30PM ET",6.244,"Cle"
"C","Chris Kaman",3000,"Por@LAC 10:30PM ET",5.700,"Por"
"PG","Mo Williams",3000,"Cle@Bkn 07:30PM ET",15.786,"Cle"
"PF","Louis Amundson",3000,"Chi@NY 07:30PM ET",5.730,"NY"
"PG","Randy Foye",3000,"Uta@OKC 08:00PM ET",13.029,"OKC"
"C","Kendrick Perkins",3000,"NO@Ind 07:00PM ET",7.660,"NO"
"PG","Aaron Brooks",3000,"Chi@NY 07:30PM ET",14.047,"Chi"
"C","Sasha Kaun",3000,"Cle@Bkn 07:30PM ET",2.595,"Cle"
"PG","Brian Roberts",3000,"Por@LAC 10:30PM ET",7.407,"Por"
"SG","Anthony Morrow",3000,"Uta@OKC 08:00PM ET",8.328,"OKC"
"SG","Rodney Stuckey",3000,"NO@Ind 07:00PM ET",17.679,"Ind"
"PF","Jeff Ayres",3000,"Por@LAC 10:30PM ET",2.844,"LAC"
"PF","Luc Richard Mbah a Moute",3000,"Por@LAC 10:30PM ET",7.873,"LAC"
"SF","Alonzo Gee",3000,"NO@Ind 07:00PM ET",11.471,"NO"
"SG","Wayne Ellington",3000,"Cle@Bkn 07:30PM ET",13.627,"Bkn"
"PG","Ty Lawson",3000,"NO@Ind 07:00PM ET",14.191,"Ind"
"SF","Quincy Pondexter",3000,"NO@Ind 07:00PM ET",0,"NO"
"SF","Lance Thomas",3000,"Chi@NY 07:30PM ET",13.199,"NY"
"PF","Trevor Booker",3000,"Uta@OKC 08:00PM ET",17.033,"Uta"
"SG","Justin Holiday",3000,"Chi@NY 07:30PM ET",8.140,"Chi"
"SF","Kyle Singler",3000,"Uta@OKC 08:00PM ET",7.509,"OKC"
"C","Cole Aldrich",3000,"Por@LAC 10:30PM ET",14.177,"LAC"
"C","Lavoy Allen",3000,"NO@Ind 07:00PM ET",15.060,"Ind"
"C","Alexis Ajinca",3000,"NO@Ind 07:00PM ET",11.153,"NO"
"C","Jeff Withey",3000,"Uta@OKC 08:00PM ET",12.159,"Uta"
"SF","Chris Johnson",3000,"Uta@OKC 08:00PM ET",8.020,"Uta"
"C","Henry Sims",3000,"Cle@Bkn 07:30PM ET",12.750,"Bkn"
"PF","Willie Reed",3000,"Cle@Bkn 07:30PM ET",10.313,"Bkn"
"PF","Kyle O'Quinn",3000,"Chi@NY 07:30PM ET",12.364,"NY"
"C","Shayne Whittington",3000,"NO@Ind 07:00PM ET",2.750,"Ind"
"SF","Solomon Hill",3000,"NO@Ind 07:00PM ET",8.846,"Ind"
"SG","C.J. Wilcox",3000,"Por@LAC 10:30PM ET",3.018,"LAC"
"PF","Thomas Robinson",3000,"Cle@Bkn 07:30PM ET",11.285,"Bkn"
"SG","Andre Roberson",3000,"Uta@OKC 08:00PM ET",12.696,"OKC"
"SG","Bryce Dejean-Jones",3000,"NO@Ind 07:00PM ET",13.286,"NO"
"C","Meyers Leonard",3000,"Por@LAC 10:30PM ET",18.098,"Por"
"PF","Kevin Seraphin",3000,"Chi@NY 07:30PM ET",9.794,"NY"
"C","Tibor Pleiss",3000,"Uta@OKC 08:00PM ET",3.979,"Uta"
"SF","Tony Snell",3000,"Chi@NY 07:30PM ET",11.561,"Chi"
"PF","Cameron Bairstow",3000,"Chi@NY 07:30PM ET",4.806,"Chi"
"SF","Josh Huestis",3000,"Uta@OKC 08:00PM ET",0,"OKC"
"PG","Jerian Grant",3000,"Chi@NY 07:30PM ET",11.587,"NY"
"SG","Jordan McRae",3000,"Cle@Bkn 07:30PM ET",6.297,"Cle"
"PG","Pablo Prigioni",3000,"Por@LAC 10:30PM ET",8.635,"LAC"
"C","Timofey Mozgov",3000,"Cle@Bkn 07:30PM ET",14.095,"Cle"
"SG","Markel Brown",3000,"Cle@Bkn 07:30PM ET",9.900,"Bkn"
"SG","Joe Ingles",3000,"Uta@OKC 08:00PM ET",9.407,"Uta"
"SG","Joe Young",3000,"NO@Ind 07:00PM ET",8.229,"Ind"
"SG","Austin Rivers",3000,"Por@LAC 10:30PM ET",14.276,"LAC"
"SF","Pat Connaughton",3000,"Por@LAC 10:30PM ET",2.759,"Por"
"PG","Trey Burke",3000,"Uta@OKC 08:00PM ET",17.770,"Uta"
"PG","Tony Wroten",3000,"Chi@NY 07:30PM ET",14.531,"NY"
"SF","Branden Dawson",3000,"Por@LAC 10:30PM ET",2.583,"LAC"
"PF","Rakeem Christmas",3000,"NO@Ind 07:00PM ET",0,"Ind"
"SF","Maurice Harkless",3000,"Por@LAC 10:30PM ET",12.419,"Por"
"PG","Shane Larkin",3000,"Cle@Bkn 07:30PM ET",17.205,"Bkn"
"SF","Sergey Karasev",3000,"Cle@Bkn 07:30PM ET",4.074,"Bkn"
"SF","Glenn Robinson III",3000,"NO@Ind 07:00PM ET",7.869,"Ind"
"PF","Mitch McGary",3000,"Uta@OKC 08:00PM ET",2.775,"OKC"
"SF","Cleanthony Early",3000,"Chi@NY 07:30PM ET",1.364,"NY"
"PG","Raul Neto",3000,"Uta@OKC 08:00PM ET",12.721,"Uta"
"PF","Noah Vonleh",3000,"Por@LAC 10:30PM ET",10.346,"Por"
"PG","Cameron Payne",3000,"Uta@OKC 08:00PM ET",11.089,"OKC"
"PG","Dante Exum",3000,"Uta@OKC 08:00PM ET",0,"Uta"
"C","Cristiano Felicio",3000,"Chi@NY 07:30PM ET",6.125,"Chi"
"PF","Cliff Alexander",3000,"Por@LAC 10:30PM ET",3.286,"Por"
"PF","Trey Lyles",3000,"Uta@OKC 08:00PM ET",11.250,"Uta"
"PF","Chris McCullough",3000,"Cle@Bkn 07:30PM ET",7.063,"Bkn"
"SF","Luis Montero",3000,"Por@LAC 10:30PM ET",2.357,"Por"
