"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10500,"Dal@GS 10:30PM ET",52.511,"GS"
"SG","James Harden",10400,"Tor@Hou 08:00PM ET",51.733,"Hou"
"PF","DeMarcus Cousins",10300,"Pho@Sac 10:00PM ET",52.167,"Sac"
"PG","John Wall",9700,"Min@Was 07:00PM ET",46.475,"Was"
"SF","Giannis Antetokounmpo",9600,"Mil@Atl 08:00PM ET",36.939,"Mil"
"PG","Kyle Lowry",8400,"Tor@Hou 08:00PM ET",43.213,"Tor"
"C","Karl-Anthony Towns",8300,"Min@Was 07:00PM ET",38.426,"Min"
"PF","Draymond Green",8100,"Dal@GS 10:30PM ET",42.271,"GS"
"SG","Eric Bledsoe",8000,"Pho@Sac 10:00PM ET",39.056,"Pho"
"C","Hassan Whiteside",8000,"Orl@Mia 08:00PM ET",37.560,"Mia"
"PG","Kemba Walker",7900,"Cha@Det 07:30PM ET",38.589,"Cha"
"PF","Paul Millsap",7800,"Mil@Atl 08:00PM ET",39.204,"Atl"
"PG","Rajon Rondo",7800,"Pho@Sac 10:00PM ET",40.657,"Sac"
"SG","DeMar DeRozan",7800,"Tor@Hou 08:00PM ET",37.040,"Tor"
"SF","Kawhi Leonard",7700,"Mem@SA 08:30PM ET",39.098,"SA"
"C","Andre Drummond",7600,"Cha@Det 07:30PM ET",42.524,"Det"
"PG","Brandon Knight",7500,"Pho@Sac 10:00PM ET",35.026,"Pho"
"SG","Victor Oladipo",7400,"Orl@Mia 08:00PM ET",32.080,"Orl"
"PF","Dirk Nowitzki",7200,"Dal@GS 10:30PM ET",33.188,"Dal"
"PF","LaMarcus Aldridge",7100,"Mem@SA 08:30PM ET",33.527,"SA"
"SG","Nicolas Batum",7000,"Cha@Det 07:30PM ET",34.383,"Cha"
"C","Marc Gasol",6900,"Mem@SA 08:30PM ET",34.731,"Mem"
"C","Nikola Vucevic",6900,"Orl@Mia 08:00PM ET",36.776,"Orl"
"PG","Ricky Rubio",6900,"Min@Was 07:00PM ET",32.842,"Min"
"C","Dwight Howard",6800,"Tor@Hou 08:00PM ET",36.320,"Hou"
