"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10500,"Sac@Por 10:00PM ET",52.004,"Sac"
"PG","Russell Westbrook",10400,"OKC@Tor 07:30PM ET",53.750,"OKC"
"SF","Kevin Durant",10000,"OKC@Tor 07:30PM ET",50.186,"OKC"
"PG","Damian Lillard",9500,"Sac@Por 10:00PM ET",43.940,"Por"
"PG","Chris Paul",9400,"Bos@LAC 10:30PM ET",44.586,"LAC"
"PG","Jrue Holiday",8500,"NY@NO 08:00PM ET",32.191,"NO"
"PG","Kyle Lowry",8400,"OKC@Tor 07:30PM ET",42.893,"Tor"
"C","Hassan Whiteside",8400,"Bkn@Mia 07:30PM ET",37.821,"Mia"
"SF","Carmelo Anthony",8300,"NY@NO 08:00PM ET",40.287,"NY"
"PF","Anthony Davis",8300,"NY@NO 08:00PM ET",46.816,"NO"
"C","Karl-Anthony Towns",8100,"Pho@Min 08:00PM ET",38.568,"Min"
"SG","Eric Bledsoe",8000,"Pho@Min 08:00PM ET",39.056,"Pho"
"PF","Paul Millsap",7900,"Atl@Chi 08:00PM ET",39.562,"Atl"
"C","DeAndre Jordan",7900,"Bos@LAC 10:30PM ET",38.275,"LAC"
"PG","Isaiah Thomas",7900,"Bos@LAC 10:30PM ET",37.901,"Bos"
"PF","Blake Griffin",7800,"Bos@LAC 10:30PM ET",43.567,"LAC"
"SG","DeMar DeRozan",7800,"OKC@Tor 07:30PM ET",36.989,"Tor"
"SF","Kawhi Leonard",7700,"SA@Mem 08:00PM ET",39.098,"SA"
"PG","Rajon Rondo",7600,"Sac@Por 10:00PM ET",40.489,"Sac"
"PF","Dirk Nowitzki",7400,"Dal@Den 09:00PM ET",33.000,"Dal"
"C","Pau Gasol",7300,"Atl@Chi 08:00PM ET",41.734,"Chi"
"PF","LaMarcus Aldridge",7300,"SA@Mem 08:00PM ET",33.914,"SA"
"PG","Brandon Knight",7300,"Pho@Min 08:00PM ET",34.870,"Pho"
"SG","Jimmy Butler",7200,"Atl@Chi 08:00PM ET",38.789,"Chi"
"SG","C.J. McCollum",7200,"Sac@Por 10:00PM ET",34.229,"Por"
"C","Brook Lopez",7100,"Bkn@Mia 07:30PM ET",38.293,"Bkn"
"PF","Derrick Favors",7000,"LAL@Uta 09:00PM ET",34.612,"Uta"
"C","Marc Gasol",6900,"SA@Mem 08:00PM ET",34.731,"Mem"
"PG","Ricky Rubio",6900,"Pho@Min 08:00PM ET",33.056,"Min"
"C","Al Horford",6800,"Atl@Chi 08:00PM ET",33.916,"Atl"
"PF","Ryan Anderson",6800,"NY@NO 08:00PM ET",28.591,"NO"
"SG","Tyreke Evans",6700,"NY@NO 08:00PM ET",34.210,"NO"
"PF","Chris Bosh",6600,"Bkn@Mia 07:30PM ET",34.972,"Mia"
"SF","Gordon Hayward",6600,"LAL@Uta 09:00PM ET",34.070,"Uta"
"SG","Dwyane Wade",6500,"Bkn@Mia 07:30PM ET",33.072,"Mia"
"PG","Goran Dragic",6500,"Bkn@Mia 07:30PM ET",28.952,"Mia"
"SG","Devin Booker",6500,"Pho@Min 08:00PM ET",20.996,"Pho"
"PF","Thaddeus Young",6400,"Bkn@Mia 07:30PM ET",32.898,"Bkn"
"SF","Danilo Gallinari",6400,"Dal@Den 09:00PM ET",32.476,"Den"
"PF","Julius Randle",6400,"LAL@Uta 09:00PM ET",28.976,"LAL"
"PF","Zach Randolph",6300,"SA@Mem 08:00PM ET",29.138,"Mem"
"PG","Mike Conley",6300,"SA@Mem 08:00PM ET",31.143,"Mem"
"SG","Andrew Wiggins",6300,"Pho@Min 08:00PM ET",30.406,"Min"
"PG","Jarrett Jack",6200,"Bkn@Mia 07:30PM ET",31.078,"Bkn"
"SF","Rudy Gay",6100,"Sac@Por 10:00PM ET",30.773,"Sac"
"PF","Kristaps Porzingis",6100,"NY@NO 08:00PM ET",30.542,"NY"
"SF","Chandler Parsons",6000,"Dal@Den 09:00PM ET",26.061,"Dal"
"PF","Gorgui Dieng",6000,"Pho@Min 08:00PM ET",25.904,"Min"
"C","Alex Len",6000,"Pho@Min 08:00PM ET",21.888,"Pho"
"C","Nikola Jokic",6000,"Dal@Den 09:00PM ET",24.590,"Den"
"SG","Evan Turner",5900,"Bos@LAC 10:30PM ET",24.973,"Bos"
"PF","Kenneth Faried",5900,"Dal@Den 09:00PM ET",28.131,"Den"
"PG","Shelvin Mack",5900,"LAL@Uta 09:00PM ET",15.898,"Uta"
"PG","Deron Williams",5800,"Dal@Den 09:00PM ET",28.419,"Dal"
"SF","Luol Deng",5800,"Bkn@Mia 07:30PM ET",25.004,"Mia"
"PG","Derrick Rose",5800,"Atl@Chi 08:00PM ET",29.146,"Chi"
