Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,567649086,bornverified,0,274.5,PG John Wall SG Justin Holiday SF Carmelo Anthony PF Kristaps Porzingis C Hassan Whiteside F Andrew Wiggins G Courtney Lee UTIL James Johnson,,Kristaps Porzingis,65.22%,35.75
2,567632900,evbaseball6,0,272.25,PG Jerian Grant SG Zach LaVine SF Jimmy Butler PF Kristaps Porzingis C Hassan Whiteside F Andrew Wiggins G Evan Turner UTIL Rodney Hood,,Trey Lyles,56.52%,20
3,567642343,D_double_U,0,271.5,PG James Harden SG Rodney Hood SF Jimmy Butler PF Trey Lyles C Clint Capela F Dario Saric G Derrick Rose UTIL Nikola Mirotic,,Jerian Grant,56.52%,17.25
4,567627101,MMMAlex,0,271,PG Jerian Grant SG Jimmy Butler SF Andrew Wiggins PF Trey Lyles C Karl-Anthony Towns F Ryan Anderson G C.J. McCollum UTIL Clint Capela,,Hassan Whiteside,56.52%,52.25
5,567626646,luc0s16,0,267,PG Ricky Rubio SG Evan Turner SF Andrew Wiggins PF Gorgui Dieng C Clint Capela F Kristaps Porzingis G Jimmy Butler UTIL Jabari Parker,,Andrew Wiggins,47.83%,57
6,567633045,pgmoss,0,265.5,PG James Harden SG Rodney Hood SF Evan Turner PF Montrezl Harrell C Hassan Whiteside F Trey Lyles G Jerian Grant UTIL Giannis Antetokounmpo,,Rodney Hood,39.13%,21
7,567627123,Jayfreshone,0,265,PG Ricky Rubio SG Jimmy Butler SF Andrew Wiggins PF Trey Lyles C Joel Embiid F Kristaps Porzingis G Dion Waiters UTIL Marcin Gortat,,Clint Capela,34.78%,29.75
7,567649210,Dozzer40,0,265,PG Jerian Grant SG James Harden SF Andrew Wiggins PF Trey Lyles C Hassan Whiteside F Meyers Leonard G Shelvin Mack UTIL Kristaps Porzingis,,Carmelo Anthony,30.43%,29.25
9,567627072,UtahCubs,0,264.75,PG Giannis Antetokounmpo SG Allen Crabbe SF Andrew Wiggins PF Kristaps Porzingis C Hassan Whiteside F Trevor Ariza G Jerian Grant UTIL Clint Capela,,James Harden,26.09%,72
10,567626984,giese2123,0,262.25,PG James Harden SG Bradley Beal SF Evan Turner PF Trey Lyles C Karl-Anthony Towns F Boris Diaw G Jerian Grant UTIL Hassan Whiteside,,Joel Embiid,26.09%,25
11,567642479,GOGIBBY,0,256.75,PG Derrick Rose SG Zach LaVine SF Carmelo Anthony PF Trevor Ariza C Joel Embiid F Andrew Wiggins G Jerian Grant UTIL Karl-Anthony Towns,,Ricky Rubio,21.74%,15
12,567642406,zbark2,0,254.75,PG Jerian Grant SG C.J. McCollum SF Andrew Wiggins PF Trey Lyles C Hassan Whiteside F Carmelo Anthony G Ricky Rubio UTIL Clint Capela,,Jimmy Butler,21.74%,45.5
13,567626915,Alumni50,0,249.25,PG John Wall SG Eric Gordon SF Maurice Harkless PF Dario Saric C Marcin Gortat F Trey Lyles G Damian Lillard UTIL Rudy Gobert,,Giannis Antetokounmpo,21.74%,34.25
14,567632905,Fishingformarlins,0,242.25,PG Giannis Antetokounmpo SG Rodney Hood SF Markieff Morris PF Trey Lyles C Hassan Whiteside F Kristaps Porzingis G Jerian Grant UTIL Rudy Gobert,,C.J. McCollum,21.74%,34.25
15,567627046,benjaminwertz,0,239.5,PG Jerian Grant SG Rodney Hood SF Carmelo Anthony PF Trey Lyles C Clint Capela F Kristaps Porzingis G Giannis Antetokounmpo UTIL Hassan Whiteside,,Evan Turner,17.39%,25
15,567633056,Debby,0,239.5,PG Jerian Grant SG Rodney Hood SF Carmelo Anthony PF Kristaps Porzingis C Hassan Whiteside F Trey Lyles G Giannis Antetokounmpo UTIL Clint Capela,,Karl-Anthony Towns,17.39%,43
17,567633010,DCMATHIS,0,238.25,PG James Harden SG Rodney Hood SF Carmelo Anthony PF Kristaps Porzingis C Joel Embiid F Meyers Leonard G Jerian Grant UTIL Clint Capela,,John Wall,13.04%,46
18,567632608,bussyte,0,237.25,PG John Wall SG Zach LaVine SF Andrew Wiggins PF Kristaps Porzingis C Joel Embiid F Nikola Mirotic G Courtney Lee UTIL Marcin Gortat,,Marcin Gortat,13.04%,29
19,567648569,chrisgio87,0,236.75,PG Damian Lillard SG C.J. McCollum SF Jabari Parker PF Kristaps Porzingis C Karl-Anthony Towns F Justin Holiday G Dion Waiters UTIL Hollis Thompson,,Damian Lillard,13.04%,32.75
20,567627084,bdollas,0,231.5,PG Damian Lillard SG C.J. McCollum SF Markieff Morris PF Kristaps Porzingis C Hassan Whiteside F Nemanja Bjelica G Justin Holiday UTIL Matthew Dellavedova,,Trevor Ariza,13.04%,28.75
21,567642283,sbris10,0,229.5,PG Ricky Rubio SG Rodney Hood SF Andrew Wiggins PF Kristaps Porzingis C Joel Embiid F Trey Lyles G Sergio Rodr?guez UTIL Hassan Whiteside,,Markieff Morris,13.04%,21.5
22,567648509,cannavnj,0,214.5,PG Jerian Grant SG C.J. McCollum SF Carmelo Anthony PF Trey Lyles C Hassan Whiteside F Markieff Morris G Ricky Rubio UTIL Joel Embiid,,Justin Holiday,13.04%,16.5
23,567649195,Bossman101,0,211,PG James Harden SG Rodney Hood SF Robert Covington PF Kristaps Porzingis C Mason Plumlee F Trevor Ariza G Sergio Rodr?guez UTIL Joakim Noah,,Zach LaVine,13.04%,18.5
,,,,,,,Jabari Parker,8.70%,25.5
,,,,,,,Dario Saric,8.70%,27
,,,,,,,Rudy Gobert,8.70%,40.25
,,,,,,,Dion Waiters,8.70%,37.75
,,,,,,,Nikola Mirotic,8.70%,18.25
,,,,,,,Courtney Lee,8.70%,7.75
,,,,,,,Meyers Leonard,8.70%,8.25
,,,,,,,Sergio Rodr?guez,8.70%,3.5
,,,,,,,Derrick Rose,8.70%,38
,,,,,,,Gorgui Dieng,4.35%,33.5
,,,,,,,Eric Gordon,4.35%,26.75
,,,,,,,Maurice Harkless,4.35%,27.5
,,,,,,,Bradley Beal,4.35%,29
,,,,,,,Boris Diaw,4.35%,3.75
,,,,,,,Allen Crabbe,4.35%,9.75
,,,,,,,Nemanja Bjelica,4.35%,17
,,,,,,,Matthew Dellavedova,4.35%,21.5
,,,,,,,Ryan Anderson,4.35%,24.25
,,,,,,,Montrezl Harrell,4.35%,23.75
,,,,,,,Hollis Thompson,4.35%,11.25
,,,,,,,James Johnson,4.35%,30
,,,,,,,Robert Covington,4.35%,10.75
,,,,,,,Mason Plumlee,4.35%,26
,,,,,,,Joakim Noah,4.35%,13.25
,,,,,,,Shelvin Mack,4.35%,2.5
