Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,567626790,whiz_kid33,284.2,46.5,PG Ricky Rubio SG LOCKED SF Jabari Parker PF Kristaps Porzingis C Joakim Noah F Markieff Morris G Derrick Rose UTIL Andrew Wiggins,,Carmelo Anthony,60.00%,11.25
2,567641133,mossyoak1808,339.4,34.5,PG James Harden SG LOCKED SF Andrew Wiggins PF Kristaps Porzingis C Marcin Gortat F Sam Dekker G LOCKED UTIL Clint Capela,,James Harden,50.00%,0
3,567648223,blake.rock.3,317.1,33.75,PG Ricky Rubio SG Zach LaVine SF Markieff Morris PF Kristaps Porzingis C Clint Capela F Carmelo Anthony G LOCKED UTIL Karl-Anthony Towns,,Hassan Whiteside,50.00%,9
4,567616556,40DaGr8,339.4,28.5,PG James Harden SG LOCKED SF Carmelo Anthony PF Kristaps Porzingis C Joel Embiid F Meyers Leonard G LOCKED UTIL Clint Capela,,Clint Capela,50.00%,0
4,567618177,bholmes23,339.4,28.5,PG LOCKED SG LOCKED SF Carmelo Anthony PF LOCKED C Clint Capela F Kristaps Porzingis G James Harden UTIL Maurice Harkless,,Kristaps Porzingis,50.00%,17.25
6,567628396,mrk4488,319.3,28,PG Giannis Antetokounmpo SG James Harden SF Andrew Wiggins PF Kyle O'Quinn C Hassan Whiteside F Tony Snell G Kris Dunn UTIL John Henson,,Andrew Wiggins,40.00%,0
7,567639687,czenier,329.9,25.25,PG LOCKED SG Rodney McGruder SF LOCKED PF LOCKED C Hassan Whiteside F Carmelo Anthony G Giannis Antetokounmpo UTIL Joel Embiid,,Giannis Antetokounmpo,30.00%,3.75
8,567626682,jbeer1023,340.5,24,PG Giannis Antetokounmpo SG Zach LaVine SF Carmelo Anthony PF Meyers Leonard C Hassan Whiteside F Gorgui Dieng G LOCKED UTIL Ricky Rubio,,Ricky Rubio,30.00%,0
9,567591625,cekstro2,351.1,20.25,PG LOCKED SG James Harden SF Trevor Ariza PF LOCKED C Hassan Whiteside F Carmelo Anthony G LOCKED UTIL Clint Capela,,Joel Embiid,20.00%,0
10,567642359,furquiza,373.4,9,PG LOCKED SG Allen Crabbe SF Andrew Wiggins PF Dario Saric C Hassan Whiteside F LOCKED G Sergio Rodr?guez UTIL Karl-Anthony Towns,,Meyers Leonard,20.00%,0
,,,,,,,Zach LaVine,20.00%,0
,,,,,,,Markieff Morris,20.00%,5.25
,,,,,,,Karl-Anthony Towns,20.00%,0
,,,,,,,Trevor Ariza,10.00%,0
,,,,,,,Maurice Harkless,10.00%,0
,,,,,,,Gorgui Dieng,10.00%,0
,,,,,,,Jabari Parker,10.00%,11.25
,,,,,,,Joakim Noah,10.00%,8.75
,,,,,,,Derrick Rose,10.00%,4
,,,,,,,Kyle O'Quinn,10.00%,0
,,,,,,,Tony Snell,10.00%,8.25
,,,,,,,Kris Dunn,10.00%,0
,,,,,,,John Henson,10.00%,7
,,,,,,,Rodney McGruder,10.00%,1.25
,,,,,,,Marcin Gortat,10.00%,17.25
,,,,,,,Sam Dekker,10.00%,0
,,,,,,,Allen Crabbe,10.00%,0
,,,,,,,Dario Saric,10.00%,0
,,,,,,,Sergio Rodr?guez,10.00%,0
